# Experiment Session ID: session_20250530_225636_s123_mcoevolution
# Date Generated: 2025-05-30 22:56:36 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 3000
# Base Coevo Games per Peer Pairing: 4
# Hall of Fame Size: 3
# Base Games vs Each HoF Member: 4
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: coevolution
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-05-30 22:56:40,3.41,CoevoSegBasePeerPair:4;HoFBasePair:4,10,22.0,18.0,18.5,10.0,3.2249,"0.89958253,0.88752341,0.77429745,0.28871024,0.58010483,0.98131356,0.32062337,0.38650087,0.68798931,0.06263564,0.25336195,0.16802038,0.41605671,0.42497648,0.60705855,0.49680969,0.16476954,0.04662107,0.52477220,0.76385668","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A (Coevolution)
1,1,2025-05-30 22:56:54,17.52,CoevoSegBasePeerPair:4;HoFBasePair:4,20,45.0,42.0,42.5,38.0,2.2361,"0.94251329,1.00000000,0.18097169,0.53762061,1.00000000,0.94496681,0.52319106,0.37242887,0.09050858,0.23155204,0.19857892,0.00000000,0.00000000,0.16163746,0.62947211,1.00000000,0.09302124,0.62410744,0.09668380,1.00000000","0.67425078,0.48008261,0.49627162,0.41376166,0.51056674,0.45753182,0.48430418,0.28494871,0.61170448,0.37129310,0.51262695,0.39247455,0.34986661,0.45981258,0.61479569,0.81732307,0.28344773,0.32384045,0.46737701,0.52429522",N/A (Coevolution)
1,2,2025-05-30 22:57:08,31.64,CoevoSegBasePeerPair:4;HoFBasePair:4,30,47.0,41.3,41.0,37.0,2.4515,"1.00000000,0.00000000,0.02938751,0.24575269,0.22715460,0.02359534,1.00000000,0.00000000,1.00000000,0.58648263,1.00000000,1.00000000,0.00000000,1.00000000,0.68077459,1.00000000,0.00000000,0.00000000,0.22784306,0.08685478","0.62102226,0.44440393,0.55671343,0.40237205,0.66720716,0.45244918,0.60129805,0.41800314,0.74916273,0.36920563,0.65489096,0.29387174,0.22429863,0.35767052,0.71356861,0.64726660,0.25099450,0.40480877,0.43844760,0.46297536",N/A (Coevolution)
1,3,2025-05-30 22:57:22,45.85,CoevoSegBasePeerPair:4;HoFBasePair:4,40,46.0,42.0,41.5,40.0,2.1448,"0.00000000,0.22374387,0.88305675,0.00000000,0.42506394,0.75759619,0.36705890,0.31376897,0.76689024,0.00000000,0.56638842,0.00000000,0.41186942,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.19865461,0.39479368","0.46700898,0.47104389,0.66431248,0.47325684,0.65149474,0.59768308,0.62896319,0.59025033,0.71212248,0.38798944,0.57946790,0.37631674,0.22186702,0.27585938,0.72834632,0.52797449,0.40567854,0.56332237,0.53405015,0.54501372",N/A (Coevolution)
1,4,2025-05-30 22:57:36,59.96,CoevoSegBasePeerPair:4;HoFBasePair:4,50,46.0,40.5,40.5,38.0,2.4187,"0.79400691,0.75526399,0.77412730,0.93196090,1.00000000,0.58132436,0.96273027,1.00000000,0.80102272,0.00000000,0.00000000,0.00000000,0.13547704,0.33676528,0.04964775,0.22227414,0.65581665,1.00000000,0.07331366,0.25989073","0.58051466,0.63693601,0.53390998,0.48627373,0.84449624,0.50896148,0.55053559,0.62863971,0.65726441,0.55828579,0.59395442,0.39066826,0.20134787,0.52920608,0.75212774,0.75894114,0.37801808,0.43679023,0.38365702,0.53791982",N/A (Coevolution)
1,5,2025-05-30 22:57:50,74.23,CoevoSegBasePeerPair:4;HoFBasePair:4,60,49.0,41.7,41.5,39.0,2.7586,"0.01770914,1.00000000,1.00000000,0.20935440,0.94932606,0.00000000,0.07393778,0.54522097,0.98414991,0.00000000,0.73994572,0.81393869,0.56552691,0.93952539,1.00000000,0.93509005,0.14889880,0.00000000,0.32876574,0.36596952","0.33098469,0.62944919,0.65265283,0.41470876,0.80400282,0.43498390,0.46272646,0.70683544,0.65662594,0.51870106,0.70161077,0.42176017,0.33473153,0.50613006,0.83687308,0.60364867,0.46290841,0.43004176,0.48753739,0.51897596",N/A (Coevolution)
1,6,2025-05-30 22:58:05,88.4,CoevoSegBasePeerPair:4;HoFBasePair:4,70,46.0,41.3,40.5,39.0,2.3685,"0.26624810,1.00000000,0.81369931,0.86693188,0.49251725,0.42042265,1.00000000,0.68168413,0.52114391,1.00000000,0.00000000,0.50084862,0.00000000,0.30534070,0.94183663,0.36960224,0.23922746,1.00000000,0.00000000,0.20501191","0.43514417,0.54539184,0.53453466,0.39305169,0.82070316,0.58321948,0.39918050,0.62544298,0.62761687,0.74969758,0.67070830,0.39369187,0.34095758,0.45077653,0.65660589,0.52426611,0.22778476,0.38880188,0.39793803,0.56860164",N/A (Coevolution)
1,7,2025-05-30 22:58:19,102.7,CoevoSegBasePeerPair:4;HoFBasePair:4,80,46.0,41.1,40.5,39.0,2.119,"0.63990809,0.53862024,0.56327570,0.93636641,0.80355068,0.59297206,0.00000000,1.00000000,0.96870811,0.00000000,0.00000000,0.00000000,0.74513094,0.00000000,0.00000000,0.36987993,1.00000000,1.00000000,0.20683950,0.24266594","0.49998739,0.41114129,0.56209510,0.38284654,0.73660156,0.60481683,0.26683258,0.47007177,0.88916027,0.57688611,0.69762863,0.35957538,0.47646841,0.45487557,0.51040583,0.61349198,0.26468328,0.34878869,0.55004726,0.42837395",N/A (Coevolution)
1,8,2025-05-30 22:58:33,116.79,CoevoSegBasePeerPair:4;HoFBasePair:4,90,46.0,41.0,40.5,38.0,2.4083,"0.28850849,0.27027902,1.00000000,0.00000000,0.40784092,1.00000000,0.06657156,0.00000000,0.61976198,0.48113870,1.00000000,0.00000000,0.17235794,0.55207251,1.00000000,0.80323455,0.31892102,0.05423789,0.00000000,0.42420555","0.45869832,0.39878886,0.57456049,0.38849576,0.58514544,0.55569192,0.37406646,0.40120640,0.73121970,0.49066635,0.67758019,0.25094408,0.52772207,0.49790227,0.49246564,0.70580075,0.34301193,0.41494510,0.60505167,0.44112365",N/A (Coevolution)
1,9,2025-05-30 22:58:47,131.01,CoevoSegBasePeerPair:4;HoFBasePair:4,100,45.0,42.1,42.0,38.0,2.4678,"0.13597261,0.00000000,1.00000000,1.00000000,0.32916235,1.00000000,0.06373764,0.50167785,0.00000000,1.00000000,1.00000000,0.37015702,0.37709830,0.44398089,1.00000000,1.00000000,0.53096679,0.76628782,0.00000000,0.41362593","0.34434511,0.41225958,0.55749761,0.40446576,0.56626376,0.70695491,0.38626289,0.36353416,0.77219072,0.63793657,0.77343808,0.33018755,0.44445059,0.57782014,0.79341954,0.64627217,0.26340672,0.40108195,0.66649975,0.42604689",N/A (Coevolution)
1,10,2025-05-30 22:59:01,145.04,CoevoSegBasePeerPair:4;HoFBasePair:4,110,44.0,41.3,41.0,39.0,1.3454,"0.13597261,0.00000000,1.00000000,1.00000000,0.32916235,1.00000000,0.06373764,0.50167785,0.00000000,1.00000000,1.00000000,0.37015702,0.37709830,0.44398089,1.00000000,1.00000000,0.53096679,0.76628782,0.00000000,0.41362593","0.50224437,0.41152783,0.65933562,0.43844596,0.52287614,0.62970316,0.43239550,0.26979680,0.60118053,0.63431787,0.78045374,0.28436024,0.48289521,0.58656729,0.81657410,0.57583496,0.24598621,0.51763228,0.68278170,0.41859228",N/A (Coevolution)
1,11,2025-05-30 22:59:16,159.34,CoevoSegBasePeerPair:4;HoFBasePair:4,120,49.0,42.0,40.0,39.0,3.4641,"1.00000000,0.86012725,0.01932921,0.91362666,0.95497686,0.75588064,1.00000000,0.66722021,0.12917082,0.00000000,0.00000000,0.31343182,0.44628583,0.00000000,0.00000000,0.06903762,0.00000000,0.31135168,0.67184947,0.15784436","0.52997965,0.25174598,0.58973033,0.61561743,0.44838749,0.54767150,0.40309179,0.40268484,0.57545040,0.35723770,0.78027934,0.44356710,0.41995586,0.53302942,0.78091576,0.61099383,0.43360860,0.44268374,0.48366123,0.34969744",N/A (Coevolution)
1,12,2025-05-30 22:59:30,173.61,CoevoSegBasePeerPair:4;HoFBasePair:4,130,46.0,42.5,41.5,40.0,2.1564,"0.00000000,0.00000000,0.00000000,1.00000000,0.24473145,0.18691570,0.07173188,0.00000000,1.00000000,1.00000000,0.98022258,0.00000000,0.44807224,0.52299058,1.00000000,1.00000000,0.96779537,0.48249459,0.70046095,0.40447615","0.42446055,0.29920741,0.42225322,0.77240021,0.46000682,0.63579677,0.28230565,0.32184353,0.68519485,0.61924580,0.78791488,0.42427414,0.54186010,0.67814079,0.97350356,0.65497229,0.51796706,0.52851949,0.49935668,0.46043329",N/A (Coevolution)
1,13,2025-05-30 22:59:44,187.77,CoevoSegBasePeerPair:4;HoFBasePair:4,140,48.0,42.1,42.0,37.0,3.7537,"0.00000000,0.00000000,1.00000000,1.00000000,0.21377543,1.00000000,0.07165454,0.62902491,1.00000000,0.00000000,0.94075197,0.29093029,0.28661013,0.54969493,0.00000000,0.87236220,0.74013896,0.51121930,1.00000000,0.47824660","0.54852034,0.40712288,0.60660521,0.64202476,0.52951025,0.70022348,0.33561743,0.36864783,0.69743597,0.26130931,0.57385524,0.57235048,0.63289494,0.72741008,0.75384250,0.62838369,0.53309652,0.64047733,0.51627293,0.36630528",N/A (Coevolution)
1,14,2025-05-30 22:59:58,201.99,CoevoSegBasePeerPair:4;HoFBasePair:4,150,45.0,41.4,42.0,37.0,2.6907,"0.86762823,0.57504816,0.75704379,1.00000000,0.50760949,0.80436546,0.96226737,0.19064489,1.00000000,0.02559335,0.00000000,0.50054840,1.00000000,1.00000000,0.30179746,1.00000000,0.41761763,0.86699548,0.68151218,0.59989325","0.46217795,0.33521944,0.59490773,0.61101370,0.29738787,0.71075274,0.24735032,0.44359768,0.52459207,0.47686064,0.65181177,0.41755732,0.59163401,0.74198314,0.78329989,0.59904741,0.22484605,0.42039346,0.48603159,0.50569490",N/A (Coevolution)
1,15,2025-05-30 23:00:13,216.28,CoevoSegBasePeerPair:4;HoFBasePair:4,160,43.0,40.8,40.5,39.0,1.249,"0.00000000,0.00000000,1.00000000,0.00000000,0.42357715,0.43396700,0.08011559,0.00000000,0.27210978,0.63708138,0.98308613,1.00000000,0.54902438,0.59290344,1.00000000,0.29175439,0.33252627,0.06979807,0.00000000,0.48297773","0.51324500,0.24647452,0.71941895,0.41173728,0.31125760,0.77208610,0.09720251,0.36691517,0.55151594,0.61643131,0.75874649,0.50328357,0.51438092,0.61632069,0.90008253,0.58706278,0.31746872,0.40442289,0.63606038,0.47316671",N/A (Coevolution)
1,16,2025-05-30 23:00:27,230.4,CoevoSegBasePeerPair:4;HoFBasePair:4,170,47.0,42.4,42.5,39.0,3.2,"0.80821168,0.01213005,0.00000000,1.00000000,0.00000000,0.47472385,0.08148627,1.00000000,0.78319679,1.00000000,1.00000000,0.36018621,0.68220892,0.84773382,1.00000000,0.86648273,0.40905388,0.15367528,0.00000000,0.49284704","0.65230286,0.19339881,0.61290515,0.71173728,0.33059478,0.83428772,0.15918192,0.60977644,0.58457342,0.49780296,0.64723502,0.24811762,0.48706410,0.70303758,0.80068803,0.77036136,0.39063797,0.42856570,0.62836904,0.50103331",N/A (Coevolution)
1,17,2025-05-30 23:00:41,244.6,CoevoSegBasePeerPair:4;HoFBasePair:4,180,47.0,41.5,40.5,37.0,3.0083,"0.90668306,0.40846828,0.81650049,0.86078590,0.81078673,0.48621762,0.00000000,0.00000000,1.00000000,0.40155468,0.00000000,0.00000000,1.00000000,0.20347778,1.00000000,1.00000000,1.00000000,0.41434442,0.61422413,0.27984070","0.59994058,0.18934243,0.70513438,0.39067920,0.37138397,0.55239367,0.16768494,0.26364043,0.57799806,0.39562593,0.65087725,0.36703158,0.41940917,0.65689428,0.85481232,0.81938043,0.45988538,0.52576341,0.60166028,0.50471535",N/A (Coevolution)
1,18,2025-05-30 23:00:55,258.93,CoevoSegBasePeerPair:4;HoFBasePair:4,190,49.0,42.7,42.5,39.0,2.9682,"1.00000000,0.41257133,0.77372953,0.97779790,0.28900291,1.00000000,1.00000000,0.28897401,0.86879743,0.00000000,0.49669529,0.77570955,0.00000000,0.00000000,1.00000000,0.43935682,1.00000000,0.47267290,0.75580951,0.85603416","0.55369260,0.21655803,0.64192741,0.39669087,0.25611453,0.73847050,0.25329413,0.50990261,0.44061706,0.44616830,0.70548204,0.50766696,0.37424996,0.55620550,0.78194056,0.76645135,0.38050107,0.51402911,0.53510202,0.54206270",N/A (Coevolution)
1,19,2025-05-30 23:01:09,273.08,CoevoSegBasePeerPair:4;HoFBasePair:4,200,49.0,43.4,43.0,38.0,3.4986,"0.76323806,0.57202540,0.80546372,0.91203816,0.00000000,0.00000000,0.00000000,0.49460087,0.00000000,0.35817875,0.00000000,0.00000000,0.39915161,0.00000000,0.06478795,1.00000000,0.69528949,0.00000000,1.00000000,1.00000000","0.43813146,0.28479353,0.73037271,0.57549069,0.24526526,0.60524163,0.11499756,0.20071563,0.31001107,0.34051524,0.66987379,0.35355243,0.60540918,0.58216961,0.43681180,0.69517805,0.27562996,0.44544080,0.74880701,0.53244843",N/A (Coevolution)
1,20,2025-05-30 23:01:24,287.29,CoevoSegBasePeerPair:4;HoFBasePair:4,210,45.0,41.3,40.5,39.0,1.9,"0.30827782,0.72328408,1.00000000,0.00000000,0.43359467,0.86200576,0.07292289,1.00000000,0.01117912,0.00000000,1.00000000,0.98456589,0.45570179,0.41746590,0.27782638,0.42709860,0.00000000,0.64158084,1.00000000,0.52902060","0.40187471,0.37942582,0.69867759,0.47166405,0.26629676,0.69221188,0.15918787,0.60001792,0.23286822,0.49574208,0.57235671,0.44698347,0.72921390,0.69520497,0.43190698,0.56382290,0.39536166,0.52177563,0.94346115,0.63274790",N/A (Coevolution)
1,21,2025-05-30 23:01:38,301.45,CoevoSegBasePeerPair:4;HoFBasePair:4,220,48.0,42.4,41.0,38.0,3.2619,"1.00000000,0.57953835,0.79462992,0.93247181,0.00000000,1.00000000,0.10362350,0.00000000,0.00000000,0.14802385,0.00000000,0.00000000,1.00000000,0.93953593,0.00000000,1.00000000,0.36349026,0.00000000,1.00000000,1.00000000","0.34346353,0.27052084,0.53759893,0.35021480,0.17803696,0.77740117,0.09932942,0.49792931,0.16643422,0.26194277,0.66610820,0.23509894,0.58707786,0.50439383,0.61234244,0.37078566,0.23274723,0.56342458,0.87184008,0.62230430",N/A (Coevolution)
1,22,2025-05-30 23:01:52,315.5,CoevoSegBasePeerPair:4;HoFBasePair:4,230,49.0,40.8,40.5,37.0,3.2187,"0.00000000,0.19155209,0.00000000,0.86147425,0.47153362,0.00000000,0.04825485,0.00000000,0.00000000,0.00000000,0.90005151,0.89294239,1.00000000,0.78312867,1.00000000,0.00000000,0.86559055,0.90500985,1.00000000,0.51357649","0.19571587,0.25041729,0.27814758,0.52615805,0.25072592,0.58283728,0.14742740,0.50929359,0.14171133,0.34999136,0.87889750,0.35453031,0.61324760,0.59779157,0.56748930,0.26910086,0.31856280,0.67861334,0.77634348,0.52733260",N/A (Coevolution)
1,23,2025-05-30 23:02:06,329.82,CoevoSegBasePeerPair:4;HoFBasePair:4,240,46.0,42.4,42.5,39.0,1.8,"0.00000000,0.00000000,0.00000000,1.00000000,0.03037836,0.36584659,0.07781522,0.00000000,0.23617419,0.41682113,0.96977759,0.00000000,0.60342889,0.52448304,0.50153727,0.00000000,1.00000000,0.00000000,0.00000000,0.51269187","0.35670831,0.38689182,0.35596470,0.45768390,0.34119787,0.25915990,0.24006229,0.39859642,0.08167769,0.20862337,0.78944721,0.65455847,0.70295406,0.60227602,0.31239475,0.17688576,0.56543731,0.42982507,0.76853400,0.57788215",N/A (Coevolution)
1,24,2025-05-30 23:02:20,343.87,CoevoSegBasePeerPair:4;HoFBasePair:4,250,51.0,42.9,41.5,38.0,4.2767,"0.07088029,0.33265248,0.00000000,1.00000000,0.41311609,0.96551410,0.04614044,1.00000000,0.00000000,0.00000000,0.89603038,0.53065231,0.92348353,0.80428908,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.49993029","0.31799874,0.34112627,0.35373237,0.66472826,0.28019283,0.45681161,0.24068739,0.40261934,0.07572365,0.29306999,0.77218317,0.39583083,0.61372739,0.60939061,0.47511843,0.24740725,0.47903828,0.53090500,0.61079073,0.56646984",N/A (Coevolution)
1,25,2025-05-30 23:02:34,357.99,CoevoSegBasePeerPair:4;HoFBasePair:4,260,48.0,41.9,41.0,39.0,2.7,"0.25170376,1.00000000,1.00000000,0.00000000,0.29019223,1.00000000,0.05764300,0.00000000,0.00000000,0.86819283,0.89788811,1.00000000,0.65671034,0.40763261,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.44760574","0.32260809,0.27691796,0.57941175,0.71141691,0.23583718,0.73433251,0.15942858,0.46830708,0.21122001,0.34010112,0.85124527,0.43573315,0.68831831,0.61200468,0.35074169,0.09845282,0.50926834,0.66321189,0.60925991,0.49903136",N/A (Coevolution)
1,26,2025-05-30 23:02:48,372.16,CoevoSegBasePeerPair:4;HoFBasePair:4,270,49.0,42.3,41.5,40.0,2.6476,"0.13848478,0.17007765,0.00000000,0.39653416,0.10641505,0.31219948,0.07824427,0.42987785,0.20600566,0.65932379,1.00000000,1.00000000,0.58405432,0.53048194,0.00000000,0.00000000,1.00000000,0.00000000,0.26439872,0.52497900","0.41179426,0.31209420,0.57941175,0.54794596,0.23937817,0.56020442,0.15927573,0.64967940,0.36348213,0.59763595,0.83285129,0.32733859,0.58267712,0.58123176,0.47244835,0.42885034,0.39985590,0.59464587,0.54252504,0.51690477",N/A (Coevolution)
1,27,2025-05-30 23:03:03,386.24,CoevoSegBasePeerPair:4;HoFBasePair:4,280,47.0,41.6,41.0,39.0,2.0591,"0.03122685,0.00000000,1.00000000,1.00000000,0.52010621,1.00000000,0.08772379,0.80458089,0.71091908,0.46313137,0.74110396,1.00000000,0.27302131,0.44078145,0.21703427,0.00000000,0.32927550,1.00000000,1.00000000,0.54951445","0.61089998,0.33755684,0.65837704,0.74522682,0.23355883,0.62062828,0.15190644,0.61683638,0.60487978,0.54573411,0.76326549,0.32963635,0.64918992,0.58008909,0.47061568,0.65839129,0.25626755,0.71771309,0.80000000,0.52333999",N/A (Coevolution)
1,28,2025-05-30 23:03:17,400.43,CoevoSegBasePeerPair:4;HoFBasePair:4,290,45.0,41.2,40.5,39.0,1.8868,"0.46552132,0.00000000,0.34687286,0.00000000,0.00000000,1.00000000,0.06341235,0.00000000,0.00000000,0.88972020,0.98439131,0.51017629,0.41234708,0.49568976,1.00000000,0.00000000,0.48517576,0.26325858,0.00000000,0.39518214","0.61631916,0.37680333,0.67066461,0.34913287,0.18795291,0.60544137,0.24591673,0.41683638,0.47857993,0.62686149,0.81958276,0.35920918,0.64102601,0.53032009,0.61384935,0.55529189,0.32105435,0.62217557,0.79524286,0.55902060",N/A (Coevolution)
1,29,2025-05-30 23:03:31,414.6,CoevoSegBasePeerPair:4;HoFBasePair:4,300,45.0,41.2,41.5,38.0,2.2716,"1.00000000,0.56945941,0.80076717,0.82141189,0.25617714,0.36602863,1.00000000,0.34479617,0.23971618,0.00000000,1.00000000,0.92814553,0.88198217,1.00000000,1.00000000,0.79825457,0.18579116,0.00000000,1.00000000,1.00000000","0.54942528,0.41359137,0.78976604,0.66263356,0.31042356,0.39777678,0.24636772,0.53675032,0.42015843,0.64619289,0.72573356,0.52707209,0.57842715,0.59453715,0.55469386,0.53976392,0.48692149,0.56867470,0.73453599,0.60998959",N/A (Coevolution)
1,30,2025-05-30 23:03:45,428.75,CoevoSegBasePeerPair:4;HoFBasePair:4,310,49.0,42.4,42.0,38.0,2.9732,"0.42016538,0.03202837,0.92277130,0.00000000,0.24284817,1.00000000,0.06937387,0.00000000,0.05858205,1.00000000,0.94629044,0.61868049,0.54750840,0.37372094,0.00000000,0.00000000,0.60728803,0.41630690,1.00000000,0.50672404","0.61787439,0.34242471,0.73016851,0.66620981,0.37998762,0.37314196,0.15560036,0.40466010,0.41509698,0.54017462,0.75087409,0.68881732,0.48558571,0.51275505,0.35072468,0.56463613,0.43009011,0.65761946,0.66649265,0.55422672",N/A (Coevolution)
1,31,2025-05-30 23:03:59,442.84,CoevoSegBasePeerPair:4;HoFBasePair:4,320,45.0,41.1,40.5,39.0,2.1656,"0.81217738,0.59849559,0.79943589,0.78153849,0.00000000,0.32826374,0.00000000,0.54025603,0.74827879,0.04819382,1.00000000,0.00000000,0.81963926,1.00000000,1.00000000,1.00000000,0.39048316,0.00000000,1.00000000,0.47905365","0.53839016,0.25317127,0.62694680,0.66707219,0.40462695,0.46390512,0.05621345,0.64074018,0.47542005,0.52658165,0.89111114,0.67134012,0.49542835,0.56501094,0.37808616,0.69474929,0.57430369,0.46921456,0.51642744,0.57004874",N/A (Coevolution)
1,32,2025-05-30 23:04:13,456.99,CoevoSegBasePeerPair:4;HoFBasePair:4,330,44.0,40.8,40.5,39.0,1.6,"0.95957816,0.60078189,0.78405995,0.82847816,0.00000000,1.00000000,0.28017681,1.00000000,0.73760068,0.00000000,0.88676513,0.37920119,0.12582023,0.00000000,0.00000000,0.60068418,0.02059808,1.00000000,1.00000000,0.14885559","0.60464463,0.30029852,0.64650752,0.48550594,0.49349203,0.40097513,0.09252894,0.69150220,0.54881283,0.40264657,0.77726375,0.71394275,0.38989006,0.35582248,0.32125398,0.49426856,0.52332693,0.67067618,0.42343120,0.52897375",N/A (Coevolution)
1,33,2025-05-30 23:04:27,471.11,CoevoSegBasePeerPair:4;HoFBasePair:4,340,49.0,43.0,42.0,37.0,4.3128,"0.00000000,0.00000000,1.00000000,0.70646862,0.10443925,1.00000000,0.09090046,0.55540214,0.83123519,1.00000000,0.56979102,1.00000000,0.26127175,0.48380085,0.00000000,0.95377520,0.00000000,0.93378985,0.12193607,0.55348026","0.55082101,0.30349898,0.84650752,0.64710678,0.36555401,0.50478770,0.09066119,0.56944164,0.42955627,0.31374623,0.77622098,0.75104829,0.47560143,0.24252417,0.42846657,0.49687741,0.54765684,0.58465085,0.50182927,0.51594110",N/A (Coevolution)
1,34,2025-05-30 23:04:42,485.26,CoevoSegBasePeerPair:4;HoFBasePair:4,350,44.0,41.4,41.5,37.0,2.01,"1.00000000,1.00000000,1.00000000,1.00000000,0.49476781,0.00000000,0.08378523,1.00000000,1.00000000,0.00000000,0.44007741,1.00000000,0.00000000,0.34510720,1.00000000,0.00000000,0.31723464,0.18996453,0.00000000,0.55117828","0.68898294,0.26922875,0.69218494,0.79587946,0.45913620,0.52879094,0.06815072,0.30453387,0.28308318,0.35607171,0.90984308,0.71624460,0.50226852,0.30452121,0.72502564,0.55251739,0.57528000,0.53195534,0.28214416,0.53947177",N/A (Coevolution)
1,35,2025-05-30 23:04:56,499.43,CoevoSegBasePeerPair:4;HoFBasePair:4,360,47.0,41.8,41.0,38.0,3.2187,"0.38041865,1.00000000,0.00000000,0.73550056,0.53213972,0.63985854,0.09006504,1.00000000,1.00000000,0.00000000,0.48033527,1.00000000,0.00000000,0.32860786,1.00000000,0.00000000,0.45846613,1.00000000,0.96578735,0.54054178","0.30594087,0.20013885,0.32656155,0.57355006,0.27924598,0.68651840,0.07340164,0.24074194,0.20927423,0.32980094,0.91967044,0.61395685,0.50352227,0.19221703,0.72552415,0.53468597,0.65809313,0.61480614,0.56238809,0.51755035",N/A (Coevolution)
1,36,2025-05-30 23:05:10,513.64,CoevoSegBasePeerPair:4;HoFBasePair:4,370,46.0,42.0,41.0,39.0,2.49,"0.15930223,0.00000000,0.00000000,1.00000000,0.11083653,0.66867712,0.06267062,1.00000000,0.03471534,0.00000000,0.92969342,0.57189495,0.38118188,0.25278897,1.00000000,0.56381575,0.59102844,0.00000000,0.00000000,0.68049119","0.32645240,0.11346054,0.32656155,0.60000000,0.23385494,0.61416925,0.07112167,0.30000000,0.11764671,0.22282038,0.95306999,0.57865059,0.52014897,0.18012682,0.73843555,0.59106755,0.57971048,0.34618775,0.39775402,0.53327961",N/A (Coevolution)
1,37,2025-05-30 23:05:24,527.81,CoevoSegBasePeerPair:4;HoFBasePair:4,380,44.0,41.4,41.0,39.0,1.3565,"0.16564494,0.24976365,0.94531498,0.00000000,0.04291934,0.62685891,0.06821183,0.00000000,0.14391623,0.10011237,1.00000000,0.00000000,1.00000000,0.00000000,0.52100186,0.55876471,0.40911478,0.47003828,0.00000000,0.71692523","0.27859600,0.18783263,0.39711753,0.54954351,0.31934835,0.63131661,0.07489138,0.30000000,0.14350556,0.23852210,0.93170463,0.59058543,0.41044152,0.34691723,0.83409145,0.49056244,0.51094131,0.46172052,0.45494287,0.55498568",N/A (Coevolution)
1,38,2025-05-30 23:05:38,541.93,CoevoSegBasePeerPair:4;HoFBasePair:4,390,46.0,41.2,40.0,38.0,2.9933,"0.00000000,0.00000000,1.00000000,0.00000000,0.86624523,0.00000000,0.10046893,1.00000000,1.00000000,0.00000000,0.90590959,1.00000000,0.53754960,0.30913616,0.46923748,0.00000000,0.32450638,0.00000000,0.81222841,0.41575522","0.29218885,0.21683697,0.23348240,0.40000000,0.44977342,0.41861948,0.07775734,0.30103423,0.26717915,0.20343575,0.91948937,0.64938373,0.44333260,0.36685778,0.66669396,0.64676516,0.50315222,0.32647568,0.56499719,0.55170382",N/A (Coevolution)
1,39,2025-05-30 23:05:52,556.19,CoevoSegBasePeerPair:4;HoFBasePair:4,400,46.0,41.4,40.5,38.0,2.8355,"0.37892501,0.06173598,0.33482405,0.00000000,0.13876073,1.00000000,0.05989958,0.00000000,0.18077497,0.00000000,0.89877318,0.61532134,0.44722450,0.45024329,0.57093222,0.00000000,0.62634182,0.00000000,1.00000000,0.62999771","0.29960646,0.30636826,0.48042240,0.40000000,0.45402206,0.47631524,0.07882781,0.20707942,0.07551599,0.28765913,0.91770981,0.55797008,0.43598746,0.33719046,0.68229881,0.62260963,0.57240130,0.24402887,0.51768023,0.62490105",N/A (Coevolution)
