# Experiment Session ID: session_20250602_085435_s123_mfixed
# Date Generated: 2025-06-02 08:54:35 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 100
# Max Evaluations per Run: 7000
# Base Games vs Fixed Opponent List: 20
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot']
# Hall of Fame Size: 3
# Base Games vs Each HoF Member: 4
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: fixed
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-02 08:55:00,25.27,FixedSegBaseTotal:20;HoFBasePair:4,100,6.0,0.74,0.0,0.0,1.5272,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.47639342,0.51382987,0.49084231,0.52315106,0.51539289,0.49615686,0.48860130,0.48359169,0.49493960,0.54290095,0.49263251,0.51821190,0.52713284,0.51518930,0.48534621,0.47687613,0.47489099,0.52213144,0.54327938,0.44977232","MaxAgentsBot:1/7,MaxPrestigeBot:3/6,PatronFavorsBot:2/7"
1,1,2025-06-02 08:55:26,50.94,FixedSegBaseTotal:20;HoFBasePair:4,200,9.0,1.35,0.0,0.0,1.9919,"0.46838214,0.72758509,0.00000000,0.54171786,0.30579787,0.68150876,0.00000000,1.00000000,0.28807822,0.77275065,0.77868531,1.00000000,0.52922816,0.66191791,0.53771384,0.42447801,0.18610910,1.00000000,0.83637303,0.00000000","0.45330211,0.45670909,0.45742434,0.52996211,0.48471495,0.55161962,0.37478067,0.45002092,0.53954365,0.49072083,0.45798261,0.57076833,0.52550406,0.52727325,0.53991682,0.51804472,0.53737878,0.47744061,0.56173283,0.50898698","MaxAgentsBot:2/7,MaxPrestigeBot:5/6,PatronFavorsBot:2/7"
1,2,2025-06-02 08:55:52,77.23,FixedSegBaseTotal:20;HoFBasePair:4,300,12.0,1.97,1.0,0.0,2.3171,"0.00000000,0.16502250,0.63408461,0.63412861,1.00000000,0.78458183,0.00000000,0.60144185,0.00000000,0.81387808,0.86111273,0.86580180,0.51354917,1.00000000,0.96015031,0.00000000,0.00000000,1.00000000,0.71720941,0.69646487","0.45808038,0.42537246,0.43351035,0.52184059,0.51505163,0.53696192,0.24809721,0.45457056,0.53112343,0.47694019,0.39240963,0.58679400,0.49719207,0.56973793,0.52433501,0.48382714,0.50789573,0.48003802,0.56398030,0.57526374","MaxAgentsBot:3/7,MaxPrestigeBot:5/6,PatronFavorsBot:4/7"
1,3,2025-06-02 08:56:19,104.33,FixedSegBaseTotal:20;HoFBasePair:4,400,13.0,3.0,2.0,0.0,2.6721,"0.25406882,1.00000000,0.79153698,0.00000000,0.17641367,0.00000000,0.00000000,0.00000000,0.85233964,0.38393972,0.64873559,1.00000000,0.00000000,0.98742252,0.05407353,0.39339004,0.99126353,0.37785195,1.00000000,0.49812304","0.45378177,0.45596388,0.44995868,0.53917262,0.54531996,0.51416138,0.17519314,0.47905051,0.54612688,0.50415481,0.43363309,0.67610066,0.51384478,0.57520899,0.52603641,0.50048416,0.51198801,0.50416429,0.58064942,0.55777972","MaxAgentsBot:4/7,MaxPrestigeBot:3/6,PatronFavorsBot:6/7"
1,4,2025-06-02 08:56:51,135.75,FixedSegBaseTotal:20;HoFBasePair:4,500,15.0,4.42,4.0,1.0,2.9772,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.47796886,0.43128268,0.49163233,0.54458749,0.52374983,0.47341770,0.10915340,0.48686880,0.52453613,0.49647499,0.47823579,0.72207035,0.55650830,0.55982384,0.51945568,0.49690667,0.54466224,0.44772987,0.54650007,0.50303367","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,5,2025-06-02 08:57:23,168.12,FixedSegBaseTotal:20;HoFBasePair:4,600,15.0,5.66,5.0,3.0,2.5738,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.46182353,0.42084042,0.52827073,0.52523443,0.56770511,0.44238646,0.07714008,0.48354504,0.45491776,0.48122422,0.49385225,0.74481536,0.53187265,0.51850220,0.58973547,0.53717236,0.56517503,0.46357852,0.55657382,0.43132608","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,6,2025-06-02 08:57:54,199.6,FixedSegBaseTotal:20;HoFBasePair:4,700,15.0,6.85,6.0,4.0,2.666,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.47654509,0.44362860,0.49959611,0.52821966,0.54525455,0.40082119,0.06477480,0.48188692,0.45082976,0.51453598,0.54381063,0.78423704,0.52375690,0.54175862,0.59866458,0.54458318,0.53644025,0.45505922,0.56641843,0.36890559","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,7,2025-06-02 08:58:27,232.63,FixedSegBaseTotal:20;HoFBasePair:4,800,15.0,7.23,7.0,4.0,2.5054,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.46951569,0.43442241,0.49145645,0.53472516,0.55700500,0.40049512,0.05856400,0.46293719,0.43200899,0.54883004,0.54934960,0.79393333,0.52582413,0.57976827,0.61408333,0.51886990,0.50120495,0.47859518,0.54989595,0.32264785","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,8,2025-06-02 08:59:00,264.83,FixedSegBaseTotal:20;HoFBasePair:4,900,15.0,8.06,7.0,5.0,2.3572,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.49766648,0.42295166,0.48920701,0.51063660,0.57947212,0.33106357,0.05557109,0.47984240,0.41093298,0.53243013,0.57168242,0.80256301,0.50247394,0.57650205,0.59819432,0.52291267,0.46195905,0.46765811,0.55069459,0.31335811","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
1,9,2025-06-02 08:59:30,294.75,FixedSegBaseTotal:20;HoFBasePair:4,1000,15.0,8.73,8.0,6.0,2.1253,"0.37869002,0.92162098,0.83344986,0.00000000,0.45036963,0.00000000,0.00441452,0.18454212,0.55997382,1.00000000,0.62541860,1.00000000,0.48010483,1.00000000,0.15149130,0.39980086,1.00000000,0.04463523,0.47110964,0.00000000","0.49835393,0.46299479,0.52007940,0.50924697,0.57902385,0.35687054,0.05632171,0.47137715,0.41016589,0.53757504,0.59774049,0.83966400,0.49451664,0.57539853,0.57822758,0.52286444,0.45540041,0.49185755,0.52364743,0.31224802","MaxAgentsBot:5/7,MaxPrestigeBot:4/6,PatronFavorsBot:6/7"
