# Experiment Session ID: session_20250602_210617_s123_mhybrid
# Date Generated: 2025-06-02 21:06:17 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 20
# Max Evaluations per Run: 5000
# Base Games vs Fixed Opponent List: 20
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot']
# Base Coevo Games per Peer Pairing: 4
# Hall of Fame Size: 3
# Base Games vs Each HoF Member: 4
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.4,coevolution:0.3,fixed:0.3
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-02 21:06:23,6.57,FixedSegBaseTotal:20;HoFBasePair:4,20,5.0,0.55,0.0,0.0,1.244,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.35122541,0.44179438,0.51690577,0.50135966,0.49990176,0.49736938,0.47683692,0.37450406,0.56551871,0.42715024,0.56026021,0.52194248,0.45569636,0.57843957,0.46910484,0.48023183,0.44311117,0.49268299,0.44801795,0.49875663","MaxAgentsBot:2/7,MaxPrestigeBot:1/6,PatronFavorsBot:2/7"
1,1,2025-06-02 21:06:31,13.98,FixedSegBaseTotal:20;HoFBasePair:4,40,11.0,1.55,0.5,0.0,2.5783,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.26675772,0.39763655,0.52834340,0.50223987,0.62591139,0.52741804,0.28235917,0.39589724,0.58465129,0.49780422,0.54896870,0.64757213,0.48706021,0.59420542,0.57215533,0.44210458,0.39219767,0.33226915,0.53078073,0.38764049","MaxAgentsBot:1/7,MaxPrestigeBot:5/6,PatronFavorsBot:5/7"
1,2,2025-06-02 21:06:36,19.54,FixedSegBaseTotal:20;HoFBasePair:4,60,11.0,1.85,1.0,0.0,2.5155,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.26932799,0.34217059,0.61236925,0.49405552,0.68768525,0.52771350,0.29796061,0.46849406,0.31398637,0.59482125,0.37136016,0.57981222,0.43563805,0.55362469,0.50897378,0.55024623,0.49757401,0.43641258,0.51562127,0.38658810","MaxAgentsBot:1/7,MaxPrestigeBot:5/6,PatronFavorsBot:5/7"
1,3,2025-06-02 21:06:42,25.81,FixedSegBaseTotal:20;HoFBasePair:4,80,12.0,3.75,3.0,1.0,3.2692,"1.00000000,0.00000000,0.83651225,0.49535074,0.00000000,0.00000000,0.02912087,0.00000000,1.00000000,1.00000000,0.42442634,1.00000000,0.35206785,1.00000000,0.53790976,0.63054823,0.93873160,0.60527732,0.00000000,0.00000000","0.36450120,0.38840703,0.59470301,0.44375515,0.63242221,0.44433256,0.12811826,0.35603540,0.40938419,0.63304454,0.36249636,0.67218273,0.43464663,0.64470897,0.53623455,0.63224223,0.43306320,0.44775116,0.44342725,0.41803029","MaxAgentsBot:4/7,MaxPrestigeBot:2/6,PatronFavorsBot:6/7"
1,4,2025-06-02 21:06:49,32.58,FixedSegBaseTotal:20;HoFBasePair:4,100,12.0,4.75,3.0,2.0,3.0964,"1.00000000,0.00000000,0.83651225,0.49535074,0.00000000,0.00000000,0.02912087,0.00000000,1.00000000,1.00000000,0.42442634,1.00000000,0.35206785,1.00000000,0.53790976,0.63054823,0.93873160,0.60527732,0.00000000,0.00000000","0.32469327,0.40140629,0.49775781,0.48955908,0.63031641,0.30077157,0.07631847,0.40206617,0.49292398,0.63093129,0.38637945,0.63846660,0.45748382,0.72006515,0.55674555,0.65867034,0.39829420,0.52575899,0.42785002,0.46703833","MaxAgentsBot:4/7,MaxPrestigeBot:2/6,PatronFavorsBot:6/7"
1,5,2025-06-02 21:06:58,41.32,FixedSegBaseTotal:20;HoFBasePair:4,120,12.0,6.65,6.0,3.0,2.7436,"1.00000000,0.00000000,0.83651225,0.49535074,0.00000000,0.00000000,0.02912087,0.00000000,1.00000000,1.00000000,0.42442634,1.00000000,0.35206785,1.00000000,0.53790976,0.63054823,0.93873160,0.60527732,0.00000000,0.00000000","0.43239821,0.53762888,0.37761766,0.57723538,0.58211245,0.23409386,0.05385436,0.34218618,0.62188052,0.59453757,0.47308885,0.65564720,0.39364069,0.86780821,0.47729085,0.60900902,0.34991119,0.52628359,0.45706481,0.47332183","MaxAgentsBot:4/7,MaxPrestigeBot:2/6,PatronFavorsBot:6/7"
1,6,2025-06-02 21:07:05,48.67,FixedSegBaseTotal:20;HoFBasePair:4,140,12.0,6.95,6.0,4.0,2.4182,"1.00000000,0.00000000,0.83651225,0.49535074,0.00000000,0.00000000,0.02912087,0.00000000,1.00000000,1.00000000,0.42442634,1.00000000,0.35206785,1.00000000,0.53790976,0.63054823,0.93873160,0.60527732,0.00000000,0.00000000","0.52200837,0.51233166,0.36005258,0.52540900,0.61276735,0.22200234,0.05071294,0.39413682,0.61436781,0.54546558,0.51430917,0.67349961,0.36148358,0.78582429,0.56544418,0.51418374,0.32426761,0.54982470,0.45384672,0.36002266","MaxAgentsBot:4/7,MaxPrestigeBot:2/6,PatronFavorsBot:6/7"
1,7,2025-06-02 21:07:13,56.45,FixedSegBaseTotal:20;HoFBasePair:4,160,12.0,8.0,8.0,5.0,2.0,"1.00000000,0.00000000,0.83651225,0.49535074,0.00000000,0.00000000,0.02912087,0.00000000,1.00000000,1.00000000,0.42442634,1.00000000,0.35206785,1.00000000,0.53790976,0.63054823,0.93873160,0.60527732,0.00000000,0.00000000","0.60877619,0.37882816,0.34419971,0.50276815,0.63976335,0.25059273,0.04859713,0.42317664,0.62742057,0.51490247,0.55410274,0.75158624,0.33752323,0.66212404,0.62471964,0.53424325,0.39130895,0.53961352,0.48580588,0.38457349","MaxAgentsBot:4/7,MaxPrestigeBot:2/6,PatronFavorsBot:6/7"
1,8,2025-06-02 21:07:21,64.49,FixedSegBaseTotal:20;HoFBasePair:4,180,13.0,8.7,8.5,6.0,1.9519,"1.00000000,0.00000000,0.31493344,1.00000000,0.71120052,0.00000000,0.00000000,0.00000000,0.00000000,0.85790830,0.21934469,0.43230845,0.37879283,1.00000000,1.00000000,1.00000000,0.18084613,0.98743724,0.18349462,1.00000000","0.63924364,0.42045315,0.35594593,0.54767364,0.67162302,0.22322015,0.03779223,0.45192911,0.59084801,0.48086447,0.59572007,0.79793686,0.25211936,0.61308870,0.72218109,0.62176716,0.35768507,0.58679327,0.48541426,0.42457450","MaxAgentsBot:6/7,MaxPrestigeBot:0/6,PatronFavorsBot:7/7"
1,9,2025-06-02 21:07:29,71.87,FixedSegBaseTotal:20;HoFBasePair:4,200,13.0,9.6,9.0,8.0,1.5297,"1.00000000,0.00000000,0.31493344,1.00000000,0.71120052,0.00000000,0.00000000,0.00000000,0.00000000,0.85790830,0.21934469,0.43230845,0.37879283,1.00000000,1.00000000,1.00000000,0.18084613,0.98743724,0.18349462,1.00000000","0.61254802,0.45839214,0.45120761,0.54022516,0.64312969,0.13039288,0.04402029,0.44972091,0.56599694,0.47913989,0.67314317,0.91690342,0.28661170,0.64323785,0.76218332,0.69205897,0.46567261,0.53721118,0.58333471,0.41974670","MaxAgentsBot:6/7,MaxPrestigeBot:0/6,PatronFavorsBot:7/7"
