# Experiment Session ID: session_20250617_144004_s123_mfixed
# Date Generated: 2025-06-17 14:40:04 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 100
# Max Evaluations per Run: 1000
# Base Games vs Fixed Opponent List: 50
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot']
# Hall of Fame Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: fixed
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-17 14:40:34,30.28,FixedSegBaseTotal:50,100,19.0,1.72,0.0,0.0,3.9219,"0.98330714,0.25845434,0.39105049,0.71164016,0.22091954,0.05427902,0.20375352,0.46180243,0.86560848,0.83010707,0.58638426,0.75265233,0.68869997,0.28852420,0.51522085,0.21254209,0.12520752,0.93920157,0.74502719,0.58943555","0.47639342,0.51382987,0.49084231,0.52315106,0.51539289,0.49615686,0.48860130,0.48359169,0.49493960,0.54290095,0.49263251,0.51821190,0.52713284,0.51518930,0.48534621,0.47687613,0.47489099,0.52213144,0.54327938,0.44977232","MaxAgentsBot:1/17,MaxPrestigeBot:9/16,PatronFavorsBot:9/17"
1,1,2025-06-17 14:41:26,81.72,FixedSegBaseTotal:50,200,25.0,4.7,2.0,1.0,5.2374,"0.67583808,0.64363209,0.20070099,0.91021653,0.01189000,0.58014470,0.00000000,1.00000000,0.88922200,0.35101540,0.73791753,1.00000000,0.49310702,0.24773323,0.56083390,0.83824644,1.00000000,0.74189268,0.62092669,0.00000000","0.47290195,0.44883497,0.47067284,0.55563902,0.47349515,0.55529529,0.39030570,0.47751492,0.52486050,0.51863311,0.44406780,0.52195563,0.53018480,0.55487067,0.56601386,0.50923434,0.54430219,0.47893215,0.57778342,0.51739419","MaxAgentsBot:5/17,MaxPrestigeBot:11/16,PatronFavorsBot:8/17"
1,2,2025-06-17 14:42:41,157.38,FixedSegBaseTotal:50,300,26.0,7.22,5.0,3.0,5.4582,"0.00000000,0.00000000,0.00000000,0.30347795,0.82587442,0.10574336,0.06357715,1.00000000,0.29593374,0.46855053,0.74878343,1.00000000,1.00000000,0.98306506,0.78659388,1.00000000,0.00000000,0.48289181,0.47297649,0.48486809","0.45808381,0.50273794,0.43879462,0.50845137,0.53189023,0.50681586,0.26975093,0.43751361,0.52202628,0.45995350,0.44170027,0.56922353,0.52528187,0.53204099,0.54181318,0.45021578,0.53326046,0.49346358,0.60912396,0.50762616","MaxAgentsBot:2/17,MaxPrestigeBot:12/16,PatronFavorsBot:10/17"
1,3,2025-06-17 14:44:19,254.7,FixedSegBaseTotal:50,400,29.0,10.46,8.0,5.0,6.2377,"0.00000000,1.00000000,0.06388538,0.80627125,1.00000000,0.00000000,0.05953587,0.16166918,1.00000000,0.02181175,0.79163627,1.00000000,0.25227708,0.97086620,0.75686306,1.00000000,0.20437071,0.49183678,1.00000000,0.35957052","0.48931442,0.50610503,0.44169338,0.52086067,0.55891547,0.53253305,0.26168334,0.42753606,0.53151496,0.48846939,0.50204738,0.68900876,0.55083329,0.51432567,0.55153850,0.47035596,0.49636539,0.53070025,0.56435285,0.45857987","MaxAgentsBot:4/17,MaxPrestigeBot:13/16,PatronFavorsBot:6/17"
1,4,2025-06-17 14:46:00,355.78,FixedSegBaseTotal:50,500,30.0,13.51,11.0,7.0,6.3992,"0.61837893,0.25769980,0.39234994,0.68821532,0.71058834,0.00000000,0.00000000,0.00000000,0.00000000,0.60051123,0.73379710,1.00000000,0.54543046,1.00000000,0.93212552,0.91212353,0.00000000,0.42403481,0.96682470,0.14155675","0.49820111,0.54121879,0.45220613,0.53936461,0.52367207,0.50725527,0.17291886,0.41161079,0.55862366,0.48469065,0.48542989,0.70447573,0.56378148,0.50519802,0.55450044,0.51619928,0.55019474,0.45536972,0.60068265,0.44104004","MaxAgentsBot:1/17,MaxPrestigeBot:14/16,PatronFavorsBot:10/17"
1,5,2025-06-17 14:47:22,438.09,FixedSegBaseTotal:50,600,31.0,17.27,16.0,9.0,6.5572,"0.48826856,0.00000000,0.70707954,1.00000000,0.00000000,0.00000000,0.09286216,0.17064959,0.67249557,0.63015667,0.86152633,1.00000000,1.00000000,1.00000000,0.00000000,0.45711793,1.00000000,0.41437891,0.50011297,0.00000000","0.47791192,0.51631132,0.48345606,0.54266669,0.54193805,0.49194292,0.08012050,0.41973719,0.54761508,0.55192065,0.54552006,0.74618361,0.55430467,0.50915626,0.59099767,0.52898271,0.55553944,0.45193041,0.63560736,0.38475327","MaxAgentsBot:5/17,MaxPrestigeBot:10/16,PatronFavorsBot:12/17"
1,6,2025-06-17 14:49:05,541.26,FixedSegBaseTotal:50,700,31.0,20.36,20.0,12.0,5.3451,"0.48826856,0.00000000,0.70707954,1.00000000,0.00000000,0.00000000,0.09286216,0.17064959,0.67249557,0.63015667,0.86152633,1.00000000,1.00000000,1.00000000,0.00000000,0.45711793,1.00000000,0.41437891,0.50011297,0.00000000","0.49154539,0.51547153,0.50635025,0.57736419,0.54556193,0.46128441,0.05332466,0.43679387,0.51993112,0.58311507,0.59060331,0.80257472,0.56146600,0.52759869,0.57211945,0.53542203,0.55814199,0.44601010,0.62385960,0.31546830",Details not found for best individual
1,7,2025-06-17 14:50:51,647.41,FixedSegBaseTotal:50,800,34.0,23.26,23.0,16.0,4.1125,"1.00000000,0.25783164,1.00000000,0.00000000,0.00000000,0.00000000,0.04446309,0.00000000,0.00000000,0.80036103,0.52935941,1.00000000,0.41070623,0.41845047,0.28787437,0.87889454,0.90646718,1.00000000,0.75552546,0.00000000","0.49091474,0.50648638,0.51257903,0.60624237,0.50955354,0.43182962,0.04921580,0.43762392,0.56539115,0.59468325,0.63825346,0.86058349,0.55905816,0.57112223,0.57481937,0.56240901,0.59278971,0.48800641,0.63373087,0.26985265","MaxAgentsBot:11/17,MaxPrestigeBot:7/16,PatronFavorsBot:11/17"
1,8,2025-06-17 14:52:36,751.48,FixedSegBaseTotal:50,900,37.0,25.33,25.0,21.0,3.1498,"1.00000000,0.25219381,1.00000000,0.50009301,1.00000000,0.00000000,0.00000000,0.01483949,0.00000000,0.92305743,0.56476624,1.00000000,0.29186986,0.00000000,0.51598138,1.00000000,0.74426218,0.00000000,0.90822933,0.00000000","0.47004873,0.54755112,0.49773610,0.55668262,0.46757632,0.41344177,0.05009071,0.43245494,0.56412895,0.58860402,0.67316329,0.89461483,0.59501413,0.59940188,0.62318989,0.63154777,0.62802695,0.47336285,0.63832424,0.29740313","MaxAgentsBot:13/17,MaxPrestigeBot:4/16,PatronFavorsBot:15/17"
1,9,2025-06-17 14:53:57,832.89,FixedSegBaseTotal:50,1000,37.0,26.28,26.0,23.0,2.608,"1.00000000,0.25219381,1.00000000,0.50009301,1.00000000,0.00000000,0.00000000,0.01483949,0.00000000,0.92305743,0.56476624,1.00000000,0.29186986,0.00000000,0.51598138,1.00000000,0.74426218,0.00000000,0.90822933,0.00000000","0.48635941,0.56271027,0.43696614,0.56820330,0.49174056,0.41534467,0.04856400,0.40110701,0.56999790,0.53862888,0.71676695,0.92746513,0.59545025,0.59417606,0.63588016,0.62448753,0.62348097,0.45425544,0.63618906,0.32681151",Details not found for best individual
2,0,2025-06-17 14:54:24,27.45,FixedSegBaseTotal:50,100,21.0,1.23,0.0,0.0,3.6135,"0.61099995,0.88659746,0.58207297,0.24200763,0.57385085,0.63409500,0.05406138,0.41164816,0.42886223,0.67835189,0.64431676,0.86030587,0.19354753,0.54881953,0.46851389,0.59121417,0.58052779,0.19201156,0.65647772,0.38043952","0.51854050,0.49036727,0.52392487,0.51018260,0.51315160,0.49433173,0.57101565,0.47187695,0.49681944,0.46285118,0.52970837,0.52233123,0.44931877,0.50127647,0.49716304,0.49965008,0.46881503,0.56058293,0.49029280,0.48891542","MaxAgentsBot:2/17,MaxPrestigeBot:11/16,PatronFavorsBot:8/17"
2,1,2025-06-17 14:55:15,78.22,FixedSegBaseTotal:50,200,21.0,4.64,2.0,1.0,5.1701,"0.74752507,1.00000000,1.00000000,0.89739163,0.27828395,0.15540531,0.06968246,0.37479712,0.51945326,0.37308075,0.68714112,0.84462840,0.26538820,0.00000000,0.95249612,0.01457056,0.69482158,0.66908097,0.45759000,0.64058750","0.52173500,0.54664453,0.50649679,0.52242949,0.50779675,0.49156297,0.46858167,0.48306017,0.48008012,0.49281257,0.47009040,0.54966631,0.42580937,0.49075365,0.58694117,0.52615671,0.50486028,0.50493220,0.44420680,0.50602221","MaxAgentsBot:1/17,MaxPrestigeBot:10/16,PatronFavorsBot:9/17"
2,2,2025-06-17 14:56:30,153.42,FixedSegBaseTotal:50,300,21.0,7.04,5.0,3.0,4.7179,"0.74752507,1.00000000,1.00000000,0.89739163,0.27828395,0.15540531,0.06968246,0.37479712,0.51945326,0.37308075,0.68714112,0.84462840,0.26538820,0.00000000,0.95249612,0.01457056,0.69482158,0.66908097,0.45759000,0.64058750","0.53978348,0.48292487,0.58013302,0.55642273,0.54580722,0.48761819,0.30165658,0.44182864,0.53078830,0.52515084,0.45491817,0.59332445,0.40295992,0.47759108,0.58610020,0.44791344,0.51096497,0.48077126,0.48424045,0.53724801",Details not found for best individual
2,3,2025-06-17 14:57:48,231.38,FixedSegBaseTotal:50,400,25.0,9.6,8.5,4.0,5.14,"0.00000000,0.22484960,1.00000000,1.00000000,0.00000000,0.03114703,0.00000000,0.76948158,0.00000000,0.77938208,0.96883855,1.00000000,0.97558449,0.85183070,0.55612909,1.00000000,0.00000000,0.00000000,0.83598449,0.65413655","0.56210243,0.51824486,0.57233364,0.55709759,0.61006736,0.46485431,0.17044296,0.44253935,0.53647500,0.51175443,0.45261158,0.65191052,0.43036790,0.46183713,0.52972868,0.44728919,0.52188040,0.50553118,0.49659677,0.52816782","MaxAgentsBot:3/17,MaxPrestigeBot:9/16,PatronFavorsBot:10/17"
2,4,2025-06-17 14:59:34,336.73,FixedSegBaseTotal:50,500,26.0,11.93,10.0,6.0,4.9117,"0.00000000,1.00000000,1.00000000,0.03610496,0.95643356,0.00000000,0.04614050,1.00000000,0.78213586,0.25645225,0.47892967,0.49912109,0.64993744,0.00000000,0.00000000,0.00000000,0.85135498,0.00000000,0.00000000,0.00447853","0.51004888,0.53213501,0.57018233,0.50564399,0.61466095,0.48962953,0.09736795,0.52886410,0.54323823,0.54698202,0.47117355,0.66077179,0.50423176,0.50064539,0.55040897,0.44324839,0.54765710,0.48930009,0.51313300,0.54532459","MaxAgentsBot:2/17,MaxPrestigeBot:13/16,PatronFavorsBot:4/17"
