# Experiment Session ID: session_20250617_154706_s123_mhybrid
# Date Generated: 2025-06-17 15:47:06 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 20
# Max Evaluations per Run: 500
# Base Games vs Fixed Opponent List: 50
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot']
# Base Coevo Games per Peer Pairing: 5
# Hall of Fame Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.4,coevolution:0.3,fixed:0.3
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-17 15:47:14,7.68,FixedSegBaseTotal:50,20,10.0,1.05,0.0,0.0,2.8368,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.35122541,0.44179438,0.51690577,0.50135966,0.49990176,0.49736938,0.47683692,0.37450406,0.56551871,0.42715024,0.56026021,0.52194248,0.45569636,0.57843957,0.46910484,0.48023183,0.44311117,0.49268299,0.44801795,0.49875663","MaxAgentsBot:2/17,MaxPrestigeBot:4/16,PatronFavorsBot:4/17"
1,1,2025-06-17 15:47:23,16.78,FixedSegBaseTotal:50,40,24.0,4.25,2.0,0.0,5.3654,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.23182417,0.41642116,0.44720226,0.39406266,0.62168729,0.48498770,0.31824433,0.41379553,0.51041077,0.51380164,0.44475336,0.59617779,0.50427304,0.61500358,0.58393497,0.45407766,0.45156258,0.39591021,0.47201714,0.42073008","MaxAgentsBot:3/17,MaxPrestigeBot:12/16,PatronFavorsBot:8/17"
1,2,2025-06-17 15:47:32,25.98,FixedSegBaseTotal:50,60,24.0,7.25,5.0,2.0,5.6114,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.24720496,0.37128583,0.52479416,0.44469332,0.56780104,0.45006776,0.22209084,0.50005515,0.44406118,0.51878460,0.37545554,0.59564339,0.48725661,0.58602973,0.65685012,0.46357229,0.50440544,0.50113426,0.46061359,0.48719549",Details not found for best individual
1,3,2025-06-17 15:47:41,35.48,FixedSegBaseTotal:50,80,30.0,12.3,8.0,4.0,8.1554,"0.00000000,0.76684471,0.01608429,0.22745732,0.00000000,1.00000000,0.00000000,0.09555331,0.97820033,0.81064188,0.74524747,1.00000000,0.27945617,0.37971328,1.00000000,0.00000000,0.26953348,0.27619868,0.94352634,0.02444199","0.23894172,0.41408340,0.52161034,0.39578967,0.58324725,0.49091351,0.16318403,0.49076449,0.53906886,0.47019884,0.36339901,0.64600337,0.49204215,0.43849154,0.60934000,0.51041100,0.39670874,0.52776873,0.51242880,0.33826472","MaxAgentsBot:4/17,MaxPrestigeBot:11/16,PatronFavorsBot:11/17"
1,4,2025-06-17 15:47:54,48.24,FixedSegBaseTotal:50,100,30.0,15.25,14.5,6.0,7.7709,"0.00000000,0.76684471,0.01608429,0.22745732,0.00000000,1.00000000,0.00000000,0.09555331,0.97820033,0.81064188,0.74524747,1.00000000,0.27945617,0.37971328,1.00000000,0.00000000,0.26953348,0.27619868,0.94352634,0.02444199","0.17493665,0.43013426,0.45340531,0.31165823,0.59056038,0.48309892,0.10639597,0.51049156,0.59299916,0.44213836,0.48203875,0.69566663,0.45843411,0.53315549,0.67650173,0.55192173,0.36173484,0.46133831,0.63252461,0.37090701",Details not found for best individual
1,5,2025-06-17 15:48:08,61.89,FixedSegBaseTotal:50,120,30.0,18.05,19.5,9.0,6.5534,"0.00000000,0.76684471,0.01608429,0.22745732,0.00000000,1.00000000,0.00000000,0.09555331,0.97820033,0.81064188,0.74524747,1.00000000,0.27945617,0.37971328,1.00000000,0.00000000,0.26953348,0.27619868,0.94352634,0.02444199","0.19744880,0.57151291,0.40372887,0.32266723,0.54927170,0.42870432,0.09854209,0.48079756,0.65773874,0.46503706,0.50962338,0.74674258,0.39566123,0.64879130,0.74994450,0.48952739,0.23255191,0.48363149,0.68251549,0.32241573",Details not found for best individual
1,6,2025-06-17 15:48:19,73.47,FixedSegBaseTotal:50,140,30.0,20.95,20.0,13.0,4.7904,"0.00000000,0.76684471,0.01608429,0.22745732,0.00000000,1.00000000,0.00000000,0.09555331,0.97820033,0.81064188,0.74524747,1.00000000,0.27945617,0.37971328,1.00000000,0.00000000,0.26953348,0.27619868,0.94352634,0.02444199","0.26079550,0.56216555,0.31345828,0.19596526,0.54701143,0.34562702,0.07967760,0.34564125,0.73670126,0.52340717,0.60400973,0.83398533,0.34721282,0.64273928,0.82569461,0.41027524,0.14603246,0.54056430,0.72771373,0.23596935",Details not found for best individual
1,7,2025-06-17 15:48:30,84.46,FixedSegBaseTotal:50,160,33.0,23.0,21.5,16.0,4.5166,"0.00000000,0.00000000,0.90129335,0.00000000,0.00000000,0.20117763,0.06768701,0.00000000,1.00000000,0.35496616,0.84189674,1.00000000,0.87135562,0.00000000,0.75283622,1.00000000,0.21553923,0.28276022,1.00000000,0.25815921","0.21177182,0.57798120,0.30269072,0.20144843,0.55143835,0.32579501,0.06682782,0.32485355,0.75319043,0.52015879,0.67904401,0.88254411,0.41097834,0.57967801,0.82126481,0.49916636,0.12420512,0.56615576,0.76519107,0.24917381","MaxAgentsBot:7/17,MaxPrestigeBot:14/16,PatronFavorsBot:10/17"
1,8,2025-06-17 15:48:42,95.77,FixedSegBaseTotal:50,180,33.0,25.0,25.0,20.0,3.6606,"0.00000000,0.00000000,0.90129335,0.00000000,0.00000000,0.20117763,0.06768701,0.00000000,1.00000000,0.35496616,0.84189674,1.00000000,0.87135562,0.00000000,0.75283622,1.00000000,0.21553923,0.28276022,1.00000000,0.25815921","0.29723586,0.61972244,0.30287078,0.20530935,0.54907440,0.37548286,0.03912306,0.34867609,0.82456414,0.61592622,0.70545963,0.90186300,0.31701062,0.51012884,0.82114154,0.57136484,0.12601193,0.58293752,0.67783402,0.25932726",Details not found for best individual
1,9,2025-06-17 15:48:52,105.64,FixedSegBaseTotal:50,200,33.0,26.35,26.0,22.0,2.8156,"0.00000000,0.00000000,0.90129335,0.00000000,0.00000000,0.20117763,0.06768701,0.00000000,1.00000000,0.35496616,0.84189674,1.00000000,0.87135562,0.00000000,0.75283622,1.00000000,0.21553923,0.28276022,1.00000000,0.25815921","0.29145679,0.53115964,0.25810982,0.15951561,0.54446558,0.41871301,0.03779356,0.28967715,0.85803253,0.70371783,0.79391482,0.97424513,0.28663466,0.44937819,0.78956047,0.57943919,0.15731954,0.51976688,0.74361753,0.18413736",Details not found for best individual
1,10,2025-06-17 15:49:07,121.28,CoevoSegBasePeerPair:5,220,68.0,51.45,51.0,34.0,8.6167,"0.11379444,0.80518057,0.67879383,0.74579196,0.01367261,0.35306337,0.25835221,0.13689099,0.85984978,0.28574105,0.00894142,0.71563515,0.96751841,0.56045745,0.80779325,0.66368346,0.73319788,0.10860124,0.09652127,0.04637911","0.39158051,0.57540147,0.42177452,0.59468516,0.56359265,0.52056862,0.46031510,0.46672771,0.51182274,0.55671953,0.41729593,0.49377868,0.54660567,0.67482854,0.51727970,0.45784027,0.51306107,0.46740660,0.45641550,0.40075656",N/A (Coevolution)
1,11,2025-06-17 15:50:06,179.68,CoevoSegBasePeerPair:5,240,127.0,111.45,110.5,102.0,6.1358,"0.53357619,0.21077534,0.00000000,0.79817088,0.90010868,0.29523166,1.00000000,0.45700032,0.48918581,0.60619449,0.05416533,0.00000000,0.98357316,1.00000000,1.00000000,1.00000000,0.85284446,0.69844321,0.44212685,0.00000000","0.48371685,0.56392122,0.30707020,0.50099551,0.53677424,0.43551054,0.41324925,0.40708135,0.45479779,0.38765898,0.43501191,0.40416940,0.62322720,0.51583239,0.60206175,0.43026717,0.44517141,0.36120580,0.56810474,0.44744813",N/A (Coevolution)
1,12,2025-06-17 15:51:04,237.86,CoevoSegBasePeerPair:5,260,134.0,113.5,113.5,98.0,9.4313,"0.19328176,0.16081258,0.00000000,0.00000000,0.98690567,0.31269097,0.90487582,0.54694099,0.12945559,0.00000000,1.00000000,0.00000000,0.22933862,0.59793744,0.54057986,0.31342580,0.87724756,0.54051484,1.00000000,0.08571887","0.48947216,0.57790301,0.39312616,0.40936906,0.48017526,0.46010220,0.37142514,0.36240228,0.46777632,0.32385989,0.48362723,0.41198243,0.63299308,0.51906711,0.52666458,0.36263809,0.48419225,0.37670540,0.62777716,0.47775929",N/A (Coevolution)
1,13,2025-06-17 15:52:00,294.31,CoevoSegBasePeerPair:5,280,128.0,110.25,110.0,100.0,7.293,"0.77716715,1.00000000,0.00000000,0.11297946,0.00000000,1.00000000,0.54884784,0.40358920,1.00000000,0.48399266,0.67271991,1.00000000,1.00000000,0.20364453,0.00000000,0.36754665,1.00000000,0.00000000,0.36888055,0.00000000","0.62788227,0.57255930,0.48612249,0.48109293,0.43607248,0.51763772,0.43803438,0.38660850,0.49482245,0.44270356,0.44092121,0.40207615,0.59179054,0.52819443,0.45003111,0.40408500,0.43493969,0.39564816,0.58672014,0.50637191",N/A (Coevolution)
1,14,2025-06-17 15:52:58,352.26,CoevoSegBasePeerPair:5,300,124.0,112.1,113.0,104.0,6.2362,"1.00000000,0.00000000,0.32635268,0.08182100,0.10799503,0.27371269,1.00000000,0.54111351,0.97340327,0.17531452,0.51746744,0.57173686,1.00000000,0.92195584,1.00000000,0.95706460,0.26523955,0.85378430,0.09416380,0.97730587","0.65339832,0.52466271,0.53039036,0.37674791,0.42869553,0.47601381,0.52036478,0.43742021,0.59529584,0.49783123,0.53090436,0.50587417,0.62914858,0.76487462,0.72123433,0.52795943,0.41658913,0.48635589,0.47700102,0.48856321",N/A (Coevolution)
1,15,2025-06-17 15:53:56,410.39,CoevoSegBasePeerPair:5,320,123.0,111.85,111.5,100.0,6.9085,"1.00000000,0.02907628,0.05766988,0.91055851,0.67384488,0.00000000,1.00000000,0.15743778,0.96483835,0.38685290,0.59179614,0.55448470,0.85034180,0.13803030,0.95189738,0.77935785,0.00000000,1.00000000,0.35661169,0.45042575","0.69182630,0.59895561,0.62347992,0.50975967,0.42542758,0.50096019,0.57653463,0.52649010,0.48066531,0.37977332,0.51167978,0.55678275,0.51727733,0.63767053,0.62317109,0.65885115,0.48363621,0.47111721,0.43871145,0.49689405",N/A (Coevolution)
1,16,2025-06-17 15:54:56,470.03,CoevoSegBasePeerPair:5,340,126.0,110.7,108.5,102.0,6.8198,"0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.14574218,0.69627444,0.25697821,0.32897346,0.37517131,0.40343316,0.57473973,1.00000000,0.00000000,0.00000000,0.68022363,1.00000000,0.00000000,1.00000000,1.00000000","0.61789503,0.50020030,0.58442653,0.33475166,0.38640726,0.36141180,0.55287485,0.56770144,0.52468776,0.41381723,0.67160347,0.52126759,0.61596085,0.58251537,0.53860794,0.57008059,0.46724278,0.47539560,0.53905486,0.54288825",N/A (Coevolution)
1,17,2025-06-17 15:55:53,526.94,CoevoSegBasePeerPair:5,360,119.0,108.85,108.5,101.0,5.3598,"0.44402981,0.65631315,1.00000000,0.00000000,0.55985765,0.25502189,0.00000000,0.00000000,0.32575500,0.09875733,0.77749234,0.00000000,0.21337153,1.00000000,0.18680111,0.00000000,0.24981370,0.00000000,0.00000000,0.77970326","0.70420174,0.43936753,0.49399917,0.39604503,0.29456059,0.40833109,0.46003996,0.44666600,0.61103384,0.50777248,0.64251993,0.61366640,0.63727130,0.58437505,0.56274678,0.52706429,0.47551198,0.33901305,0.56834077,0.48151317",N/A (Coevolution)
1,18,2025-06-17 15:56:03,536.69,FixedSegBaseTotal:50,380,18.0,5.15,4.0,1.0,4.0777,"0.88140059,0.21189829,0.49195634,0.54960711,0.74489330,0.66233672,0.10946168,0.87472762,0.10917199,0.45533695,0.47752844,0.72761633,0.17944514,0.46896033,0.25853987,0.29647168,0.14637395,0.12009225,0.79219534,0.03816729","0.50936346,0.50475988,0.52540623,0.59527957,0.32670255,0.59705916,0.60252794,0.52978660,0.41823309,0.53383193,0.50766230,0.46921802,0.47889112,0.53310878,0.53438604,0.56475453,0.38621869,0.43959996,0.56338041,0.52820103","MaxAgentsBot:2/17,MaxPrestigeBot:4/16,PatronFavorsBot:7/17"
1,19,2025-06-17 15:56:12,545.82,FixedSegBaseTotal:50,400,18.0,6.55,5.0,4.0,3.3686,"0.88140059,0.21189829,0.49195634,0.54960711,0.74489330,0.66233672,0.10946168,0.87472762,0.10917199,0.45533695,0.47752844,0.72761633,0.17944514,0.46896033,0.25853987,0.29647168,0.14637395,0.12009225,0.79219534,0.03816729","0.40324576,0.48113467,0.67564227,0.52280717,0.44372257,0.57113562,0.55431802,0.50333096,0.52726639,0.56373495,0.55338751,0.51403249,0.53113983,0.53603856,0.64016786,0.53597739,0.31317645,0.43082573,0.52674863,0.57461005",Details not found for best individual
1,20,2025-06-17 15:56:20,554.48,FixedSegBaseTotal:50,420,26.0,8.15,6.0,5.0,5.131,"0.00000000,0.00000000,1.00000000,0.11799991,0.30448558,0.00000000,0.00000000,0.00000000,0.39508600,0.76817239,0.83729196,1.00000000,0.53847079,0.68453540,0.83744515,0.08544664,0.04611954,0.12082913,1.00000000,0.59504002","0.43694024,0.43358450,0.55460401,0.54773015,0.45553159,0.51903031,0.45666683,0.32360108,0.52478564,0.68132883,0.43551008,0.58927357,0.62745143,0.58231490,0.58070947,0.50415805,0.23515949,0.45401155,0.58174422,0.51523087","MaxAgentsBot:4/17,MaxPrestigeBot:14/16,PatronFavorsBot:3/17"
1,21,2025-06-17 15:56:32,565.81,FixedSegBaseTotal:50,440,28.0,10.25,7.5,5.0,6.5717,"0.93888587,1.00000000,0.00000000,0.00000000,0.18004227,0.00000000,0.16695156,0.00000000,0.00000000,0.81054760,0.01931214,1.00000000,0.46739760,1.00000000,0.92445261,0.69775089,0.08006310,0.29465195,1.00000000,1.00000000","0.47830167,0.47282185,0.59164504,0.60448786,0.39574048,0.57817689,0.41114863,0.31462668,0.40954606,0.68482974,0.35265975,0.73246955,0.64754149,0.62154659,0.50167926,0.52846511,0.21731440,0.49279878,0.59549268,0.47902069","MaxAgentsBot:9/17,MaxPrestigeBot:5/16,PatronFavorsBot:11/17"
