# Experiment Session ID: session_20250617_163713_s123_mcoevolution
# Date Generated: 2025-06-17 16:37:13 CEST
# Seed: 123
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 200
# Base Coevo Games per Peer Pairing: 5
# Hall of Fame Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: coevolution
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-17 16:37:21,7.9,CoevoSegBasePeerPair:5,10,28.0,22.5,22.5,17.0,3.7749,"0.89958253,0.88752341,0.77429745,0.28871024,0.58010483,0.98131356,0.32062337,0.38650087,0.68798931,0.06263564,0.25336195,0.16802038,0.41605671,0.42497648,0.60705855,0.49680969,0.16476954,0.04662107,0.52477220,0.76385668","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A (Coevolution)
1,1,2025-06-17 16:37:54,41.29,CoevoSegBasePeerPair:5,20,62.0,53.3,51.0,50.0,4.0012,"0.86215087,0.55180021,0.01742257,0.52087226,0.28875658,0.21337345,0.93661767,0.10572695,0.82970048,0.75300974,0.59282318,0.32486424,0.08277047,0.66874515,0.95922575,0.17979665,0.12614697,0.47516416,0.85135723,0.00531530","0.47063670,0.39380369,0.53243486,0.47772024,0.63675561,0.48435751,0.34822574,0.30118832,0.64229840,0.50757155,0.60768034,0.65241110,0.39898001,0.56763657,0.61793325,0.52470117,0.40648055,0.44449884,0.71434235,0.45831065",N/A (Coevolution)
1,2,2025-06-17 16:38:30,77.38,CoevoSegBasePeerPair:5,30,59.0,53.8,53.5,50.0,2.3152,"1.00000000,0.61138795,0.06482005,0.59335593,0.97635169,0.76442296,0.00000000,0.11780668,0.72819847,1.00000000,0.54648092,1.00000000,0.00000000,0.36093384,0.00000000,0.00000000,0.47210383,0.57768480,1.00000000,0.00000000","0.53171077,0.45171430,0.54192319,0.41697779,0.60578676,0.57493244,0.40605216,0.34206545,0.71324148,0.35828568,0.64891316,0.66101469,0.39632974,0.44084629,0.54176317,0.57405323,0.33343438,0.44029472,0.68532346,0.36614185",N/A (Coevolution)
1,3,2025-06-17 16:39:09,115.69,CoevoSegBasePeerPair:5,40,64.0,55.9,55.0,52.0,3.5623,"0.04403402,0.43671818,1.00000000,0.48236983,0.75938907,0.57508618,0.06154801,0.98684618,0.53587949,1.00000000,0.80494080,0.17295227,0.00000000,0.00000000,0.86840865,1.00000000,0.23507449,0.41963554,1.00000000,0.26303555","0.48948144,0.60548982,0.57550445,0.45758214,0.64132113,0.65424114,0.38332301,0.49487348,0.67908831,0.42158380,0.64822154,0.58224070,0.28650908,0.46077437,0.57721186,0.46890065,0.23122303,0.48748369,0.70057007,0.35097415",N/A (Coevolution)
1,4,2025-06-17 16:39:47,154.21,CoevoSegBasePeerPair:5,50,63.0,56.1,55.0,52.0,3.4191,"0.04403402,0.43671818,1.00000000,0.48236983,0.75938907,0.57508618,0.06154801,0.98684618,0.53587949,1.00000000,0.80494080,0.17295227,0.00000000,0.00000000,0.86840865,1.00000000,0.23507449,0.41963554,1.00000000,0.26303555","0.46246787,0.59550474,0.57013261,0.54066701,0.88704360,0.57306617,0.28677249,0.38797546,0.69649210,0.49160556,0.66216195,0.53308037,0.27574665,0.54222357,0.58878237,0.55325168,0.25602619,0.50220298,0.69333872,0.29607022",N/A (Coevolution)
1,5,2025-06-17 16:40:23,190.23,CoevoSegBasePeerPair:5,60,60.0,54.7,54.5,50.0,2.9682,"1.00000000,0.61138795,0.06482005,0.59335593,0.97635169,0.76442296,0.00000000,0.11780668,0.72819847,1.00000000,0.54648092,1.00000000,0.00000000,0.36093384,0.00000000,0.00000000,0.47210383,0.57768480,1.00000000,0.00000000","0.30578252,0.62778272,0.58559628,0.48410703,0.85779310,0.56076359,0.23978554,0.49326473,0.61914257,0.49915866,0.55882013,0.36657101,0.35232507,0.51834421,0.66724167,0.52763326,0.34905107,0.46110659,0.70534861,0.36894301",N/A (Coevolution)
1,6,2025-06-17 16:40:59,226.52,CoevoSegBasePeerPair:5,70,60.0,55.4,54.0,52.0,2.9052,"0.48532605,1.00000000,0.53725574,1.00000000,1.00000000,0.00000000,0.06228731,0.22008346,0.84565113,0.98503072,0.92982317,1.00000000,1.00000000,0.74104028,0.57610468,1.00000000,0.00000000,0.05226490,0.64673716,0.19029350","0.37870140,0.64564012,0.46743764,0.58060856,0.87387151,0.57031611,0.28188875,0.38633247,0.54729629,0.71105219,0.58863704,0.53890684,0.33467528,0.53560447,0.72535125,0.61969637,0.18860551,0.56592754,0.60604931,0.25226168",N/A (Coevolution)
1,7,2025-06-17 16:41:38,264.95,CoevoSegBasePeerPair:5,80,59.0,55.5,55.0,52.0,2.6552,"0.74348595,1.00000000,0.74803737,0.05845014,0.88336412,1.00000000,0.16238746,1.00000000,0.97477296,0.00000000,0.15570627,0.00000000,0.44865703,1.00000000,0.33263838,0.00000000,0.15523342,1.00000000,0.66948385,0.41121976","0.50199567,0.71436203,0.48249748,0.68733425,0.83351389,0.54837441,0.20672553,0.42892497,0.75732892,0.50595938,0.56370248,0.56711985,0.49321346,0.64231140,0.57277272,0.41151981,0.28729002,0.67751724,0.65173772,0.24460544",N/A (Coevolution)
1,8,2025-06-17 16:42:16,303.05,CoevoSegBasePeerPair:5,90,59.0,56.2,56.0,54.0,1.4697,"0.18654568,1.00000000,0.65802396,1.00000000,0.89377361,0.03260496,0.06838532,0.48151243,1.00000000,0.00000000,0.94838867,1.00000000,0.71130210,0.75090642,1.00000000,1.00000000,0.00000000,0.29430832,1.00000000,0.28551837","0.48553962,0.70478877,0.49863892,0.68068380,0.82836875,0.33573737,0.18755104,0.32781452,0.68922187,0.49144555,0.63009003,0.52701753,0.57974664,0.71592008,0.46947132,0.58734576,0.23369262,0.49779671,0.60149186,0.23664722",N/A (Coevolution)
1,9,2025-06-17 16:42:52,338.94,CoevoSegBasePeerPair:5,100,59.0,53.8,53.0,51.0,2.358,"0.27961188,0.96450390,0.80840737,0.85493302,0.44781097,0.08970538,1.00000000,0.00000000,0.26973634,0.60078311,0.00000000,1.00000000,0.32371152,1.00000000,0.09542116,0.55473879,0.00000000,0.61633313,0.45619236,0.32480641","0.38493372,0.65849217,0.44045102,0.55543070,0.73056524,0.32571653,0.31014226,0.30264247,0.53333420,0.65787627,0.67818165,0.87982827,0.46172463,0.63742364,0.52557580,0.64779594,0.38380188,0.58953107,0.74561924,0.17219817",N/A (Coevolution)
