# Experiment Session ID: session_20250618_064001_s123_mhybrid
# Date Generated: 2025-06-18 06:40:01 Romance Daylight Time
# Seed: 123
# Number of Training Runs: 5
# Population Size: 20
# Max Evaluations per Run: 600
# Base Games vs Fixed Opponent List: 50
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot']
# Base Coevo Games per Peer Pairing: 5
# Hall of Fame Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.4,coevolution:0.3,fixed:0.3
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-18 06:40:16,14.69,FixedSegBaseTotal:50,20,8.0,0.85,0.0,0.0,2.2644,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.35122541,0.44179438,0.51690577,0.50135966,0.49990176,0.49736938,0.47683692,0.37450406,0.56551871,0.42715024,0.56026021,0.52194248,0.45569636,0.57843957,0.46910484,0.48023183,0.44311117,0.49268299,0.44801795,0.49875663","MaxAgentsBot:1/17,MaxPrestigeBot:1/16,PatronFavorsBot:6/17"
1,1,2025-06-18 06:40:31,29.95,FixedSegBaseTotal:50,40,25.0,2.95,0.0,0.0,5.6963,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.30400555,0.46943185,0.51649816,0.50487226,0.60420938,0.54346016,0.30089028,0.41584463,0.56368657,0.50475470,0.49450080,0.59649432,0.52644228,0.65200027,0.56684378,0.41766388,0.44400927,0.29762037,0.55274474,0.47110290","MaxAgentsBot:5/17,MaxPrestigeBot:10/16,PatronFavorsBot:10/17"
1,2,2025-06-18 06:40:45,44.08,FixedSegBaseTotal:50,60,25.0,4.85,2.0,0.0,7.3367,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.24251467,0.36670974,0.65857310,0.47503543,0.58863022,0.51076443,0.32836501,0.44259431,0.32482886,0.59077721,0.34353611,0.59700246,0.35528102,0.63700370,0.56522940,0.48734032,0.49062492,0.45128869,0.45469039,0.48244219",Details not found for best individual
1,3,2025-06-18 06:40:58,57.16,FixedSegBaseTotal:50,80,25.0,6.5,4.5,1.0,6.7639,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.28483578,0.41913998,0.62970796,0.45600135,0.55346565,0.43335956,0.14601609,0.54682857,0.46906002,0.63361776,0.40998484,0.71636434,0.35674173,0.61348897,0.60710225,0.51977841,0.48553755,0.52793822,0.52129844,0.48268453",Details not found for best individual
1,4,2025-06-18 06:41:14,73.07,FixedSegBaseTotal:50,100,25.0,9.25,7.0,2.0,6.4875,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.21211395,0.41691287,0.62935878,0.34375390,0.56340303,0.53781637,0.11878769,0.58928190,0.50180830,0.61532371,0.40916172,0.73196909,0.41333596,0.55148319,0.59091515,0.62448431,0.45113919,0.53087195,0.58181091,0.39814426",Details not found for best individual
1,5,2025-06-18 06:41:29,87.8,FixedSegBaseTotal:50,120,25.0,14.5,12.5,6.0,6.3679,"0.16268661,0.47585798,0.79292413,0.25699188,0.32687920,0.48894446,0.00000000,0.05656035,1.00000000,1.00000000,0.65015777,0.68819507,0.00000000,0.41165572,1.00000000,0.32599312,0.13587461,0.67958457,0.64558269,0.22632478","0.17201418,0.37710523,0.55834601,0.30788696,0.43494157,0.41188470,0.12829541,0.43703085,0.56618933,0.53111239,0.45417021,0.70965114,0.34216279,0.67257402,0.51071118,0.68453989,0.41423760,0.53492551,0.54002355,0.31545587",Details not found for best individual
1,6,2025-06-18 06:41:45,103.75,FixedSegBaseTotal:50,140,27.0,18.0,18.0,9.0,6.0332,"0.00000000,0.68491030,0.88216442,0.52351285,1.00000000,0.00000000,0.03381793,0.00000000,1.00000000,0.00000000,0.12115151,0.65838897,0.00000000,0.50923723,0.52904011,0.76208832,0.00000000,0.54279682,1.00000000,0.05817399","0.18886094,0.44148799,0.63650642,0.27936891,0.40058855,0.31344864,0.11066206,0.31225140,0.62666583,0.67368485,0.46802785,0.74199483,0.29967672,0.64843961,0.52451887,0.65491549,0.34784039,0.55884284,0.50009860,0.25999083","MaxAgentsBot:9/17,MaxPrestigeBot:3/16,PatronFavorsBot:15/17"
1,7,2025-06-18 06:42:01,119.54,FixedSegBaseTotal:50,160,27.0,20.1,21.0,12.0,4.826,"0.00000000,0.68491030,0.88216442,0.52351285,1.00000000,0.00000000,0.03381793,0.00000000,1.00000000,0.00000000,0.12115151,0.65838897,0.00000000,0.50923723,0.52904011,0.76208832,0.00000000,0.54279682,1.00000000,0.05817399","0.21103517,0.53417744,0.63754958,0.30752510,0.42257358,0.35290844,0.09527925,0.33365471,0.64520783,0.57002241,0.50518515,0.76736739,0.33665751,0.59631135,0.55878898,0.64014640,0.37268344,0.57054693,0.48146894,0.26915406",Details not found for best individual
1,8,2025-06-18 06:42:18,136.45,FixedSegBaseTotal:50,180,27.0,20.7,21.0,14.0,4.0012,"0.00000000,0.68491030,0.88216442,0.52351285,1.00000000,0.00000000,0.03381793,0.00000000,1.00000000,0.00000000,0.12115151,0.65838897,0.00000000,0.50923723,0.52904011,0.76208832,0.00000000,0.54279682,1.00000000,0.05817399","0.22013392,0.50761004,0.58029639,0.29842415,0.41738644,0.38662248,0.08416716,0.41416293,0.69080536,0.58343052,0.52450889,0.79442745,0.25612713,0.56618264,0.60647289,0.60864618,0.39620484,0.71857238,0.45387853,0.19915116",Details not found for best individual
1,9,2025-06-18 06:42:37,155.82,FixedSegBaseTotal:50,200,30.0,23.1,24.0,18.0,3.2078,"0.64841215,0.00000000,0.46241348,0.18857560,0.00000000,0.00000000,0.00000000,0.03713391,0.50788748,0.96060072,0.39252381,1.00000000,0.36122273,1.00000000,0.65083122,1.00000000,0.96971411,0.71820135,0.81172475,0.00000000","0.24945843,0.60484665,0.67467289,0.27770242,0.33105241,0.25157145,0.05783352,0.37161632,0.77801156,0.55088995,0.52676131,0.83924397,0.22168027,0.57658908,0.69191570,0.64582073,0.45614216,0.73428035,0.46360771,0.12443015","MaxAgentsBot:14/17,MaxPrestigeBot:5/16,PatronFavorsBot:11/17"
