# Experiment Session ID: session_20250618_094740_s123_mcoevolution
# Date Generated: 2025-06-18 09:47:40 Romance Daylight Time
# Seed: 123
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 200
# Base Coevo Games per Peer Pairing: 5
# Hall of Fame Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Evaluation Mode: coevolution
# Match Logs (GameRunner): NONE
# Use Session Seed for All Matches: False
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-18 09:47:55,15.34,CoevoSegBasePeerPair:5,10,44.0,19.8,26.5,0.0,15.5551,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A (Coevolution)
1,1,2025-06-18 09:48:51,71.47,CoevoSegBasePeerPair:5,20,91.0,70.4,70.5,52.0,13.6323,"1.00000000,0.46177148,0.90029724,0.27822669,0.00000000,0.00000000,0.00000000,0.17695174,0.16324098,0.62455789,0.00000000,0.42480950,0.86235039,0.51300648,0.00000000,1.00000000,0.44272053,0.00000000,0.00000000,1.00000000","0.50275622,0.46773659,0.58808084,0.50935873,0.55571454,0.45558495,0.20335758,0.33485241,0.55763271,0.51087185,0.54313559,0.66756602,0.47314506,0.48733526,0.52552821,0.61053671,0.39327772,0.40616642,0.60876136,0.57623770",N/A (Coevolution)
1,2,2025-06-18 09:49:59,139.01,CoevoSegBasePeerPair:5,30,91.0,69.6,71.5,47.0,15.1539,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.51279797,0.40155166,0.54221370,0.48048770,0.55564335,0.35745360,0.17760931,0.39535708,0.53956630,0.50460829,0.60537763,0.75076398,0.43153939,0.50328843,0.53520265,0.63050017,0.42723313,0.44650134,0.59436521,0.53821222",N/A (Coevolution)
1,3,2025-06-18 09:50:55,194.77,CoevoSegBasePeerPair:5,40,92.0,70.3,70.0,47.0,15.0735,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.46275049,0.46142875,0.67935898,0.50656770,0.59436604,0.34057218,0.14700834,0.56881547,0.47020219,0.48994374,0.58548149,0.89945206,0.47477639,0.52086348,0.62000928,0.55827461,0.34317888,0.40002297,0.72700637,0.45212818",N/A (Coevolution)
1,4,2025-06-18 09:51:40,240.16,CoevoSegBasePeerPair:5,50,92.0,69.9,73.0,49.0,15.3326,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.51777200,0.48548441,0.65974145,0.52851921,0.74803912,0.36227256,0.04535750,0.74299748,0.50998725,0.52850971,0.69511935,0.92097975,0.50113306,0.68901193,0.64990651,0.62440379,0.20716069,0.34000277,0.75075157,0.40780389",N/A (Coevolution)
1,5,2025-06-18 09:52:29,289.0,CoevoSegBasePeerPair:5,60,90.0,70.3,72.0,42.0,12.8767,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.47515492,0.48595887,0.66020269,0.34181532,0.67528879,0.28134792,0.04464271,0.71515228,0.36989001,0.54715084,0.68246451,0.85788299,0.45319054,0.59375618,0.66053643,0.78658383,0.26530406,0.35767583,0.71339905,0.34813317",N/A (Coevolution)
1,6,2025-06-18 09:53:21,341.31,CoevoSegBasePeerPair:5,70,85.0,71.2,71.0,53.0,8.0846,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.54841087,0.49774833,0.64125939,0.37682795,0.69002889,0.37555241,0.04390954,0.67916733,0.35384974,0.61237006,0.68331151,0.87938418,0.47813622,0.61137394,0.63430770,0.78704061,0.23897781,0.34473783,0.68420955,0.34148056",N/A (Coevolution)
1,7,2025-06-18 09:54:13,393.23,CoevoSegBasePeerPair:5,80,88.0,72.1,72.5,59.0,8.0554,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.58893137,0.46419150,0.64125939,0.37682795,0.70985080,0.45900955,0.04385229,0.57916733,0.41402285,0.63519270,0.69588822,0.87938418,0.49072004,0.63216835,0.61040598,0.78704061,0.28358995,0.36837625,0.68662123,0.33697752",N/A (Coevolution)
1,8,2025-06-18 09:55:06,445.74,CoevoSegBasePeerPair:5,90,89.0,69.4,67.0,59.0,8.1019,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.64841087,0.56419150,0.64125939,0.31772721,0.70985080,0.37555241,0.04157597,0.57916733,0.35317572,0.60942991,0.60316190,0.83410469,0.46461022,0.61281574,0.54826337,0.78704061,0.29907411,0.31231912,0.65755225,0.41801225",N/A (Coevolution)
1,9,2025-06-18 09:55:46,486.5,CoevoSegBasePeerPair:5,100,81.0,67.2,67.0,52.0,8.8521,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.64448204,0.46419150,0.58198677,0.29672294,0.69906602,0.37555241,0.04408774,0.58340038,0.31402285,0.53519270,0.69500105,0.87938418,0.40578637,0.55647562,0.57966611,0.78704061,0.29969387,0.36531994,0.58662123,0.35427999",N/A (Coevolution)
1,10,2025-06-18 09:56:39,538.82,CoevoSegBasePeerPair:5,110,83.0,70.9,71.5,56.0,10.0145,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.68728973,0.50225066,0.48198677,0.29672294,0.63686629,0.27555241,0.04418845,0.54412000,0.31402285,0.43519270,0.69746282,0.87798630,0.35704886,0.65647562,0.57876133,0.74028554,0.39969387,0.41200103,0.56445949,0.35592202",N/A (Coevolution)
1,11,2025-06-18 09:57:23,583.09,CoevoSegBasePeerPair:5,120,88.0,66.2,63.0,54.0,10.6752,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.60914363,0.49553021,0.57780800,0.39672294,0.61767577,0.30715006,0.04421421,0.55249957,0.32910606,0.58037261,0.69494228,0.87798630,0.36031804,0.69860210,0.63375110,0.76101455,0.49840821,0.40705314,0.57256611,0.34740628",N/A (Coevolution)
1,12,2025-06-18 09:58:13,632.99,CoevoSegBasePeerPair:5,130,78.0,69.3,73.0,50.0,9.829,"0.96071161,0.00000000,0.40727380,0.19894989,0.89215212,0.00000000,0.06172080,0.04233051,0.00000000,0.00000000,0.91839144,1.00000000,0.00000000,0.00000000,0.31402743,1.00000000,0.60716062,0.55105556,0.00000000,0.36267742","0.63252895,0.41284085,0.53359930,0.34771766,0.65931483,0.10715006,0.05078385,0.62489279,0.26364639,0.41260293,0.71804492,0.87798630,0.30132486,0.69268144,0.57437690,0.82191864,0.50377403,0.43365102,0.47256611,0.37453918",N/A (Coevolution)
1,13,2025-06-18 09:59:01,680.89,CoevoSegBasePeerPair:5,140,80.0,66.9,67.5,53.0,8.4433,"0.96071161,0.00000000,0.40727380,0.19894989,0.89215212,0.00000000,0.06172080,0.04233051,0.00000000,0.00000000,0.91839144,1.00000000,0.00000000,0.00000000,0.31402743,1.00000000,0.60716062,0.55105556,0.00000000,0.36267742","0.68188433,0.51284085,0.47320428,0.34771766,0.67697071,0.10715006,0.05094352,0.57391164,0.22306834,0.31260293,0.71553297,0.87798630,0.32008969,0.65266619,0.57733877,0.82814599,0.42614033,0.48146776,0.46827860,0.37641665",N/A (Coevolution)
1,14,2025-06-18 09:59:52,731.76,CoevoSegBasePeerPair:5,150,83.0,69.5,70.0,58.0,7.8518,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.72439403,0.56192156,0.47497650,0.42303938,0.63827162,0.10000000,0.05299445,0.52329061,0.19410187,0.31260293,0.67952477,0.87798630,0.39394610,0.69208859,0.55392033,0.84071149,0.39271588,0.40202887,0.46827860,0.40812591",N/A (Coevolution)
1,15,2025-06-18 10:00:34,773.82,CoevoSegBasePeerPair:5,160,80.0,68.9,69.5,54.0,6.4413,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.78188433,0.47339660,0.34356409,0.27225783,0.61355124,0.10000000,0.05096829,0.58605716,0.19482603,0.37851221,0.72742844,0.87768386,0.39352148,0.68463476,0.48219028,0.70762040,0.59271588,0.46714835,0.41824312,0.40861361",N/A (Coevolution)
1,16,2025-06-18 10:01:27,826.97,CoevoSegBasePeerPair:5,170,78.0,69.4,71.5,56.0,6.5452,"1.00000000,0.46177148,0.90029724,0.27822669,0.00000000,0.00000000,0.00000000,0.17695174,0.16324098,0.62455789,0.00000000,0.42480950,0.86235039,0.51300648,0.00000000,1.00000000,0.44272053,0.00000000,0.00000000,1.00000000","0.76564660,0.44807934,0.33537152,0.24771766,0.61189307,0.00000000,0.05077697,0.58605716,0.19482603,0.30019917,0.72664763,0.87768386,0.37518127,0.60912092,0.47827985,0.77218396,0.54118440,0.43835344,0.37256611,0.40016940",N/A (Coevolution)
1,17,2025-06-18 10:02:21,880.6,CoevoSegBasePeerPair:5,180,78.0,69.0,68.0,62.0,5.2726,"1.00000000,0.46177148,0.90029724,0.27822669,0.00000000,0.00000000,0.00000000,0.17695174,0.16324098,0.62455789,0.00000000,0.42480950,0.86235039,0.51300648,0.00000000,1.00000000,0.44272053,0.00000000,0.00000000,1.00000000","0.81387000,0.42393098,0.35495053,0.32715830,0.58787972,0.00000000,0.05122797,0.56427224,0.20858464,0.40019917,0.70909546,0.87908174,0.51119623,0.63234741,0.42934794,0.79421325,0.49924972,0.42076666,0.29472784,0.41818072",N/A (Coevolution)
1,18,2025-06-18 10:03:09,928.61,CoevoSegBasePeerPair:5,190,80.0,68.6,70.0,59.0,6.0366,"0.83762271,0.00000000,0.00000000,0.00000000,0.89107503,0.00000000,0.06001660,1.00000000,0.00000000,0.21686965,0.90004193,1.00000000,0.00000000,0.17526982,0.38934649,0.68204629,0.48468522,0.71205090,0.00000000,0.31812159","0.73534238,0.48612377,0.37541609,0.22715830,0.61303596,0.00000000,0.04460421,0.51607145,0.17753696,0.34496354,0.63937482,0.82142133,0.44859581,0.58130262,0.41090139,0.82851569,0.52187826,0.50932468,0.23808108,0.44562632",N/A (Coevolution)
1,19,2025-06-18 10:03:56,975.62,CoevoSegBasePeerPair:5,200,75.0,69.0,70.0,61.0,3.7417,"0.83762271,0.00000000,0.00000000,0.00000000,0.89107503,0.00000000,0.06001660,1.00000000,0.00000000,0.21686965,0.90004193,1.00000000,0.00000000,0.17526982,0.38934649,0.68204629,0.48468522,0.71205090,0.00000000,0.31812159","0.79837613,0.38612377,0.27541609,0.32715830,0.61194958,0.00000000,0.05109757,0.58700717,0.18013770,0.40019917,0.71516964,0.87908174,0.51119623,0.63798758,0.45316907,0.77670768,0.49924972,0.43885912,0.23808108,0.42328557",N/A (Coevolution)
2,0,2025-06-18 10:04:12,16.4,CoevoSegBasePeerPair:5,10,44.0,15.2,4.5,1.0,15.9737,"0.61099995,0.88659746,0.58207297,0.24200763,0.57385085,0.63409500,0.05406138,0.41164816,0.42886223,0.67835189,0.64431676,0.86030587,0.19354753,0.54881953,0.46851389,0.59121417,0.58052779,0.19201156,0.65647772,0.38043952","0.44818662,0.63101365,0.52725520,0.51600821,0.48466147,0.43722703,0.62755193,0.37186344,0.48101600,0.46644166,0.66451836,0.51922912,0.35021319,0.51388309,0.65358380,0.65997453,0.50659401,0.60230933,0.42043661,0.45991120",N/A (Coevolution)
