# Experiment Session ID: session_20250623_234319_s123_mhybrid
# Date Generated: 2025-06-23 23:43:19 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.4,coevolution:0.3,fixed:0.3
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-23 23:43:45,25.18,FixedSegBaseTotal:200,10,20.5,5.55,4.5,1.5,5.284,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A
1,1,2025-06-23 23:44:10,50.58,FixedSegBaseTotal:200,20,28.0,12.0,6.5,4.5,9.187,"1.00000000,0.61138795,0.06482005,0.59335593,0.97635169,0.76442296,0.00000000,0.11780668,0.72819847,1.00000000,0.54648092,1.00000000,0.00000000,0.36093384,0.00000000,0.00000000,0.47210383,0.57768480,1.00000000,0.00000000","0.57863435,0.46520961,0.56604663,0.57130580,0.60006082,0.46643363,0.34879215,0.37195888,0.52127636,0.53440215,0.54646779,0.55573508,0.49949230,0.53033970,0.52804678,0.64260770,0.29437275,0.27744326,0.49761205,0.46564449",N/A
1,2,2025-06-23 23:44:37,77.87,FixedSegBaseTotal:200,30,28.0,14.1,8.75,5.0,9.321,"1.00000000,0.61138795,0.06482005,0.59335593,0.97635169,0.76442296,0.00000000,0.11780668,0.72819847,1.00000000,0.54648092,1.00000000,0.00000000,0.36093384,0.00000000,0.00000000,0.47210383,0.57768480,1.00000000,0.00000000","0.48016610,0.48322607,0.62390121,0.51879024,0.52639745,0.38504080,0.21970190,0.41382093,0.52193083,0.52213558,0.54201955,0.51789760,0.47083322,0.37986781,0.55065147,0.66053843,0.30533002,0.34030522,0.49965688,0.48611580",N/A
1,3,2025-06-23 23:45:08,108.12,FixedSegBaseTotal:200,40,35.0,20.6,21.0,7.0,8.315,"1.00000000,0.52207209,0.00000000,0.00000000,1.00000000,0.00000000,0.06593364,1.00000000,0.00000000,0.00000000,0.70317577,0.92337033,0.81367899,0.00000000,1.00000000,1.00000000,1.00000000,0.52771638,1.00000000,0.35879789","0.57618710,0.37472203,0.60809628,0.43185969,0.54663393,0.37221330,0.10933190,0.57235936,0.41152648,0.44246743,0.49001168,0.74598567,0.37443859,0.54053383,0.41285647,0.61667050,0.45817381,0.40783399,0.65560115,0.40710569",N/A
1,4,2025-06-23 23:45:34,134.03,FixedSegBaseTotal:200,50,35.0,26.9,28.0,19.5,5.181,"1.00000000,0.52207209,0.00000000,0.00000000,1.00000000,0.00000000,0.06593364,1.00000000,0.00000000,0.00000000,0.70317577,0.92337033,0.81367899,0.00000000,1.00000000,1.00000000,1.00000000,0.52771638,1.00000000,0.35879789","0.56649047,0.36511747,0.61400062,0.44407184,0.67258995,0.26052408,0.08001640,0.83623240,0.36107713,0.48958493,0.65338893,0.89345794,0.38182668,0.49353967,0.60406788,0.75341341,0.31126649,0.46561439,0.78927327,0.29850509",N/A
1,5,2025-06-23 23:46:04,164.74,FixedSegBaseTotal:200,60,35.0,28.6,28.25,21.5,4.085,"1.00000000,0.52207209,0.00000000,0.00000000,1.00000000,0.00000000,0.06593364,1.00000000,0.00000000,0.00000000,0.70317577,0.92337033,0.81367899,0.00000000,1.00000000,1.00000000,1.00000000,0.52771638,1.00000000,0.35879789","0.60855812,0.33459789,0.67701273,0.46538261,0.72438083,0.34498074,0.05152116,0.84375464,0.34963067,0.49199087,0.67280517,0.90929641,0.45576216,0.36683091,0.66333772,0.70407460,0.28753831,0.43951972,0.87976036,0.33049839",N/A
1,6,2025-06-23 23:46:39,199.63,FixedSegBaseTotal:200,70,44.5,33.05,31.75,28.0,4.735,"1.00000000,0.47691824,0.50311160,0.62759215,0.52043438,0.00000000,0.00000000,0.00000000,0.15959294,1.00000000,0.19592601,0.60568112,0.63026185,0.49399454,0.00000000,0.88470221,0.20706863,0.00000000,0.00000000,0.10137145","0.66695427,0.38855941,0.39758022,0.42786027,0.84508516,0.42933779,0.05203892,0.72324825,0.27591038,0.56386155,0.68739609,0.92214436,0.56404560,0.38846638,0.72968488,0.88147674,0.22667344,0.39597811,0.82738655,0.28343320",N/A
1,7,2025-06-23 23:47:08,228.69,FixedSegBaseTotal:200,80,44.5,34.15,33.75,29.5,4.087,"1.00000000,0.47691824,0.50311160,0.62759215,0.52043438,0.00000000,0.00000000,0.00000000,0.15959294,1.00000000,0.19592601,0.60568112,0.63026185,0.49399454,0.00000000,0.88470221,0.20706863,0.00000000,0.00000000,0.10137145","0.69198738,0.38855941,0.45563774,0.52705117,0.85085461,0.42196280,0.05177364,0.69916553,0.37222824,0.46386155,0.68771703,0.90573622,0.61243311,0.54872119,0.72553654,0.78147674,0.31253609,0.41512418,0.89367931,0.26824967",N/A
1,8,2025-06-23 23:47:37,257.82,FixedSegBaseTotal:200,90,44.5,34.25,33.75,30.0,3.983,"1.00000000,0.47691824,0.50311160,0.62759215,0.52043438,0.00000000,0.00000000,0.00000000,0.15959294,1.00000000,0.19592601,0.60568112,0.63026185,0.49399454,0.00000000,0.88470221,0.20706863,0.00000000,0.00000000,0.10137145","0.67079221,0.38855941,0.54060564,0.62705117,0.81981285,0.45342436,0.05195683,0.69916553,0.47222824,0.54881226,0.70648948,0.90573622,0.55933363,0.61082895,0.69922815,0.68147674,0.31253609,0.39111300,0.89367931,0.26323534",N/A
1,9,2025-06-23 23:48:08,288.12,FixedSegBaseTotal:200,100,44.5,35.3,34.5,32.0,3.295,"1.00000000,0.47691824,0.50311160,0.62759215,0.52043438,0.00000000,0.00000000,0.00000000,0.15959294,1.00000000,0.19592601,0.60568112,0.63026185,0.49399454,0.00000000,0.88470221,0.20706863,0.00000000,0.00000000,0.10137145","0.61062746,0.35827154,0.55563774,0.52705117,0.86193518,0.25600360,0.05235453,0.40561933,0.56604563,0.54641365,0.70316075,0.90573622,0.53569076,0.57931413,0.74852426,0.82847230,0.50389990,0.43764242,0.83538458,0.23499292",N/A
