# Experiment Session ID: session_20250624_021953_s123_mhybrid
# Date Generated: 2025-06-24 02:19:53 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.7,coevolution:0.3
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-24 02:20:22,28.19,FixedSegBaseTotal:200,10,15.5,4.75,3.5,2.5,3.649,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A
1,1,2025-06-24 02:20:51,57.9,FixedSegBaseTotal:200,20,31.0,10.8,6.75,4.0,8.192,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.53290485,0.43280030,0.55819346,0.50645587,0.71576944,0.56768729,0.23040995,0.35727356,0.53445994,0.53998290,0.56337228,0.47104104,0.41553285,0.55247881,0.52472075,0.70702280,0.40002839,0.41511389,0.59814163,0.61421795",N/A
1,2,2025-06-24 02:21:24,90.6,FixedSegBaseTotal:200,30,31.0,12.6,10.0,6.0,7.749,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.47539599,0.35864063,0.53028930,0.48985318,0.50732491,0.40720552,0.21749495,0.36384386,0.56302377,0.73788929,0.56207289,0.52104581,0.39392762,0.64366522,0.52207624,0.68943575,0.28242277,0.42332596,0.64923421,0.60102773",N/A
1,3,2025-06-24 02:21:45,111.0,FixedSegBaseTotal:200,40,31.0,13.15,11.5,6.0,7.389,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.44651952,0.42928290,0.53573222,0.50917539,0.49689243,0.47798408,0.27574225,0.39908146,0.60801742,0.73990024,0.54377989,0.60653836,0.39392762,0.58601036,0.53233697,0.62223006,0.26737796,0.42977060,0.65410737,0.52338150",N/A
1,4,2025-06-24 02:22:12,138.6,FixedSegBaseTotal:200,50,35.0,18.55,16.5,7.5,9.616,"0.78810296,1.00000000,0.00000000,0.00000000,1.00000000,0.56790806,0.05896233,1.00000000,0.36552711,0.90601647,0.80714912,1.00000000,0.25416514,0.54131397,0.67662554,1.00000000,0.00000000,0.28340766,1.00000000,0.21458006","0.69726507,0.43791308,0.51447481,0.54215865,0.54842528,0.33902862,0.19365536,0.54703663,0.45042661,0.71031842,0.49695344,0.72703526,0.49109732,0.49751818,0.51712800,0.70881550,0.26172713,0.28799115,0.61178689,0.54668724",N/A
1,5,2025-06-24 02:22:45,171.07,FixedSegBaseTotal:200,60,37.0,22.45,17.75,10.5,9.334,"0.23822855,1.00000000,0.91193189,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.28961606,0.09896860,0.19397777,0.50297599,0.00000000,0.49479173,0.35139008,0.81166361,0.62736395,0.31298192,0.00000000,0.18697958","0.56485283,0.50060017,0.47933186,0.49599732,0.68621281,0.32298265,0.09365536,0.41966987,0.44336478,0.64833622,0.43073346,0.81934096,0.39353136,0.49161761,0.54129803,0.68714019,0.29708934,0.28990335,0.61178689,0.40039876",N/A
1,6,2025-06-24 02:23:19,205.66,FixedSegBaseTotal:200,70,37.0,29.2,32.0,17.5,6.72,"0.23822855,1.00000000,0.91193189,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.28961606,0.09896860,0.19397777,0.50297599,0.00000000,0.49479173,0.35139008,0.81166361,0.62736395,0.31298192,0.00000000,0.18697958","0.44135808,0.52636409,0.40030822,0.34314377,0.77590398,0.24375961,0.02475946,0.56457356,0.49236019,0.59467571,0.56288920,0.75813599,0.24690707,0.39821713,0.57891500,0.85922480,0.26738784,0.27862668,0.63062632,0.32819767",N/A
1,7,2025-06-24 02:24:05,251.22,FixedSegBaseTotal:200,80,37.0,32.6,33.25,26.0,2.973,"0.23822855,1.00000000,0.91193189,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.28961606,0.09896860,0.19397777,0.50297599,0.00000000,0.49479173,0.35139008,0.81166361,0.62736395,0.31298192,0.00000000,0.18697958","0.44576569,0.48476697,0.38150757,0.49131131,0.88776668,0.27625107,0.03747698,0.56243868,0.45047394,0.62183442,0.68281420,0.88681330,0.34522907,0.40783636,0.66914618,0.75946886,0.23500394,0.36762371,0.70533541,0.21332257",N/A
1,8,2025-06-24 02:24:39,285.04,FixedSegBaseTotal:200,90,42.5,34.25,33.5,30.5,3.4,"0.85382446,0.87504143,0.07385354,0.34628904,0.21904435,0.00000000,0.06752001,0.03374087,0.77175083,0.54663455,0.53952140,1.00000000,0.29809340,0.54020798,0.00000000,1.00000000,0.50565657,0.00000000,1.00000000,0.07927654","0.44690859,0.54204555,0.37166176,0.44177844,0.86956799,0.17625107,0.04422898,0.54176767,0.45573801,0.62775666,0.68605738,0.91953682,0.36680318,0.46185715,0.64345039,0.75946886,0.28476542,0.31360148,0.73062632,0.21886212",N/A
1,9,2025-06-24 02:25:06,312.75,FixedSegBaseTotal:200,100,42.5,34.65,34.0,31.0,3.163,"0.85382446,0.87504143,0.07385354,0.34628904,0.21904435,0.00000000,0.06752001,0.03374087,0.77175083,0.54663455,0.53952140,1.00000000,0.29809340,0.54020798,0.00000000,1.00000000,0.50565657,0.00000000,1.00000000,0.07927654","0.36512131,0.55595284,0.41138677,0.37229412,0.85405637,0.17625107,0.05037998,0.56363215,0.49510244,0.62775666,0.73132653,0.91953682,0.43695114,0.48152372,0.64250103,0.76500430,0.24502003,0.31251284,0.72997488,0.24694182",N/A
