# Experiment Session ID: session_20250624_124929_s123_mhybrid
# Date Generated: 2025-06-24 12:49:29 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: hybrid
# Hybrid Schedule String: coevolution:0.4,fixed:0.2,coevolution:0.4
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-24 12:49:43,14.09,CoevoSegBasePeerPair:3,10,92.593,43.333,50.0,0.0,34.108,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A (Coevolution)
1,1,2025-06-24 12:50:33,63.33,CoevoSegBasePeerPair:3,20,98.246,73.509,71.93,50.877,15.543,"1.00000000,0.46177148,0.90029724,0.27822669,0.00000000,0.00000000,0.00000000,0.17695174,0.16324098,0.62455789,0.00000000,0.42480950,0.86235039,0.51300648,0.00000000,1.00000000,0.44272053,0.00000000,0.00000000,1.00000000","0.48990028,0.42866782,0.55273583,0.56873569,0.55991653,0.45745360,0.17129525,0.34942373,0.57406472,0.59766407,0.61779940,0.65076398,0.46976111,0.44610266,0.52944063,0.66085574,0.37680077,0.45684084,0.65628414,0.56483847",N/A (Coevolution)
1,2,2025-06-24 12:51:33,123.36,CoevoSegBasePeerPair:3,30,98.246,73.333,73.684,52.632,14.985,"1.00000000,0.46177148,0.90029724,0.27822669,0.00000000,0.00000000,0.00000000,0.17695174,0.16324098,0.62455789,0.00000000,0.42480950,0.86235039,0.51300648,0.00000000,1.00000000,0.44272053,0.00000000,0.00000000,1.00000000","0.46275049,0.37787986,0.49946214,0.42458466,0.61706098,0.29048708,0.16556461,0.38276788,0.58462414,0.47238489,0.56542852,0.79309996,0.45125920,0.44375190,0.50746932,0.56454329,0.39915783,0.44528767,0.68015204,0.48530522",N/A (Coevolution)
1,3,2025-06-24 12:52:18,168.95,CoevoSegBasePeerPair:3,40,92.982,71.404,67.544,49.123,16.644,"0.60331851,0.00000000,1.00000000,0.88601772,0.70204722,1.00000000,0.06553600,1.00000000,0.92170047,0.29077983,0.79458568,1.00000000,0.00000000,0.86534196,0.44862050,0.27024170,0.31714151,0.58007892,1.00000000,0.23843634","0.45459862,0.44666928,0.54453619,0.54349878,0.62479014,0.46318319,0.14769864,0.49922434,0.57053570,0.50087523,0.55410140,0.89887731,0.39528143,0.55561856,0.53181864,0.40329767,0.39947953,0.45889278,0.69215079,0.37997048",N/A (Coevolution)
1,4,2025-06-24 12:52:57,207.96,CoevoSegBasePeerPair:3,50,91.228,73.509,76.316,49.123,14.54,"0.60331851,0.00000000,1.00000000,0.88601772,0.70204722,1.00000000,0.06553600,1.00000000,0.92170047,0.29077983,0.79458568,1.00000000,0.00000000,0.86534196,0.44862050,0.27024170,0.31714151,0.58007892,1.00000000,0.23843634","0.61471854,0.51871447,0.50791543,0.47576003,0.69747986,0.45873880,0.07074647,0.60122026,0.65185181,0.55744522,0.60127311,0.93327079,0.34033463,0.49852354,0.43244345,0.44740348,0.28327499,0.43975864,0.70182337,0.30189269",N/A (Coevolution)
1,5,2025-06-24 12:53:38,248.91,CoevoSegBasePeerPair:3,60,87.719,74.561,76.316,56.14,9.681,"1.00000000,0.80342732,0.07388946,0.00000000,1.00000000,0.65347626,0.00000000,0.20319855,1.00000000,1.00000000,0.71174428,1.00000000,0.00000000,0.34692966,0.00000000,0.00000000,0.47238177,0.46087493,0.71783439,0.05160391","0.47387636,0.57250588,0.55230760,0.46887858,0.78134925,0.53411219,0.03172551,0.57055250,0.61024968,0.61146198,0.61499586,0.87017402,0.39935721,0.60537674,0.51713294,0.54199152,0.29578904,0.37244287,0.65786449,0.24342000",N/A (Coevolution)
1,6,2025-06-24 12:54:24,294.91,CoevoSegBasePeerPair:3,70,96.491,75.439,76.316,49.123,11.477,"1.00000000,0.62207776,0.69028318,1.00000000,0.85063189,0.00000000,0.04941521,0.77516514,0.28531559,1.00000000,0.79333773,1.00000000,0.96314115,0.52659765,0.70372181,1.00000000,0.00000000,0.16222561,0.77825931,0.18772469","0.57387636,0.60115682,0.52133592,0.46887858,0.78623435,0.53411219,0.03067314,0.54806902,0.59895435,0.63428463,0.61418003,0.87017402,0.42332148,0.60313819,0.50146079,0.54199152,0.29578904,0.35414199,0.63810211,0.23872416",N/A (Coevolution)
1,7,2025-06-24 12:55:09,339.97,CoevoSegBasePeerPair:3,80,96.491,73.333,69.298,66.667,9.376,"0.00000000,0.42779584,0.16661767,0.00000000,0.12989612,0.00000000,0.15434497,0.55883900,0.77530794,0.70914748,0.79079471,1.00000000,0.65622778,0.00000000,1.00000000,0.00000000,0.43233657,0.24791992,1.00000000,0.00707469","0.57387636,0.56445968,0.45241247,0.44445657,0.71168006,0.52518034,0.03377630,0.40395292,0.67054650,0.66927323,0.62485180,0.87017402,0.45220057,0.57779504,0.58740926,0.41364691,0.41806165,0.38533839,0.64960937,0.19875585",N/A (Coevolution)
1,8,2025-06-24 12:55:55,386.13,CoevoSegBasePeerPair:3,90,85.965,71.93,68.421,61.404,9.799,"0.00000000,0.82122554,0.15892563,0.00000000,0.00000000,0.00000000,0.02588260,0.08405116,0.82197282,0.00000000,0.72565690,1.00000000,0.61917042,0.43902005,0.00000000,0.68591860,0.21907842,0.00000000,1.00000000,0.01676970","0.61472512,0.58611637,0.52069908,0.40836309,0.66825752,0.35641578,0.03409790,0.28055065,0.61601081,0.69586526,0.56499918,0.83393619,0.40553790,0.57132324,0.40852406,0.52424919,0.41991554,0.36353975,0.73808428,0.18151494",N/A (Coevolution)
1,9,2025-06-24 12:56:31,421.47,CoevoSegBasePeerPair:3,100,87.719,70.0,72.807,47.368,12.759,"0.94700265,0.42503117,0.08838662,0.03001870,0.66703787,0.00000000,0.00000000,0.00000000,0.74049313,0.59090442,0.77043705,1.00000000,0.00000000,0.11465602,0.00000000,0.36499102,0.60012930,0.74576812,0.25611733,0.05199226","0.52456827,0.59420008,0.42178427,0.47283028,0.61201302,0.24180276,0.03476378,0.27568089,0.58796002,0.63734401,0.65231802,0.87460800,0.44818828,0.52005394,0.40594178,0.50560359,0.32988263,0.38049326,0.70343766,0.18575567",N/A (Coevolution)
1,10,2025-06-24 12:57:18,469.1,CoevoSegBasePeerPair:3,110,89.474,74.561,77.193,54.386,11.186,"0.00000000,0.42779584,0.16661767,0.00000000,0.12989612,0.00000000,0.15434497,0.55883900,0.77530794,0.70914748,0.79079471,1.00000000,0.65622778,0.00000000,1.00000000,0.00000000,0.43233657,0.24791992,1.00000000,0.00707469","0.61495308,0.59622928,0.42058248,0.31942631,0.47942328,0.10000000,0.04229518,0.25950070,0.48078522,0.59435936,0.63596565,0.87094493,0.54818828,0.44363030,0.40894248,0.62339116,0.46138522,0.33287552,0.60999265,0.20978600",N/A (Coevolution)
1,11,2025-06-24 12:57:58,508.35,CoevoSegBasePeerPair:3,120,87.719,71.404,75.439,47.368,12.407,"0.96897356,0.89247970,0.00000000,0.60941487,0.36645978,0.00000000,0.06333889,1.00000000,0.80957923,0.00000000,0.82392592,1.00000000,1.00000000,1.00000000,0.88454182,1.00000000,1.00000000,0.24590131,0.27361180,0.18297343","0.67708970,0.73537980,0.31247930,0.39176603,0.52932068,0.10000000,0.04794517,0.35398404,0.41107296,0.57360044,0.62844403,0.87288015,0.73655022,0.40051599,0.50919322,0.77857942,0.45780300,0.21794629,0.52565083,0.21613088",N/A (Coevolution)
1,12,2025-06-24 12:58:35,546.09,CoevoSegBasePeerPair:3,130,82.456,73.333,73.684,64.912,6.46,"0.00000000,0.82122554,0.15892563,0.00000000,0.00000000,0.00000000,0.02588260,0.08405116,0.82197282,0.00000000,0.72565690,1.00000000,0.61917042,0.43902005,0.00000000,0.68591860,0.21907842,0.00000000,1.00000000,0.01676970","0.63431403,0.73537980,0.31247930,0.39176603,0.46816593,0.00000000,0.04906546,0.28834419,0.48709906,0.54260813,0.64200030,0.87288015,0.74818828,0.48535561,0.55253461,0.77796104,0.50652929,0.21008308,0.57495983,0.21643899",N/A (Coevolution)
1,13,2025-06-24 12:59:15,585.8,CoevoSegBasePeerPair:3,140,77.193,70.175,69.298,64.912,4.225,"0.57224323,1.00000000,0.00000000,1.00000000,0.38845246,0.00000000,0.06989995,0.28843490,0.76026101,0.00000000,0.88723273,1.00000000,1.00000000,1.00000000,1.00000000,0.99381624,0.48726294,0.10625324,1.00000000,0.17049274","0.62719537,0.68920265,0.27814755,0.46394336,0.51518493,0.00000000,0.05079275,0.37064902,0.56223281,0.48015234,0.72543048,0.93039920,0.76195324,0.43405496,0.64826268,0.74130878,0.56225724,0.21008308,0.57495983,0.13209762",N/A (Coevolution)
1,14,2025-06-24 12:59:58,628.73,CoevoSegBasePeerPair:3,150,84.211,74.211,74.561,64.912,6.279,"1.00000000,0.62207776,0.69028318,1.00000000,0.85063189,0.00000000,0.04941521,0.77516514,0.28531559,1.00000000,0.79333773,1.00000000,0.96314115,0.52659765,0.70372181,1.00000000,0.00000000,0.16222561,0.77825931,0.18772469","0.64868845,0.61886100,0.27814755,0.46394336,0.53089038,0.01522188,0.05255650,0.44495503,0.62388862,0.47540581,0.72756459,0.93095736,0.76326448,0.50092068,0.63373127,0.76499815,0.55608577,0.19627868,0.54012691,0.12901935",N/A (Coevolution)
1,15,2025-06-24 13:00:34,664.31,CoevoSegBasePeerPair:3,160,75.439,72.281,73.684,66.667,3.31,"1.00000000,0.62207776,0.69028318,1.00000000,0.85063189,0.00000000,0.04941521,0.77516514,0.28531559,1.00000000,0.79333773,1.00000000,0.96314115,0.52659765,0.70372181,1.00000000,0.00000000,0.16222561,0.77825931,0.18772469","0.65179109,0.58085730,0.27814755,0.42168838,0.57107602,0.01522188,0.05476480,0.41962841,0.64293069,0.57540581,0.72889781,0.92774991,0.76326448,0.40092068,0.61035719,0.75920036,0.54498514,0.17251796,0.61276573,0.13064095",N/A (Coevolution)
1,16,2025-06-24 13:01:18,709.14,CoevoSegBasePeerPair:3,170,80.702,73.684,74.561,68.421,3.68,"1.00000000,0.51244270,0.00000000,0.18686506,0.76831618,0.00000000,0.08542187,0.74673381,1.00000000,1.00000000,0.83725817,0.96792546,1.00000000,0.00000000,0.65080106,0.94202209,0.88899367,0.00829412,1.00000000,0.19918952","0.67351934,0.61271335,0.26148578,0.42168838,0.59688275,0.01522188,0.04489277,0.46374451,0.63776698,0.54803207,0.73674826,0.92774991,0.79500915,0.50092068,0.61035719,0.81510947,0.53533520,0.17664510,0.59966796,0.14244541",N/A (Coevolution)
1,17,2025-06-24 13:02:00,750.95,CoevoSegBasePeerPair:3,180,75.439,71.404,71.93,66.667,3.143,"1.00000000,1.00000000,0.18510886,0.00000000,0.50866402,0.00000000,0.07531398,0.00000000,0.28299986,1.00000000,0.80600579,0.98272156,1.00000000,0.41674276,0.86679580,1.00000000,1.00000000,0.20785844,0.44160988,0.22137717","0.67351934,0.51549557,0.22648346,0.40300187,0.55503549,0.01522188,0.03577249,0.34597012,0.66714395,0.43725269,0.73415143,0.93095736,0.69869503,0.56178213,0.57112671,0.73491883,0.53718326,0.23640988,0.52184203,0.13232994",N/A (Coevolution)
1,18,2025-06-24 13:02:41,792.23,CoevoSegBasePeerPair:3,190,82.456,74.912,76.316,61.404,6.797,"0.92881344,0.00000000,0.55697976,1.00000000,0.47019010,0.00000000,0.01727294,1.00000000,0.91457842,0.00000000,0.83430180,1.00000000,1.00000000,0.00000000,0.95728070,0.63347733,1.00000000,0.00000000,0.00000000,0.15658636","0.67351934,0.51549557,0.22648346,0.40300187,0.55503549,0.01522188,0.03577249,0.34597012,0.66714395,0.43725269,0.73415143,0.93095736,0.69869503,0.56178213,0.57112671,0.73491883,0.53718326,0.23640988,0.52184203,0.13232994",N/A (Coevolution)
1,19,2025-06-24 13:03:24,835.22,CoevoSegBasePeerPair:3,200,78.947,71.754,71.93,64.912,3.37,"0.21728254,0.74635629,0.00000000,0.00000000,0.38796348,0.00000000,0.05562470,1.00000000,0.72367079,0.43541008,0.86929914,1.00000000,0.97367446,1.00000000,1.00000000,0.55909113,0.33583719,0.28919128,0.86902235,0.12511927","0.54549236,0.51549557,0.23595539,0.24750704,0.56883394,0.00000000,0.03138655,0.23549984,0.59112887,0.44199922,0.73286902,0.93517539,0.66334094,0.64327245,0.61076140,0.62246608,0.46159516,0.39497499,0.55667496,0.12136745",N/A (Coevolution)
1,20,2025-06-24 13:03:48,858.7,FixedSegBaseTotal:200,210,8.5,3.6,2.75,1.0,2.234,"0.21991922,0.92280742,0.47105245,0.81354052,0.57137413,0.33112405,0.18787201,0.73918024,0.36940858,0.98865954,0.52613165,0.41931377,0.21864298,0.80316872,0.72614967,0.21094472,0.44252469,0.85003377,0.83122787,0.72153148","0.42431186,0.54783377,0.39303403,0.50534856,0.54569961,0.61005007,0.56437794,0.47463738,0.42407595,0.64551290,0.44450756,0.46727913,0.47131644,0.70015192,0.52247821,0.40899244,0.50515878,0.54314167,0.51381733,0.31914883",N/A
