# Experiment Session ID: session_20250624_153949_s123_mhybrid
# Date Generated: 2025-06-24 15:39:49 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.1,coevolution:0.1,fixed:0.1,coevolution:0.1,fixed:0.1,coevolution:0.1,fixed:0.1,coevolution:0.1,fixed:0.1,coevolution:0.1
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-24 15:40:18,28.75,FixedSegBaseTotal:200,10,13.0,4.5,3.5,0.5,3.279,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A
1,1,2025-06-24 15:40:50,60.73,FixedSegBaseTotal:200,20,23.5,9.8,6.75,4.5,6.034,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.52914065,0.47604376,0.49342685,0.55067569,0.55420675,0.51553984,0.19668727,0.39434457,0.41395914,0.55573778,0.49503755,0.55656790,0.40480982,0.39883382,0.52231826,0.74200655,0.31919454,0.47210969,0.59412225,0.57847893",N/A
1,2,2025-06-24 15:41:25,95.47,FixedSegBaseTotal:200,30,23.5,11.4,10.5,5.0,5.669,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.59147084,0.47239305,0.54107633,0.61547093,0.54232269,0.48312216,0.13638679,0.40212128,0.47776998,0.52665613,0.52331325,0.47040124,0.40198686,0.40143095,0.52274014,0.74242634,0.31020025,0.39599810,0.54114249,0.64393558",N/A
1,3,2025-06-24 15:41:48,118.68,FixedSegBaseTotal:200,40,23.5,12.65,12.5,6.5,5.292,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.48064706,0.45495414,0.58423828,0.47551260,0.48719258,0.35463987,0.13855734,0.54269430,0.49560659,0.42236187,0.49411136,0.47042496,0.35366539,0.40816922,0.48370362,0.77607102,0.28725582,0.46921262,0.49363604,0.51112001",N/A
1,4,2025-06-24 15:42:18,148.39,FixedSegBaseTotal:200,50,36.0,21.4,20.0,12.0,7.503,"0.81787277,0.50754832,0.10531445,0.69484316,1.00000000,0.00000000,0.00000000,0.18782355,0.60635564,1.00000000,0.43727560,1.00000000,0.08404836,0.19412795,1.00000000,0.22369956,0.39745385,0.55088391,0.91687948,0.00000000","0.50819477,0.40984224,0.59849040,0.40015898,0.58059908,0.20060805,0.06597857,0.64239713,0.37858843,0.60445676,0.55502982,0.84360186,0.41071120,0.59210513,0.55495649,0.75575267,0.26375247,0.37192820,0.68850671,0.34155623",N/A
1,5,2025-06-24 15:42:33,163.57,CoevoSegBasePeerPair:3,60,81.481,33.704,31.481,0.0,30.963,"0.28264904,0.77981746,0.44562395,0.86340036,0.99619576,0.60815143,0.52789339,0.57729487,0.13518473,0.71432590,0.81216242,0.96539964,0.69329473,0.06746930,0.70323402,0.22028873,0.83637610,0.91788413,0.84669868,0.43300053","0.53016530,0.73480440,0.50047985,0.56911141,0.64978135,0.53207841,0.65052948,0.50661704,0.43881820,0.58406007,0.49172841,0.43859006,0.62982437,0.44539224,0.55058502,0.52136985,0.40723147,0.63455117,0.76629626,0.35204593",N/A (Coevolution)
1,6,2025-06-24 15:43:24,214.99,CoevoSegBasePeerPair:3,70,100.0,51.754,53.509,21.053,26.33,"1.00000000,1.00000000,0.30108359,0.17053659,1.00000000,0.82141767,0.09697374,1.00000000,1.00000000,0.06197290,0.78708885,1.00000000,0.20288374,0.42121101,0.55167009,0.79686319,0.05397719,1.00000000,1.00000000,0.05287693","0.57995359,0.69576208,0.37674270,0.72338720,0.72860588,0.53766942,0.49788351,0.61942837,0.62034419,0.56576291,0.48177995,0.69057789,0.64499597,0.37075389,0.69010128,0.55219321,0.54640903,0.68348531,0.78582999,0.39254459",N/A (Coevolution)
1,7,2025-06-24 15:44:24,274.69,CoevoSegBasePeerPair:3,80,100.0,65.614,61.404,49.123,13.571,"1.00000000,1.00000000,0.30108359,0.17053659,1.00000000,0.82141767,0.09697374,1.00000000,1.00000000,0.06197290,0.78708885,1.00000000,0.20288374,0.42121101,0.55167009,0.79686319,0.05397719,1.00000000,1.00000000,0.05287693","0.53287990,0.74731171,0.37437656,0.66589784,0.67486453,0.51111093,0.38842624,0.34891007,0.44672016,0.55065919,0.73596623,0.78288386,0.68167538,0.34582032,0.69102980,0.49953180,0.51019454,0.65030274,0.64554603,0.17827090",N/A (Coevolution)
1,8,2025-06-24 15:45:20,330.67,CoevoSegBasePeerPair:3,90,98.246,69.298,63.158,49.123,15.097,"1.00000000,1.00000000,0.30108359,0.17053659,1.00000000,0.82141767,0.09697374,1.00000000,1.00000000,0.06197290,0.78708885,1.00000000,0.20288374,0.42121101,0.55167009,0.79686319,0.05397719,1.00000000,1.00000000,0.05287693","0.34407589,0.73947321,0.36417487,0.59817586,0.74785913,0.55642152,0.29754129,0.46323769,0.61046755,0.43912674,0.67042765,0.83021977,0.55900476,0.47554423,0.67293232,0.62031228,0.45803588,0.52264361,0.87440255,0.34125475",N/A (Coevolution)
1,9,2025-06-24 15:46:22,392.49,CoevoSegBasePeerPair:3,100,98.246,67.368,60.526,49.123,16.386,"1.00000000,1.00000000,0.30108359,0.17053659,1.00000000,0.82141767,0.09697374,1.00000000,1.00000000,0.06197290,0.78708885,1.00000000,0.20288374,0.42121101,0.55167009,0.79686319,0.05397719,1.00000000,1.00000000,0.05287693","0.24809665,0.67736647,0.40207885,0.39013900,0.64977329,0.58594366,0.21180667,0.52521077,0.63124870,0.30924036,0.71595164,0.88995271,0.50257300,0.47577480,0.63314337,0.54203797,0.43868828,0.66520383,0.89330012,0.30336964",N/A (Coevolution)
