# Experiment Session ID: session_20250624_182135_s123_mhybrid
# Date Generated: 2025-06-24 18:21:35 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.2,coevolution:0.2,fixed:0.2,coevolution:0.2,fixed:0.2
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-24 18:22:04,27.97,FixedSegBaseTotal:200,10,12.5,4.65,4.5,1.0,3.115,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A
1,1,2025-06-24 18:22:35,59.14,FixedSegBaseTotal:200,20,26.0,10.45,6.0,5.0,6.646,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.48701516,0.30706124,0.42227685,0.40704821,0.58865339,0.31323803,0.41561452,0.38267148,0.63440924,0.54400195,0.60730865,0.61253099,0.41157955,0.51934444,0.57324302,0.60471252,0.33001058,0.34844767,0.57856262,0.37817083",N/A
1,2,2025-06-24 18:23:03,86.9,FixedSegBaseTotal:200,30,42.0,15.5,13.25,6.0,10.651,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.60547518,0.29952064,0.42509504,0.36867995,0.54685042,0.20537329,0.31120754,0.53907248,0.59527919,0.60990058,0.64540162,0.75718896,0.39519228,0.58458490,0.55023765,0.69350215,0.27667853,0.37858458,0.47169799,0.43529995",N/A
1,3,2025-06-24 18:23:38,121.81,FixedSegBaseTotal:200,40,42.0,18.35,14.75,8.5,10.181,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.59585219,0.35425106,0.43844245,0.46402012,0.66612012,0.36184209,0.22427939,0.64178766,0.54839087,0.56210296,0.59458674,0.78533293,0.37809511,0.60909211,0.52454896,0.57218470,0.34600849,0.51947553,0.57021195,0.41204284",N/A
1,4,2025-06-24 18:24:08,152.47,FixedSegBaseTotal:200,50,42.0,25.5,27.25,12.5,9.716,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.68436808,0.49723087,0.64270198,0.54017395,0.76806278,0.36324800,0.04448315,0.78950083,0.59812027,0.55359101,0.68137740,0.85621045,0.33128097,0.61790895,0.53174744,0.70260642,0.23328563,0.43180601,0.71605551,0.39051313",N/A
1,5,2025-06-24 18:24:43,187.51,FixedSegBaseTotal:200,60,42.0,26.85,27.25,14.5,8.634,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.63947052,0.41851061,0.59530907,0.48621790,0.84840853,0.48508812,0.06458572,0.77386520,0.61881660,0.42891357,0.73061279,0.91557142,0.27904317,0.55293273,0.64747228,0.64453336,0.23110923,0.41798140,0.77241028,0.26972380",N/A
1,6,2025-06-24 18:25:20,224.11,FixedSegBaseTotal:200,70,42.0,29.95,28.75,17.5,7.122,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.63583592,0.45920972,0.55811303,0.64793737,0.84070457,0.48102877,0.05057768,0.82967439,0.53481476,0.55006180,0.75821788,0.93264041,0.32563753,0.61121454,0.64747228,0.74862370,0.14307364,0.42296583,0.81605551,0.19747044",N/A
1,7,2025-06-24 18:25:59,263.33,FixedSegBaseTotal:200,80,42.0,32.05,30.75,25.5,5.169,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.52320865,0.43407105,0.73156260,0.65903115,0.82793259,0.49021882,0.06189021,0.90290551,0.49531106,0.49350066,0.82581641,1.00000000,0.32022073,0.62045102,0.79845071,0.73701223,0.22760371,0.44033575,0.91605551,0.21464321",N/A
1,8,2025-06-24 18:26:33,297.33,FixedSegBaseTotal:200,90,42.0,33.0,32.0,28.5,4.307,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.68701589,0.60051422,0.72592812,0.71231958,0.86014431,0.52299362,0.06218090,0.84294632,0.57271278,0.53925374,0.83072889,1.00000000,0.21892084,0.68409704,0.71566502,0.63701223,0.28465590,0.46160210,0.91846720,0.23210480",N/A
1,9,2025-06-24 18:27:08,331.63,FixedSegBaseTotal:200,100,42.0,34.9,33.25,29.5,4.042,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.71730797,0.79535974,0.62592812,0.45328843,0.91668002,0.49922577,0.06193902,0.65766989,0.69116429,0.50050886,0.83652495,1.00000000,0.13363012,0.72238530,0.72396079,0.64385478,0.37500698,0.53473571,0.91920570,0.23662492",N/A
1,10,2025-06-24 18:27:24,348.38,CoevoSegBasePeerPair:3,110,85.185,35.926,24.074,0.0,35.06,"0.42143842,0.72123760,0.55278690,0.28721927,0.13331737,0.84334762,0.32970491,0.98137970,0.42946754,0.29280691,0.66685996,0.42302046,0.39630686,0.57011634,0.66632014,0.09512263,0.76448241,0.03288513,0.88124529,0.58411225","0.40508895,0.46514021,0.52126474,0.53316869,0.53321738,0.56761879,0.62230255,0.53625255,0.56263546,0.61075487,0.70664754,0.42105585,0.43771508,0.51965386,0.39253640,0.37906795,0.49406779,0.43920051,0.59958116,0.49091244",N/A (Coevolution)
1,11,2025-06-24 18:28:27,410.7,CoevoSegBasePeerPair:3,120,96.491,56.842,70.175,5.263,31.649,"0.68541892,0.02248945,0.00000000,0.58744135,0.00000000,0.08112649,0.41595760,0.72514802,1.00000000,0.50172401,1.00000000,1.00000000,0.03261113,0.28412957,0.18536400,0.00000000,0.25971583,0.41995601,0.00000000,0.23535947","0.51659144,0.37211044,0.46727563,0.48116504,0.34296438,0.41964079,0.48221920,0.47842071,0.69008110,0.47516499,0.75733061,0.52550956,0.43971630,0.57596644,0.34058324,0.30877199,0.55573633,0.36182097,0.68298860,0.54661131",N/A (Coevolution)
1,12,2025-06-24 18:29:34,478.07,CoevoSegBasePeerPair:3,130,98.246,70.351,66.667,56.14,13.022,"0.57940226,0.00000000,0.56556942,0.85060436,0.00000000,0.38631730,0.02113698,0.49497248,1.00000000,0.68514926,0.92621356,1.00000000,0.62323169,0.45802900,0.49875845,0.00000000,0.28110190,0.26290826,0.03462142,1.00000000","0.45669803,0.44328390,0.43954292,0.41998651,0.30706736,0.42412552,0.19597594,0.53856361,0.73193628,0.37040447,0.84227917,0.53005103,0.53817656,0.39885863,0.31116986,0.32372871,0.56701887,0.29728189,0.53086966,0.69965104",N/A (Coevolution)
