# Experiment Session ID: session_20250624_234052_s123_mhybrid
# Date Generated: 2025-06-24 23:40:52 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: hybrid
# Hybrid Schedule String: coevolution:0.8,fixed:0.2
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-24 23:41:06,13.86,CoevoSegBasePeerPair:3,10,96.296,43.704,53.704,0.0,34.179,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A (Coevolution)
1,1,2025-06-24 23:41:55,62.67,CoevoSegBasePeerPair:3,20,98.246,73.684,73.684,50.877,14.615,"1.00000000,0.46177148,0.90029724,0.27822669,0.00000000,0.00000000,0.00000000,0.17695174,0.16324098,0.62455789,0.00000000,0.42480950,0.86235039,0.51300648,0.00000000,1.00000000,0.44272053,0.00000000,0.00000000,1.00000000","0.45332557,0.36504974,0.56088419,0.54803739,0.55025779,0.40871217,0.20109830,0.33374420,0.49834534,0.60094681,0.53225618,0.68892362,0.43177542,0.48893617,0.47943599,0.63396388,0.38475198,0.49069207,0.65594671,0.56816738",N/A (Coevolution)
1,2,2025-06-24 23:42:47,114.41,CoevoSegBasePeerPair:3,30,100.0,73.333,73.684,43.86,15.999,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.56275049,0.36835120,0.57611780,0.50656770,0.53729322,0.28810577,0.14714952,0.41234995,0.44738951,0.55819289,0.51729280,0.76333353,0.49269757,0.57039161,0.48556171,0.51179194,0.44425166,0.38181776,0.66725253,0.49429005",N/A (Coevolution)
1,3,2025-06-24 23:43:31,158.62,CoevoSegBasePeerPair:3,40,96.491,73.509,69.298,52.632,15.681,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.52382456,0.41007245,0.57510117,0.45485735,0.54816320,0.20274387,0.12386899,0.51541457,0.44366677,0.49199412,0.53770102,0.85523999,0.48248517,0.52365667,0.55285657,0.57151644,0.44579790,0.46444131,0.72575235,0.42902918",N/A (Coevolution)
1,4,2025-06-24 23:44:13,200.6,CoevoSegBasePeerPair:3,50,98.246,72.105,71.93,49.123,16.633,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.60095415,0.50153947,0.45945860,0.41973767,0.69384021,0.28111420,0.05366233,0.59145061,0.45244106,0.54832390,0.58437043,0.86387540,0.38285829,0.62594243,0.47418675,0.56383508,0.43610101,0.44274318,0.77691235,0.36142105",N/A (Coevolution)
1,5,2025-06-24 23:44:53,240.76,CoevoSegBasePeerPair:3,60,91.228,72.281,76.316,45.614,14.903,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.56234756,0.51222283,0.60367327,0.25548885,0.69033624,0.38382574,0.03959592,0.56611708,0.36850384,0.57624711,0.63580855,0.85827002,0.41238776,0.60224073,0.54867507,0.66990000,0.42296261,0.43733140,0.68079670,0.34984477",N/A (Coevolution)
1,6,2025-06-24 23:45:34,281.86,CoevoSegBasePeerPair:3,70,94.737,73.158,72.807,54.386,10.171,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.49623704,0.55778102,0.66146596,0.25409805,0.68525354,0.36050175,0.03676460,0.61684993,0.21875399,0.62910783,0.63113231,0.81326984,0.42811627,0.61094287,0.57815278,0.85303227,0.35435822,0.34736531,0.67631290,0.47224790",N/A (Coevolution)
1,7,2025-06-24 23:46:11,318.55,CoevoSegBasePeerPair:3,80,92.982,72.105,72.807,61.404,9.298,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.54020701,0.52422419,0.66146596,0.17389661,0.70507545,0.36050175,0.03077072,0.51684993,0.23218877,0.65193048,0.57513380,0.76140117,0.42383260,0.60800967,0.52187527,0.85303227,0.42410120,0.39627304,0.67872458,0.44877959",N/A (Coevolution)
1,8,2025-06-24 23:46:47,355.08,CoevoSegBasePeerPair:3,90,94.737,72.456,70.175,61.404,8.488,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.62872268,0.71966385,0.58145938,0.27042652,0.80507545,0.44433524,0.04312208,0.63382648,0.32265853,0.69339382,0.63753789,0.81339818,0.25576643,0.59678323,0.49301351,0.85642724,0.28963209,0.39362871,0.72549067,0.42200949",N/A (Coevolution)
1,9,2025-06-24 23:47:28,395.56,CoevoSegBasePeerPair:3,100,91.228,69.123,67.544,56.14,9.616,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.59370670,0.61332069,0.68145938,0.25063190,0.69448815,0.22377966,0.03690926,0.33544483,0.34369469,0.66967236,0.57151019,0.75198263,0.28557536,0.47503222,0.49672007,0.84319435,0.48004779,0.41894650,0.63359728,0.49433125",N/A (Coevolution)
