# Experiment Session ID: session_20250625_123556_s123_mhybrid
# Date Generated: 2025-06-25 12:35:56 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: hybrid
# Hybrid Schedule String: fixed:0.4,coevolution:0.2,fixed:0.4
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 3
#    Games vs Each Intra-Run HoF Member: 3
#    Pruning Percentage: 35%
#    Pruning Frequency (Generations): 8
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-25 12:36:24,27.6,FixedSegBaseTotal:200,10,12.0,4.85,3.5,2.0,3.271,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A
1,1,2025-06-25 12:36:57,60.36,FixedSegBaseTotal:200,20,24.138,10.59,8.198,4.433,6.325,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.39335185,0.33291723,0.52833286,0.51279574,0.59458158,0.42276709,0.21706448,0.40916808,0.47132393,0.65585635,0.52793261,0.62324421,0.44924571,0.52971790,0.49435637,0.63442588,0.39983789,0.49514112,0.61124048,0.59803504",N/A
1,2,2025-06-25 12:37:33,96.53,FixedSegBaseTotal:200,30,33.01,14.057,10.75,6.5,8.349,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.42293691,0.29424306,0.48947722,0.38953735,0.69274369,0.28223411,0.19876063,0.51264362,0.54148307,0.62100643,0.60089551,0.60317536,0.36222894,0.64302499,0.44207116,0.60474230,0.37701669,0.61659645,0.44775437,0.59351891",N/A
1,3,2025-06-25 12:38:04,126.98,FixedSegBaseTotal:200,40,33.01,18.346,15.072,10.048,7.637,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.46128600,0.42681624,0.57592254,0.50545985,0.64388148,0.39274526,0.10427977,0.63018451,0.51959316,0.53723628,0.52170060,0.78354130,0.34733000,0.57244126,0.45269704,0.53657405,0.36780184,0.47317914,0.64397606,0.38430103",N/A
1,4,2025-06-25 12:38:49,172.34,FixedSegBaseTotal:200,50,37.321,28.642,30.144,19.704,5.539,"0.99850436,1.00000000,1.00000000,1.00000000,0.74561612,0.96636842,0.07136825,0.60870236,1.00000000,0.00000000,0.87173927,1.00000000,0.08049487,0.83887650,1.00000000,1.00000000,0.13716754,0.39533275,1.00000000,0.19359824","0.49029356,0.46228426,0.56964876,0.60666886,0.78459789,0.56381329,0.06254367,0.76331903,0.50348004,0.50873959,0.76217414,0.98531919,0.20876047,0.63820053,0.69457976,0.58868594,0.28237187,0.42330152,0.87258990,0.23910559",N/A
1,5,2025-06-25 12:39:31,214.05,FixedSegBaseTotal:200,60,37.321,30.813,30.622,24.88,3.267,"0.99850436,1.00000000,1.00000000,1.00000000,0.74561612,0.96636842,0.07136825,0.60870236,1.00000000,0.00000000,0.87173927,1.00000000,0.08049487,0.83887650,1.00000000,1.00000000,0.13716754,0.39533275,1.00000000,0.19359824","0.52982412,0.51051974,0.57307686,0.39978741,0.77273389,0.57827124,0.06172116,0.74970129,0.46770739,0.38332885,0.81369793,0.99040384,0.32320622,0.63259479,0.79034243,0.69518293,0.23373114,0.40107233,0.87915939,0.24368741",N/A
1,6,2025-06-25 12:40:03,246.53,FixedSegBaseTotal:200,70,37.321,32.775,32.055,30.144,2.414,"0.99850436,1.00000000,1.00000000,1.00000000,0.74561612,0.96636842,0.07136825,0.60870236,1.00000000,0.00000000,0.87173927,1.00000000,0.08049487,0.83887650,1.00000000,1.00000000,0.13716754,0.39533275,1.00000000,0.19359824","0.62227786,0.58859924,0.43289518,0.38650133,0.84650891,0.49900297,0.06712386,0.80407250,0.37919039,0.31017500,0.80864284,0.99040384,0.38564339,0.62873850,0.76979654,0.76276259,0.16225174,0.33896263,0.86765580,0.26615166",N/A
1,7,2025-06-25 12:40:43,286.61,FixedSegBaseTotal:200,80,37.321,33.732,33.493,30.622,2.414,"1.00000000,0.00000000,1.00000000,0.71437325,1.00000000,0.16740449,0.05492801,0.00000000,0.49050687,0.56994787,0.74487176,1.00000000,0.71576920,1.00000000,1.00000000,1.00000000,0.21518681,0.23714898,1.00000000,0.09576581","0.78274730,0.55885409,0.50474350,0.52962738,0.90744708,0.40251137,0.06659890,0.70481268,0.42824108,0.38190300,0.80794410,0.99040384,0.35251771,0.68256241,0.79024040,0.72005472,0.15716689,0.34471297,0.76765580,0.23927308",N/A
1,8,2025-06-25 12:41:22,325.73,FixedSegBaseTotal:200,90,37.321,34.162,34.211,30.622,2.195,"1.00000000,0.00000000,1.00000000,0.71437325,1.00000000,0.16740449,0.05492801,0.00000000,0.49050687,0.56994787,0.74487176,1.00000000,0.71576920,1.00000000,1.00000000,1.00000000,0.21518681,0.23714898,1.00000000,0.09576581","0.75373549,0.56571230,0.44487041,0.63873263,0.80258472,0.43410902,0.07874348,0.61833983,0.58110277,0.41880451,0.80240430,1.00000000,0.27475149,0.75934713,0.67929203,0.54666951,0.19510160,0.41609682,0.81507022,0.21309666",N/A
1,9,2025-06-25 12:42:02,364.89,FixedSegBaseTotal:200,100,37.321,35.223,35.407,33.01,1.522,"1.00000000,0.00000000,1.00000000,0.71437325,1.00000000,0.16740449,0.05492801,0.00000000,0.49050687,0.56994787,0.74487176,1.00000000,0.71576920,1.00000000,1.00000000,1.00000000,0.21518681,0.23714898,1.00000000,0.09576581","0.74972533,0.46571230,0.59958258,0.61096279,0.80297419,0.44331387,0.07839412,0.62073351,0.58035325,0.52618018,0.81019273,1.00000000,0.35138577,0.73792650,0.71904860,0.64666951,0.22846695,0.50355694,0.71507022,0.19555296",N/A
