# Experiment Session ID: session_20250626_001830_s123_mfixed
# Date Generated: 2025-06-26 00:18:30 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: fixed
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 3
#    Games vs Each Intra-Run HoF Member: 3
#    Pruning Percentage: 35%
#    Pruning Frequency (Generations): 8
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-26 00:19:02,31.19,FixedSegBaseTotal:200,10,18.0,5.95,4.0,1.0,5.037,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A
1,1,2025-06-26 00:19:31,59.68,FixedSegBaseTotal:200,20,28.079,11.238,8.187,4.926,6.957,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.61165511,0.43228678,0.55263219,0.57691456,0.51703471,0.41038287,0.30233244,0.34623960,0.54936946,0.60094628,0.56630076,0.61324786,0.44665011,0.43131268,0.57451100,0.71392477,0.29556338,0.33193101,0.61594074,0.46570397",N/A
1,2,2025-06-26 00:20:04,93.19,FixedSegBaseTotal:200,30,28.079,12.535,10.187,5.911,6.493,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.66702987,0.38771551,0.49423943,0.48628414,0.58216830,0.42767636,0.18680402,0.34176336,0.55662417,0.64485692,0.68773251,0.61324786,0.37013423,0.61387239,0.46646886,0.63714513,0.37887717,0.37309447,0.62060782,0.46479593",N/A
1,3,2025-06-26 00:20:31,120.31,FixedSegBaseTotal:200,40,28.155,14.808,13.389,7.389,7.518,"0.36229268,0.00000000,1.00000000,0.74016301,0.57183341,1.00000000,0.06820640,1.00000000,1.00000000,0.00000000,0.78135228,1.00000000,0.00000000,1.00000000,0.42982901,0.32740536,0.58745810,0.72027189,1.00000000,0.37223515","0.54435708,0.39838566,0.59227848,0.56998491,0.61663618,0.56774298,0.12776418,0.44465388,0.56682071,0.54451010,0.64745238,0.68953572,0.38636613,0.62382861,0.44137431,0.56988567,0.44470289,0.44512166,0.62342471,0.49672327",N/A
1,4,2025-06-26 00:21:07,155.99,FixedSegBaseTotal:200,50,36.842,21.702,18.33,12.0,7.558,"0.30273437,1.00000000,1.00000000,1.00000000,0.83427864,0.00000000,0.06581393,0.44297995,1.00000000,0.00000000,0.89699421,1.00000000,0.78073944,0.52730391,1.00000000,1.00000000,0.00000000,0.24595992,1.00000000,0.16595374","0.42171084,0.41928645,0.64234651,0.56375148,0.79348537,0.49406957,0.12738920,0.58725297,0.57215192,0.44970391,0.67825775,0.96560652,0.36781086,0.77773266,0.63023277,0.57483302,0.37077533,0.43584423,0.86761947,0.36925504",N/A
1,5,2025-06-26 00:21:47,195.87,FixedSegBaseTotal:200,60,36.842,24.144,25.12,15.534,6.475,"0.30273437,1.00000000,1.00000000,1.00000000,0.83427864,0.00000000,0.06581393,0.44297995,1.00000000,0.00000000,0.89699421,1.00000000,0.78073944,0.52730391,1.00000000,1.00000000,0.00000000,0.24595992,1.00000000,0.16595374","0.38278491,0.40874294,0.64583808,0.58044225,0.72977913,0.42144951,0.09426411,0.68670667,0.55972961,0.48285920,0.70324582,0.95503118,0.39447796,0.65952912,0.65636496,0.64445244,0.30191312,0.49817013,0.91546040,0.30519078",N/A
1,6,2025-06-26 00:22:24,233.22,FixedSegBaseTotal:200,70,36.842,27.155,28.117,18.66,5.245,"0.30273437,1.00000000,1.00000000,1.00000000,0.83427864,0.00000000,0.06581393,0.44297995,1.00000000,0.00000000,0.89699421,1.00000000,0.78073944,0.52730391,1.00000000,1.00000000,0.00000000,0.24595992,1.00000000,0.16595374","0.37324175,0.41080736,0.52658573,0.69176242,0.77058631,0.50185858,0.05745775,0.82624114,0.52998669,0.48630743,0.77188557,0.97653238,0.44681548,0.61624441,0.67402759,0.75716586,0.16510756,0.53626650,0.90370576,0.27337664",N/A
1,7,2025-06-26 00:23:03,271.68,FixedSegBaseTotal:200,80,36.842,30.36,29.187,27.751,2.719,"0.30273437,1.00000000,1.00000000,1.00000000,0.83427864,0.00000000,0.06581393,0.44297995,1.00000000,0.00000000,0.89699421,1.00000000,0.78073944,0.52730391,1.00000000,1.00000000,0.00000000,0.24595992,1.00000000,0.16595374","0.37658176,0.34756508,0.68022857,0.75833056,0.86957282,0.45791755,0.06271888,0.84215146,0.48794712,0.38985788,0.82827357,1.00000000,0.55143988,0.73609644,0.78176021,0.71840511,0.15803560,0.46430595,0.89758832,0.29048874",N/A
1,8,2025-06-26 00:23:46,314.94,FixedSegBaseTotal:200,90,36.842,30.599,29.904,28.079,2.58,"0.30273437,1.00000000,1.00000000,1.00000000,0.83427864,0.00000000,0.06581393,0.44297995,1.00000000,0.00000000,0.89699421,1.00000000,0.78073944,0.52730391,1.00000000,1.00000000,0.00000000,0.24595992,1.00000000,0.16595374","0.33262846,0.34756508,0.77171622,0.85833056,0.86957282,0.43364194,0.06261366,0.80776485,0.43676919,0.40810554,0.83215766,1.00000000,0.60659252,0.73680962,0.84593987,0.74429637,0.20714543,0.45667976,0.89758832,0.30454671",N/A
1,9,2025-06-26 00:24:26,355.6,FixedSegBaseTotal:200,100,36.842,30.801,30.12,28.155,2.451,"0.30273437,1.00000000,1.00000000,1.00000000,0.83427864,0.00000000,0.06581393,0.44297995,1.00000000,0.00000000,0.89699421,1.00000000,0.78073944,0.52730391,1.00000000,1.00000000,0.00000000,0.24595992,1.00000000,0.16595374","0.37260782,0.33292186,0.57171622,0.78431426,0.91912858,0.37516566,0.06361882,0.62020482,0.36136848,0.43435727,0.84199826,0.99541255,0.62715418,0.68271872,0.90436453,0.72875551,0.27599269,0.49547128,0.81569780,0.33650659",N/A
