# Experiment Session ID: session_20250626_031204_s123_mcoevolution
# Date Generated: 2025-06-26 03:12:04 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: coevolution
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 3
#    Games vs Each Intra-Run HoF Member: 3
#    Pruning Percentage: 35%
#    Pruning Frequency (Generations): 8
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-26 03:12:19,14.24,CoevoSegBasePeerPair:3,10,96.296,44.074,50.0,0.0,34.801,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A (Coevolution)
1,1,2025-06-26 03:13:10,64.78,CoevoSegBasePeerPair:3,20,91.667,70.667,70.833,50.0,14.553,"1.00000000,0.46177148,0.90029724,0.27822669,0.00000000,0.00000000,0.00000000,0.17695174,0.16324098,0.62455789,0.00000000,0.42480950,0.86235039,0.51300648,0.00000000,1.00000000,0.44272053,0.00000000,0.00000000,1.00000000","0.45332557,0.36504974,0.56088419,0.54803739,0.55025779,0.40871217,0.20109830,0.33374420,0.49834534,0.60094681,0.53225618,0.68892362,0.43177542,0.48893617,0.47943599,0.63396388,0.38475198,0.49069207,0.65594671,0.56816738",N/A (Coevolution)
1,2,2025-06-26 03:14:04,119.68,CoevoSegBasePeerPair:3,30,87.302,66.984,67.46,47.619,12.911,"1.00000000,0.46177148,0.90029724,0.27822669,0.00000000,0.00000000,0.00000000,0.17695174,0.16324098,0.62455789,0.00000000,0.42480950,0.86235039,0.51300648,0.00000000,1.00000000,0.44272053,0.00000000,0.00000000,1.00000000","0.46275049,0.32422316,0.62755715,0.52458466,0.46364305,0.26528531,0.20368045,0.33419577,0.48409694,0.54874794,0.45611857,0.80948506,0.52069373,0.52189701,0.52127120,0.51921540,0.49196589,0.40192817,0.58657256,0.63678387",N/A (Coevolution)
1,3,2025-06-26 03:14:46,161.49,CoevoSegBasePeerPair:3,40,90.476,66.984,62.698,47.619,13.961,"0.60331851,0.00000000,1.00000000,0.88601772,0.70204722,1.00000000,0.06553600,1.00000000,0.92170047,0.29077983,0.79458568,1.00000000,0.00000000,0.86534196,0.44862050,0.27024170,0.31714151,0.58007892,1.00000000,0.23843634","0.41567269,0.40254675,0.62624940,0.59178843,0.49444224,0.37011627,0.15368946,0.54444665,0.54005661,0.51039357,0.47289227,0.88486122,0.43680510,0.50346378,0.57459284,0.42758920,0.41023641,0.44418940,0.73632921,0.48150091",N/A (Coevolution)
1,4,2025-06-26 03:15:26,201.64,CoevoSegBasePeerPair:3,50,92.424,69.848,74.242,42.424,16.687,"0.60331851,0.00000000,1.00000000,0.88601772,0.70204722,1.00000000,0.06553600,1.00000000,0.92170047,0.29077983,0.79458568,1.00000000,0.00000000,0.86534196,0.44862050,0.27024170,0.31714151,0.58007892,1.00000000,0.23843634","0.42656597,0.52782313,0.53887500,0.70791169,0.80305889,0.56336490,0.04528055,0.72709809,0.61378091,0.51714871,0.65724117,0.88631968,0.48089370,0.68566779,0.60740025,0.60422391,0.19719735,0.33334936,0.75238205,0.30665779",N/A (Coevolution)
1,5,2025-06-26 03:16:14,248.89,CoevoSegBasePeerPair:3,60,89.394,71.667,69.697,57.576,12.122,"0.65279969,0.54212160,0.09510122,0.53462421,1.00000000,1.00000000,0.00000000,0.22021852,0.87300225,1.00000000,0.85825120,1.00000000,0.70296204,1.00000000,0.90884396,0.32086251,0.26478828,0.02156622,0.67856482,0.00000000","0.37113806,0.52708792,0.68296792,0.55205544,0.80376687,0.60000000,0.05070168,0.76690589,0.57134165,0.46007649,0.71133004,0.89822472,0.59240353,0.63327149,0.65593530,0.71567552,0.17571696,0.25736739,0.71462973,0.32072598",N/A (Coevolution)
1,6,2025-06-26 03:17:03,297.82,CoevoSegBasePeerPair:3,70,84.848,70.758,73.485,51.515,9.867,"0.60331851,0.00000000,1.00000000,0.88601772,0.70204722,1.00000000,0.06553600,1.00000000,0.92170047,0.29077983,0.79458568,1.00000000,0.00000000,0.86534196,0.44862050,0.27024170,0.31714151,0.58007892,1.00000000,0.23843634","0.57113806,0.67675522,0.39096671,0.54139537,0.81385829,0.78788190,0.05114132,0.70813758,0.68961743,0.46575240,0.72301195,0.90782088,0.44051467,0.63628015,0.56098260,0.67912111,0.18192850,0.32865840,0.63486996,0.32083219",N/A (Coevolution)
1,7,2025-06-26 03:17:55,350.35,CoevoSegBasePeerPair:3,80,86.364,72.273,70.455,63.636,6.322,"0.00000000,0.00000000,0.96044037,0.00000000,1.00000000,1.00000000,0.06177537,1.00000000,0.49646560,0.55439224,0.82283243,1.00000000,0.27914426,0.00000000,0.26672326,0.94041931,0.00000000,0.22966096,1.00000000,0.22297768","0.62561182,0.57675522,0.40358267,0.55922680,0.84801813,0.78136237,0.05034422,0.65847078,0.69904582,0.53130826,0.71113341,0.90782088,0.35913466,0.63628015,0.54128895,0.75105859,0.13693906,0.39199727,0.63486996,0.28459732",N/A (Coevolution)
1,8,2025-06-26 03:18:47,401.89,CoevoSegBasePeerPair:3,90,87.879,71.97,69.697,65.152,6.108,"1.00000000,1.00000000,0.07998789,0.89339938,1.00000000,0.00000000,0.05324907,0.67802721,0.00000000,0.92149576,0.69544717,1.00000000,1.00000000,0.25835356,0.88831215,0.99447211,0.00000000,0.00000000,0.47878805,0.22506540","0.57759235,0.63057807,0.49975527,0.53140413,0.89373513,0.80413454,0.05570811,0.66421810,0.74605687,0.53824055,0.80848677,1.00000000,0.26070241,0.66898618,0.52373908,0.64435737,0.08646215,0.48571904,0.83486996,0.18739422",N/A (Coevolution)
1,9,2025-06-26 03:19:38,452.91,CoevoSegBasePeerPair:3,100,96.825,66.825,64.286,58.73,10.635,"0.50815442,1.00000000,0.00000000,1.00000000,0.90709282,0.00000000,0.06541689,0.11276324,0.73393899,1.00000000,0.82028928,0.93171870,0.04608738,0.55818522,0.26007157,0.41702835,0.15374099,0.40277505,1.00000000,0.25704040","0.54256027,0.72636588,0.49024515,0.47794171,0.91342005,0.77274429,0.06257547,0.82874400,0.71782864,0.65195221,0.80429748,0.99317187,0.23881956,0.62480471,0.45777114,0.58050879,0.05329979,0.51216621,0.86701347,0.23912628",N/A (Coevolution)
