# Experiment Session ID: session_20250626_062355_s123_mfixed
# Date Generated: 2025-06-26 06:23:55 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: fixed
# Base Games vs Fixed Opponents: 200
# Opponent Bots (Fixed Mode): ['PatronFavorsBot', 'MaxAgentsBot', 'MaxPrestigeBot', 'DecisionTreeBot']
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-26 06:24:25,28.89,FixedSegBaseTotal:200,10,13.0,5.55,4.25,1.0,4.052,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A
1,1,2025-06-26 06:24:57,60.96,FixedSegBaseTotal:200,20,27.0,11.0,10.0,4.5,6.637,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.51031252,0.37761189,0.38115718,0.44438781,0.47074353,0.26832774,0.35302552,0.34146716,0.57425447,0.52259756,0.53322967,0.63532624,0.32536502,0.45040268,0.53549695,0.63836699,0.30315615,0.40604073,0.57176072,0.38040221",N/A
1,2,2025-06-26 06:25:24,88.11,FixedSegBaseTotal:200,30,27.0,12.6,12.5,7.5,5.748,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.45237690,0.46280561,0.52459933,0.47003216,0.66351739,0.24831240,0.25805109,0.47275046,0.62665984,0.52942692,0.49124199,0.46502496,0.35945444,0.37988984,0.51277764,0.76946049,0.32348424,0.31655517,0.60571058,0.37151583",N/A
1,3,2025-06-26 06:25:47,111.6,FixedSegBaseTotal:200,40,27.0,14.15,12.75,7.5,6.112,"0.00000000,0.33556830,1.00000000,1.00000000,0.80178088,0.00000000,0.05993882,1.00000000,0.39826891,0.77177354,0.80149610,1.00000000,0.72349842,0.54898320,0.86044335,1.00000000,0.00000000,0.34523446,0.97588316,0.23468312","0.50753389,0.50157038,0.54781658,0.46392720,0.61082223,0.25365784,0.21719379,0.57286043,0.54067870,0.47160529,0.43231646,0.56794793,0.34872071,0.34989560,0.48925586,0.74214407,0.38358434,0.42487708,0.62346105,0.42191359",N/A
1,4,2025-06-26 06:26:18,142.51,FixedSegBaseTotal:200,50,39.0,24.3,23.0,13.0,8.14,"0.81787277,0.50754832,0.10531445,0.69484316,1.00000000,0.00000000,0.00000000,0.18782355,0.60635564,1.00000000,0.43727560,1.00000000,0.08404836,0.19412795,1.00000000,0.22369956,0.39745385,0.55088391,0.91687948,0.00000000","0.50819477,0.49882289,0.51527115,0.44348966,0.69816853,0.29503585,0.06586190,0.66278369,0.44358531,0.73680324,0.61994275,0.90112091,0.36477948,0.61531731,0.65634835,0.75575267,0.21972599,0.37322780,0.75192219,0.23751625",N/A
1,5,2025-06-26 06:26:55,179.16,FixedSegBaseTotal:200,60,39.0,27.45,28.0,16.5,6.279,"0.81787277,0.50754832,0.10531445,0.69484316,1.00000000,0.00000000,0.00000000,0.18782355,0.60635564,1.00000000,0.43727560,1.00000000,0.08404836,0.19412795,1.00000000,0.22369956,0.39745385,0.55088391,0.91687948,0.00000000","0.46603322,0.43469859,0.49703849,0.43603415,0.76231898,0.39623730,0.06497686,0.65455229,0.47996397,0.88136115,0.63892451,0.93091197,0.42249563,0.53036575,0.67165316,0.78639521,0.24355052,0.38718496,0.85347768,0.11152700",N/A
1,6,2025-06-26 06:27:36,219.97,FixedSegBaseTotal:200,70,39.0,29.35,29.0,22.5,5.39,"0.81787277,0.50754832,0.10531445,0.69484316,1.00000000,0.00000000,0.00000000,0.18782355,0.60635564,1.00000000,0.43727560,1.00000000,0.08404836,0.19412795,1.00000000,0.22369956,0.39745385,0.55088391,0.91687948,0.00000000","0.43323495,0.38448980,0.52655283,0.45644046,0.81407166,0.39665619,0.03590764,0.66069475,0.47176470,0.92575492,0.66847925,0.93334119,0.53369649,0.49413713,0.73709133,0.88823132,0.15867072,0.25680866,0.78086793,0.12648878",N/A
1,7,2025-06-26 06:28:11,255.37,FixedSegBaseTotal:200,80,39.0,31.85,30.0,28.0,3.613,"0.81787277,0.50754832,0.10531445,0.69484316,1.00000000,0.00000000,0.00000000,0.18782355,0.60635564,1.00000000,0.43727560,1.00000000,0.08404836,0.19412795,1.00000000,0.22369956,0.39745385,0.55088391,0.91687948,0.00000000","0.42446071,0.34100499,0.67739957,0.35504717,0.90682362,0.41738733,0.03980314,0.63557890,0.60269349,0.87526498,0.71573017,0.93191438,0.54818081,0.34623476,0.72520961,0.72052423,0.29077112,0.28844684,0.86020338,0.12900565",N/A
1,8,2025-06-26 06:28:46,289.91,FixedSegBaseTotal:200,90,39.0,32.3,31.25,28.5,3.378,"0.81787277,0.50754832,0.10531445,0.69484316,1.00000000,0.00000000,0.00000000,0.18782355,0.60635564,1.00000000,0.43727560,1.00000000,0.08404836,0.19412795,1.00000000,0.22369956,0.39745385,0.55088391,0.91687948,0.00000000","0.42791605,0.43886637,0.66611100,0.43502809,0.91806174,0.57873407,0.04432317,0.57134689,0.67240848,0.98126719,0.74005759,0.96544323,0.45837472,0.46717866,0.80061179,0.80127418,0.32680729,0.26886166,0.88162700,0.09180920",N/A
1,9,2025-06-26 06:29:20,324.4,FixedSegBaseTotal:200,100,47.5,34.95,34.75,30.0,4.992,"0.57049172,0.00000000,0.07754458,0.72710473,0.43847028,0.00000000,0.00000000,0.12017082,0.44233734,0.72669050,0.51149211,0.84672764,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,0.92701699,0.70351218,0.00072216","0.46330029,0.45075483,0.57775082,0.37062270,0.93227853,0.48788832,0.04325297,0.40852276,0.76228724,0.93233682,0.74996124,0.98467276,0.39529509,0.53783063,0.80586879,0.70127418,0.37906546,0.43328802,0.88390223,0.08847429",N/A
