# Experiment Session ID: session_20250626_085121_s123_mcoevolution
# Date Generated: 2025-06-26 08:51:21 Romance Daylight Time
# Number of Training Runs: 5
# Population Size: 10
# Max Evaluations per Run: 500
# Number of Weights: 20
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: coevolution
# Base Coevo Games per Peer Pairing: 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 0
# (Note: Final champion benchmark games often use a multiplier on base game values)
# Turn Timeout (sec): 1
# Match Logs (GameRunner): NONE
# Debug Mode (Script): False
# Verbose Mode (GameRunner): False
# Script Log Level: INFO
# Weight Precision: 8
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-06-26 08:51:35,12.9,CoevoSegBasePeerPair:3,10,100.0,44.074,50.0,0.0,34.958,"0.00954147,0.32738194,0.40071158,0.78689233,0.81465220,0.05795514,0.06460295,0.92477762,0.28806798,0.12511442,0.79262371,0.78498802,0.60469359,0.76742067,0.85959776,0.85313549,0.26326258,0.42087203,0.98444514,0.36774487","0.39745036,0.44514972,0.42081057,0.47717672,0.55115995,0.49640702,0.46057055,0.30766571,0.58415419,0.33691462,0.56119332,0.46849757,0.40185209,0.51760568,0.57318119,0.52446294,0.34048945,0.39223841,0.46112813,0.44519740",N/A (Coevolution)
1,1,2025-06-26 08:52:19,57.41,CoevoSegBasePeerPair:3,20,98.246,73.684,75.439,54.386,14.989,"1.00000000,0.46177148,0.90029724,0.27822669,0.00000000,0.00000000,0.00000000,0.17695174,0.16324098,0.62455789,0.00000000,0.42480950,0.86235039,0.51300648,0.00000000,1.00000000,0.44272053,0.00000000,0.00000000,1.00000000","0.48990028,0.42866782,0.55273583,0.56873569,0.55991653,0.45745360,0.17129525,0.34942373,0.57406472,0.59766407,0.61779940,0.65076398,0.46976111,0.44610266,0.52944063,0.66085574,0.37680077,0.45684084,0.65628414,0.56483847",N/A (Coevolution)
1,2,2025-06-26 08:53:10,107.58,CoevoSegBasePeerPair:3,30,94.737,73.158,72.807,45.614,15.712,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.46275049,0.31861589,0.60748195,0.52458466,0.52158233,0.26528531,0.17866016,0.38989057,0.45758604,0.54063404,0.51095552,0.80948506,0.49269757,0.58034783,0.52928808,0.56094240,0.49476361,0.38181776,0.61867884,0.59429005",N/A (Coevolution)
1,3,2025-06-26 08:53:51,149.08,CoevoSegBasePeerPair:3,40,96.491,73.158,73.684,50.877,16.042,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.46275049,0.36142875,0.66933311,0.50656770,0.51112496,0.25944510,0.15344764,0.48989057,0.38655251,0.55819289,0.52638145,0.86333353,0.51884115,0.54092543,0.57927025,0.58502929,0.42818806,0.36726711,0.67791142,0.51050470",N/A (Coevolution)
1,4,2025-06-26 08:54:29,186.64,CoevoSegBasePeerPair:3,50,98.246,74.386,71.93,54.386,13.819,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.54976999,0.41730743,0.61579515,0.53667635,0.64245386,0.32463724,0.08206853,0.56149981,0.42581812,0.56510013,0.62563958,0.87622581,0.51100524,0.60075503,0.54285910,0.62932428,0.30899458,0.34818843,0.67158172,0.45066639",N/A (Coevolution)
1,5,2025-06-26 08:55:11,228.56,CoevoSegBasePeerPair:3,60,94.737,74.737,79.825,50.877,12.921,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.51900131,0.45347210,0.65989064,0.34766649,0.79104950,0.35779022,0.03746228,0.63724058,0.36262883,0.62885164,0.63498461,0.85788299,0.43334588,0.54715539,0.54168541,0.76062810,0.26206374,0.34992900,0.66335982,0.36236670",N/A (Coevolution)
1,6,2025-06-26 08:55:47,264.71,CoevoSegBasePeerPair:3,70,94.737,73.509,71.93,54.386,11.08,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.61126411,0.57895566,0.57562877,0.26453023,0.71194912,0.30370181,0.03709763,0.62637590,0.29430431,0.70168457,0.59627637,0.81986143,0.40089307,0.50296543,0.46406564,0.84065715,0.23793088,0.31883813,0.68607889,0.39097994",N/A (Coevolution)
1,7,2025-06-26 08:56:23,301.1,CoevoSegBasePeerPair:3,80,92.982,71.579,71.93,56.14,9.109,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.63922094,0.50814119,0.66978316,0.21740222,0.73177103,0.32974537,0.03722585,0.51814975,0.24582259,0.71670414,0.56359292,0.77445344,0.36223411,0.56769028,0.52605289,0.92589337,0.30762267,0.37855426,0.58109279,0.39560628",N/A (Coevolution)
1,8,2025-06-26 08:56:56,334.14,CoevoSegBasePeerPair:3,90,94.737,70.526,65.789,59.649,11.997,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.66061180,0.51234759,0.48608286,0.30264127,0.73177103,0.42974537,0.06113097,0.61814975,0.30971534,0.77436007,0.66624033,0.81183800,0.33043115,0.55688652,0.52293850,0.88616023,0.23083681,0.31929265,0.60655055,0.42402678",N/A (Coevolution)
1,9,2025-06-26 08:57:32,369.57,CoevoSegBasePeerPair:3,100,92.982,69.123,65.789,54.386,13.389,"1.00000000,0.22567409,0.31562598,0.00000000,0.57939287,0.00000000,0.06314059,0.99154756,0.50732518,0.00000000,0.87578228,1.00000000,0.00000000,0.58450820,0.70380292,0.69644426,0.50432355,0.44997031,0.38081076,0.38360184","0.64807357,0.53955974,0.40957825,0.23461565,0.69137928,0.24158768,0.05533461,0.44338985,0.40971534,0.64945510,0.59649094,0.74350775,0.38178652,0.52611640,0.46359109,0.89234380,0.39292100,0.38540736,0.60655055,0.38873978",N/A (Coevolution)
