# Experiment Session ID: 20250715_143713_s123_mfixed
# Date Generated: 2025-07-15 14:37:13 Romance Daylight Time
# Training Runs: 1
# Population Size: 20
# Max Evaluations/Run: 600
# Number of Weights: 26
# Mutation Rate: 0.3
# Crossover Rate: 0.7
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: fixed
# Base Games (Fixed): 150
# Opponent Bots (Fixed): PatronFavorsBot, MaxAgentsBot, MaxPrestigeBot, AlwaysFirstOptionBot
# Base Games (Coevo): 3
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 3
#   Games vs Each Intra-Run HoF Member: 20
#   Pruning Percentage: 35%
#   Pruning Frequency (Generations): 8
# Turn Timeout: 1s
# Weight Precision: 8
# Match Logs: NONE
# Debug Mode: False
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-07-15 14:37:49,36.06,FixedSegBaseTotal:150,20,84.0,53.167,58.333,10.0,18.804,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.64546486,0.53545777,0.35892256,0.43307825,0.36969501,0.42114841,0.48377079,0.46009411,0.54246369,0.48720443,0.48841769,0.61063525,0.35601596,0.55616993,0.54619303,0.49432943,0.51965944,0.52910710,0.53615121,0.51452312,0.48071903,0.44875069,0.45040588,0.46811537,0.50566569,0.57067847",N/A
1,1,2025-07-15 14:38:33,80.14,FixedSegBaseTotal:150,40,84.0,64.651,62.804,54.118,8.073,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.72481753,0.55300360,0.31456200,0.46516222,0.39706063,0.46229542,0.47019369,0.31391350,0.60771581,0.49620754,0.48763303,0.68833111,0.40379191,0.45179817,0.75418607,0.46252141,0.53572297,0.52268196,0.49475839,0.46837576,0.37118302,0.56259611,0.54080474,0.53839038,0.43792376,0.57861112",N/A
1,2,2025-07-15 14:39:13,119.7,FixedSegBaseTotal:150,60,84.0,67.796,66.176,60.0,6.052,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.71542917,0.48322013,0.37304732,0.48155586,0.50453968,0.50337676,0.49363296,0.24771669,0.58405202,0.41745000,0.46994589,0.72782328,0.39510153,0.51008541,0.80903315,0.46273226,0.42647691,0.48422976,0.54465471,0.38932037,0.31260870,0.56815652,0.49379986,0.49878421,0.40225755,0.63163136",N/A
1,3,2025-07-15 14:39:54,161.48,FixedSegBaseTotal:150,80,84.0,70.722,70.667,63.529,4.763,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.73476118,0.52301078,0.40805074,0.45820923,0.47387601,0.53046558,0.50553132,0.19506154,0.66974370,0.39861774,0.33527140,0.69740911,0.41836779,0.54757645,0.72584794,0.46888370,0.38242859,0.52787184,0.56018354,0.34643936,0.36013449,0.66715497,0.58204610,0.45991923,0.37758133,0.51595499",N/A
1,4,2025-07-15 14:40:34,201.49,FixedSegBaseTotal:150,100,84.0,73.427,72.941,68.235,3.717,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.71397163,0.54467678,0.36328288,0.50073376,0.45449640,0.51349154,0.50778257,0.12879061,0.62442638,0.40569668,0.31116795,0.72099238,0.41320531,0.59863791,0.69061561,0.50650835,0.39582168,0.46361090,0.48395797,0.36972131,0.43862770,0.68642323,0.58691524,0.46362709,0.38355143,0.52206537",N/A
1,5,2025-07-15 14:41:13,240.14,FixedSegBaseTotal:150,120,84.0,74.663,73.765,70.588,3.661,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.70952501,0.62391728,0.39003551,0.45987639,0.46673022,0.56663583,0.48127021,0.10116808,0.66704578,0.36109816,0.30914185,0.70354978,0.40281079,0.58708207,0.74013591,0.59093265,0.47787557,0.41510729,0.59444799,0.34411770,0.57027121,0.67070704,0.53197143,0.33258893,0.38092286,0.58989139",N/A
1,6,2025-07-15 14:41:51,278.28,FixedSegBaseTotal:150,140,84.118,77.361,75.294,72.941,3.728,"0.99562846,0.00000000,0.00000000,0.76097985,0.42417939,0.32751902,0.34793081,0.00000000,1.00000000,1.00000000,0.16800341,0.45107400,0.00000000,0.65585471,0.74391792,0.73889624,0.33850577,0.12512041,0.89961990,0.42256768,0.00000000,1.00000000,0.41308823,0.06055084,0.46095077,0.67321580","0.80174227,0.49320413,0.47713196,0.52888003,0.49720517,0.67514288,0.45025555,0.08834129,0.73781789,0.40951335,0.28800905,0.60234206,0.37296879,0.53147680,0.71854773,0.53998303,0.50379197,0.31784978,0.59013568,0.35499508,0.49398978,0.63723174,0.48444993,0.27053907,0.40767591,0.64218788",N/A
1,7,2025-07-15 14:42:35,321.94,FixedSegBaseTotal:150,160,84.118,77.792,76.176,73.684,3.508,"0.99562846,0.00000000,0.00000000,0.76097985,0.42417939,0.32751902,0.34793081,0.00000000,1.00000000,1.00000000,0.16800341,0.45107400,0.00000000,0.65585471,0.74391792,0.73889624,0.33850577,0.12512041,0.89961990,0.42256768,0.00000000,1.00000000,0.41308823,0.06055084,0.46095077,0.67321580","0.85305182,0.40272256,0.47887220,0.57070182,0.55167061,0.65656022,0.44010566,0.07662119,0.78261868,0.39984207,0.27862726,0.53031144,0.38024873,0.53579654,0.74331160,0.56112842,0.47063947,0.21244957,0.53967061,0.36397611,0.45011967,0.62936437,0.42557667,0.30166621,0.40297481,0.70220918",N/A
1,8,2025-07-15 14:43:19,365.61,FixedSegBaseTotal:150,180,84.118,78.202,77.214,74.211,3.251,"0.99562846,0.00000000,0.00000000,0.76097985,0.42417939,0.32751902,0.34793081,0.00000000,1.00000000,1.00000000,0.16800341,0.45107400,0.00000000,0.65585471,0.74391792,0.73889624,0.33850577,0.12512041,0.89961990,0.42256768,0.00000000,1.00000000,0.41308823,0.06055084,0.46095077,0.67321580","0.82707479,0.40868354,0.51984381,0.59144070,0.54173379,0.65893878,0.45207276,0.06076389,0.76406714,0.42327212,0.26629473,0.49808045,0.36784479,0.59290812,0.70860736,0.56431407,0.47470691,0.21260451,0.57752819,0.29279453,0.42439831,0.61158836,0.44512325,0.34278470,0.42481340,0.72934059",N/A
1,9,2025-07-15 14:44:02,408.67,FixedSegBaseTotal:150,200,84.118,78.836,78.158,75.294,3.011,"0.99562846,0.00000000,0.00000000,0.76097985,0.42417939,0.32751902,0.34793081,0.00000000,1.00000000,1.00000000,0.16800341,0.45107400,0.00000000,0.65585471,0.74391792,0.73889624,0.33850577,0.12512041,0.89961990,0.42256768,0.00000000,1.00000000,0.41308823,0.06055084,0.46095077,0.67321580","0.82145290,0.46515765,0.45580460,0.66742390,0.55962122,0.60568483,0.46173947,0.06152206,0.81024015,0.38941573,0.23811627,0.45533304,0.35744530,0.53298879,0.71264618,0.53793002,0.47661963,0.19530340,0.58421379,0.26786847,0.50504123,0.62996202,0.43328561,0.36420345,0.36356260,0.68635836",N/A
