# Experiment Session ID: 20250802_133852_s123_mcoevolution
# Date Generated: 2025-08-02 13:38:52 Romance Daylight Time
# Training Runs: 3
# Population Size: 10
# Max Evaluations/Run: 200
# Number of Weights: 26
# Mutation Rate: 0.3
# Crossover Rate: 0.7
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: coevolution
# Base Games (Fixed): 100
# Opponent Bots (Fixed): MaxAgentsBot, PatronFavorsBot, AlwaysFirstOptionBot, DecisionTreeBot
# Base Games (Coevo): 15
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 3
#   Games vs Each Intra-Run HoF Member: 20
#   Pruning Percentage: 35%
#   Pruning Frequency (Generations): 7
# Turn Timeout: 5s
# Weight Precision: 8
# Match Logs: NONE
# Debug Mode: False
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-08-02 13:39:04,11.96,CoevoSegBasePeerPair:15,10,88.889,50.0,53.704,3.704,22.309,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.74225481,0.48034999,0.39425116,0.38587664,0.38157877,0.31514494,0.43610344,0.47730152,0.63045050,0.43014960,0.47764653,0.53443749,0.31073825,0.50805778,0.65586640,0.53070083,0.59017064,0.51979837,0.68022533,0.48798851,0.42503126,0.46696686,0.36771177,0.33498447,0.49287327,0.66718061",N/A (Coevolution)
1,1,2025-08-02 13:40:00,67.37,CoevoSegBasePeerPair:15,20,80.656,60.492,56.557,50.492,10.713,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.74110421,0.57664799,0.34104358,0.52164288,0.52590181,0.44533120,0.25849908,0.40168583,0.71722129,0.53066702,0.30232075,0.57954556,0.22578638,0.47157645,0.73052313,0.57990239,0.53114249,0.49565591,0.68898220,0.36644700,0.54884977,0.53763078,0.37540289,0.36403593,0.36237848,0.64547485",N/A (Coevolution)
1,2,2025-08-02 13:40:51,118.95,CoevoSegBasePeerPair:15,30,79.344,61.148,64.426,47.213,10.277,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.88675441,0.58456883,0.33695193,0.41515424,0.49703799,0.45817940,0.24350085,0.22416421,0.81679918,0.38295006,0.33388456,0.46067066,0.37820782,0.56812906,0.85404922,0.56630205,0.51290230,0.39563739,0.57870080,0.27246634,0.66641984,0.59048106,0.39370707,0.36076091,0.29168612,0.65491030",N/A (Coevolution)
1,3,2025-08-02 13:41:44,171.43,CoevoSegBasePeerPair:15,40,70.82,61.148,59.836,51.803,6.407,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.88174458,0.51880290,0.40554191,0.65457234,0.48898700,0.42223240,0.22546892,0.12050226,0.81639463,0.31229021,0.35701421,0.48740592,0.31882740,0.65493656,0.90320070,0.63259507,0.33500923,0.35663482,0.63319294,0.28945856,0.67692568,0.55818296,0.26862102,0.37825061,0.29808823,0.60385403",N/A (Coevolution)
1,4,2025-08-02 13:42:33,221.05,CoevoSegBasePeerPair:15,50,71.148,57.574,56.066,49.508,6.848,"0.38945684,0.00000000,0.00000000,0.63732409,0.61355887,0.83685949,0.00000000,0.02444814,0.87867397,0.66669806,0.53815133,0.55349591,0.19275193,0.67248487,0.86323234,0.00000000,0.09815866,0.15902149,1.00000000,1.00000000,0.63116592,0.65658537,0.38190678,0.00000000,0.22629608,0.75115005","0.72627816,0.59933745,0.49967759,0.59597462,0.45406024,0.39568410,0.30563054,0.01315688,0.86242705,0.38138436,0.37655706,0.49197421,0.37214856,0.73535512,0.90258549,0.39056358,0.18291682,0.37967369,0.79807581,0.35918439,0.66783480,0.52248802,0.20003878,0.19018467,0.20573640,0.79573123",N/A (Coevolution)
1,5,2025-08-02 13:43:26,273.92,CoevoSegBasePeerPair:15,60,62.154,57.6,58.308,52.615,3.098,"0.38945684,0.00000000,0.00000000,0.63732409,0.61355887,0.83685949,0.00000000,0.02444814,0.87867397,0.66669806,0.53815133,0.55349591,0.19275193,0.67248487,0.86323234,0.00000000,0.09815866,0.15902149,1.00000000,1.00000000,0.63116592,0.65658537,0.38190678,0.00000000,0.22629608,0.75115005","0.70349504,0.51814874,0.40005726,0.62412212,0.63467041,0.58039925,0.37409396,0.02099787,0.78658022,0.41897251,0.30339944,0.53140135,0.30199754,0.71604089,0.84956617,0.36090471,0.20222467,0.34046387,0.73888271,0.39175316,0.64326691,0.59855530,0.25411817,0.28642007,0.22780394,0.76128713",N/A (Coevolution)
1,6,2025-08-02 13:44:18,325.85,CoevoSegBasePeerPair:15,70,61.231,57.292,56.308,54.769,2.243,"0.52830018,0.00000000,1.00000000,0.29764793,0.45512317,0.72734285,0.27545769,0.00000000,0.87713273,0.00000000,0.07816929,0.59975552,0.18863365,0.67753143,0.84464777,0.25900359,0.74763512,0.40511601,0.59583913,0.00000000,0.63126027,0.00000000,0.76312800,1.00000000,1.00000000,0.76387172","0.58418487,0.51835602,0.58905538,0.60889764,0.41024377,0.71496797,0.15947674,0.01911807,0.87746509,0.32033692,0.20786417,0.60602818,0.32320864,0.70114045,0.79830599,0.18487637,0.35644955,0.28531880,0.70729081,0.20782717,0.57418192,0.50922697,0.25838373,0.30768698,0.39451597,0.71224680",N/A (Coevolution)
1,7,2025-08-02 13:45:15,382.62,CoevoSegBasePeerPair:15,80,64.348,58.377,58.261,55.072,2.629,"1.00000000,0.02714777,0.66820132,0.52271564,0.00000000,0.72734285,0.27545769,0.00000000,0.87713273,1.00000000,0.07816929,0.59975552,0.18863365,0.67753143,0.00000000,0.25900359,1.00000000,0.00000000,0.59583913,0.00000000,0.63126027,0.00000000,0.76312800,1.00000000,1.00000000,0.76387172","0.57746343,0.52936350,0.64900118,0.59270465,0.41746874,0.82467598,0.15026471,0.02516902,0.87741219,0.28180452,0.11004348,0.54944073,0.34324254,0.73376416,0.70409362,0.16821085,0.50586205,0.19352173,0.73643348,0.24767687,0.63665515,0.52557271,0.37748581,0.37742003,0.53732598,0.75573615",N/A (Coevolution)
1,8,2025-08-02 13:46:07,434.82,CoevoSegBasePeerPair:15,90,62.462,56.185,54.769,53.231,3.074,"0.05107138,0.65723250,0.88222179,0.00000000,0.00000000,0.99550985,0.00000000,0.02486029,0.87701252,0.09638621,0.05993993,0.60066922,0.76068062,0.67736166,1.00000000,0.23035661,0.34508774,0.00000000,0.65731083,1.00000000,0.63123773,0.67900642,1.00000000,0.19446375,0.42908383,0.72655245","0.54800249,0.41278178,0.74606633,0.39969207,0.24460182,0.88723861,0.23208944,0.02055699,0.87736008,0.18464237,0.07541728,0.58588131,0.40548545,0.72544713,0.71329907,0.18698233,0.55849067,0.15778509,0.72497705,0.21818955,0.56305835,0.37888873,0.44654602,0.45089039,0.50229248,0.71397173",N/A (Coevolution)
1,9,2025-08-02 13:47:05,492.47,CoevoSegBasePeerPair:15,100,66.667,56.667,54.638,53.043,4.429,"0.99200129,0.00000000,1.00000000,0.07264960,0.38583367,0.00000000,0.14083524,0.04702417,0.53335477,0.28930567,0.07399368,0.00000000,1.00000000,1.00000000,0.69528028,1.00000000,1.00000000,0.35194433,0.90990998,0.06474214,0.55948120,0.00000000,0.62965135,0.00000000,0.92497503,0.73088798","0.70553528,0.41640236,0.82676440,0.28101719,0.25972497,0.77316414,0.31205644,0.02498408,0.85520707,0.22006764,0.06819311,0.45592337,0.49799161,0.79882065,0.65950119,0.29743012,0.50207825,0.12921665,0.74822266,0.23960553,0.63098647,0.41122776,0.49076259,0.55152745,0.62727027,0.80526044",N/A (Coevolution)
1,10,2025-08-02 13:48:04,552.02,CoevoSegBasePeerPair:15,110,63.478,57.014,57.391,50.435,4.652,"0.52830018,0.00000000,1.00000000,0.29764793,0.00000000,1.00000000,1.00000000,0.00000000,0.87713273,0.00000000,0.10633130,0.46937747,0.18863365,0.67753143,0.84464777,0.25900359,0.00000000,0.40511601,0.88810546,0.00000000,0.63126027,0.00000000,0.28785107,1.00000000,0.00000000,0.76387172","0.70406704,0.31216393,0.75395518,0.35993949,0.25464947,0.69982940,0.36776535,0.02233476,0.84274983,0.22164497,0.07380088,0.46145738,0.45752957,0.73690293,0.71204916,0.39618921,0.63468388,0.24383084,0.73490659,0.25466142,0.61241806,0.21261210,0.60098755,0.35823474,0.57912357,0.77013417",N/A (Coevolution)
1,11,2025-08-02 13:49:04,611.51,CoevoSegBasePeerPair:15,120,72.174,57.188,55.652,51.014,6.989,"0.99297135,0.06010181,1.00000000,0.15829533,1.00000000,0.00000000,0.34646293,0.03992148,1.00000000,0.23282223,0.07994965,0.00000000,0.29669372,1.00000000,0.73320568,0.88632808,1.00000000,0.00000000,0.27721560,0.04427494,1.00000000,0.00000000,0.60004154,0.00000000,0.35701351,0.74018014","0.57819918,0.36566204,0.88010958,0.34755666,0.37293294,0.56389234,0.54073839,0.02568568,0.86504465,0.11290826,0.07852313,0.33421108,0.45449885,0.77016406,0.78095968,0.43961085,0.58145962,0.32673898,0.62754780,0.19659492,0.63224037,0.19675652,0.46801769,0.20580512,0.50509667,0.76948981",N/A (Coevolution)
1,12,2025-08-02 13:50:05,673.05,CoevoSegBasePeerPair:15,130,70.725,56.783,54.783,50.145,6.405,"0.52661457,0.78438625,1.00000000,0.26879891,0.06759138,0.00000000,0.99915952,0.02954708,0.87630221,0.07411318,0.10064245,0.00000000,0.19344124,0.89148132,0.82827778,0.40084366,0.17488528,0.00000000,0.90263548,0.00000000,0.72046739,0.00000000,1.00000000,0.60352497,1.00000000,0.75863080","0.63488259,0.30537833,1.00000000,0.30891299,0.32160283,0.28107160,0.61717866,0.02264112,0.86826096,0.14358609,0.08805387,0.19755565,0.43617506,0.88852562,0.78102063,0.50667574,0.56747535,0.41863529,0.75601855,0.02304167,0.70770400,0.10000000,0.58023141,0.27371355,0.52265462,0.70126561",N/A (Coevolution)
1,13,2025-08-02 13:51:04,731.39,CoevoSegBasePeerPair:15,140,64.638,56.348,57.971,48.696,5.589,"0.91258379,0.63754816,1.00000000,0.26932849,0.08134967,0.00000000,0.00000000,0.00000000,0.87630375,0.00000000,0.10136242,0.06256990,0.49959266,0.89346343,0.83844624,0.43264264,0.10449219,0.51941118,0.88168475,0.01450887,0.71977791,0.00000000,0.69878908,0.52303554,0.00000000,0.96111314","0.48880427,0.30048406,1.00000000,0.45734660,0.40381210,0.28107160,0.64568824,0.01814100,0.90865744,0.10240528,0.10202457,0.19332145,0.30529639,0.87820675,0.78881800,0.54087562,0.55749692,0.38208664,0.70768584,0.02089494,0.76072074,0.00000000,0.48884871,0.24268512,0.28104475,0.72338918",N/A (Coevolution)
1,14,2025-08-02 13:51:58,786.22,CoevoSegBasePeerPair:15,150,66.667,58.986,58.261,52.174,4.177,"0.91258379,0.63754816,1.00000000,0.26932849,0.08134967,0.00000000,0.00000000,0.00000000,0.87630375,0.00000000,0.10136242,0.06256990,0.49959266,0.89346343,0.83844624,0.43264264,0.10449219,0.51941118,0.88168475,0.01450887,0.71977791,0.00000000,0.69878908,0.52303554,0.00000000,0.96111314","0.35898433,0.36039977,1.00000000,0.45079088,0.34128139,0.20805033,0.66590277,0.01845572,0.91658098,0.12241077,0.08933576,0.12624540,0.39905087,0.81072224,0.77049875,0.46198146,0.60106623,0.39816570,0.68378787,0.02187181,0.83359628,0.00000000,0.57003500,0.23345950,0.29147837,0.68763275",N/A (Coevolution)
