# Experiment Session ID: 20250807_203631_s123_mfixed
# Date Generated: 2025-08-07 20:36:31 Romance Daylight Time
# Training Runs: 1
# Population Size: 50
# Max Evaluations/Run: 15000
# Number of Weights: 26
# Mutation Rate: 0.3
# Crossover Rate: 0.7
# Threads for Parallelism: 8
# Master Seed: 123
# Deterministic Training Runs (Seeded): True
# Deterministic Matches (Seeded): False
# Evaluation Mode: fixed
# Base Games (Fixed): 200
# Opponent Bots (Fixed): MaxAgentsBot, PatronFavorsBot, AlwaysFirstOptionBot, DecisionTreeBot
# Base Games (Coevo): 100
# Global HoF Size (Inter-Run): 0
# Intra-Run HoF Size: 3
#   Games vs Each Intra-Run HoF Member: 40
#   Pruning Percentage: 35%
#   Pruning Frequency (Generations): 15
# Turn Timeout: 5s
# Weight Precision: 8
# Match Logs: NONE
# Debug Mode: False
# ---
train_run,generation,timestamp,total_time_sec,num_matches_info,evaluations,best_fitness,avg_fitness,median_fitness,min_fitness,std_fitness,best_weights,avg_weights,best_indiv_win_breakdown
1,0,2025-08-07 20:38:04,93.17,FixedSegBaseTotal:200,50,81.5,43.81,46.75,2.0,19.913,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.50688339,0.49103646,0.45564675,0.44913085,0.43443086,0.45198491,0.50989401,0.45365968,0.51653306,0.47420388,0.49461552,0.56426678,0.45083932,0.50278345,0.43907072,0.49724589,0.51938218,0.51407230,0.57595016,0.52298151,0.54081589,0.47416122,0.46806673,0.50562750,0.50700572,0.54927482","AlwaysFirstOptionBot:39/50,DecisionTreeBot:29/50,MaxAgentsBot:48/50,PatronFavorsBot:47/50"
1,1,2025-08-07 20:40:00,208.9,FixedSegBaseTotal:200,100,81.5,56.637,56.5,44.5,9.002,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.49450726,0.43792186,0.37584557,0.51184356,0.45877009,0.51193871,0.46976615,0.31516903,0.52366124,0.44077835,0.37903329,0.58162426,0.48323011,0.56940343,0.52248047,0.47315505,0.54509185,0.52186219,0.59583291,0.51871180,0.59704269,0.48925177,0.40204430,0.51937165,0.46073404,0.53713979","AlwaysFirstOptionBot:39/50,DecisionTreeBot:29/50,MaxAgentsBot:48/50,PatronFavorsBot:47/50"
1,2,2025-08-07 20:42:04,332.4,FixedSegBaseTotal:200,150,81.5,62.967,62.958,51.667,7.478,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.49538433,0.46131869,0.41890929,0.49441469,0.51058554,0.55879498,0.44953783,0.21931014,0.55679172,0.41641933,0.27074345,0.61172347,0.42678460,0.63870621,0.51495066,0.39269460,0.56460598,0.53448352,0.68896138,0.53325477,0.60943637,0.49189675,0.41984425,0.51984676,0.46126274,0.52099435","AlwaysFirstOptionBot:39/50,DecisionTreeBot:29/50,MaxAgentsBot:48/50,PatronFavorsBot:47/50"
1,3,2025-08-07 20:44:13,461.66,FixedSegBaseTotal:200,200,81.5,67.703,66.458,60.0,5.426,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.42077966,0.41698701,0.39838794,0.50233346,0.49217778,0.63705081,0.54553623,0.13363228,0.63049073,0.35653525,0.31614564,0.54649779,0.48174428,0.62755949,0.59044837,0.41077952,0.56399666,0.52694348,0.65956875,0.46288379,0.63732152,0.51925922,0.49333871,0.46610451,0.38764835,0.54659460","AlwaysFirstOptionBot:39/50,DecisionTreeBot:29/50,MaxAgentsBot:48/50,PatronFavorsBot:47/50"
1,4,2025-08-07 20:47:06,634.25,FixedSegBaseTotal:200,250,81.5,70.615,70.208,65.417,4.159,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.55247178,0.44117412,0.41844216,0.52137882,0.47740482,0.69152831,0.59408299,0.08422954,0.70304763,0.40567566,0.29367603,0.55329785,0.48984929,0.60415152,0.72091390,0.40604075,0.53351751,0.47842279,0.60604650,0.50589282,0.56873554,0.53409600,0.51688448,0.43753993,0.34653734,0.58735121","AlwaysFirstOptionBot:39/50,DecisionTreeBot:29/50,MaxAgentsBot:48/50,PatronFavorsBot:47/50"
1,5,2025-08-07 20:49:10,758.76,FixedSegBaseTotal:200,300,81.5,74.14,73.542,69.583,3.422,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.57009416,0.44992513,0.39257684,0.51216350,0.50511392,0.67699263,0.58034411,0.05034769,0.78634702,0.41874501,0.27456562,0.49574697,0.42115955,0.66729083,0.76299940,0.49043592,0.53161832,0.46762576,0.56634253,0.47575333,0.57318876,0.58846322,0.51952221,0.35453795,0.35248109,0.63329994","AlwaysFirstOptionBot:39/50,DecisionTreeBot:29/50,MaxAgentsBot:48/50,PatronFavorsBot:47/50"
1,6,2025-08-07 20:51:17,885.63,FixedSegBaseTotal:200,350,81.5,75.347,75.0,71.25,2.861,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.60159056,0.44490507,0.41175340,0.53819518,0.46816983,0.73316597,0.55673768,0.03565466,0.81241321,0.38498904,0.26004041,0.48608810,0.37981511,0.70638677,0.75770554,0.48558533,0.55912572,0.48658261,0.60214689,0.42168039,0.54818259,0.59687537,0.63333444,0.34836068,0.35909728,0.62738055","AlwaysFirstOptionBot:39/50,DecisionTreeBot:29/50,MaxAgentsBot:48/50,PatronFavorsBot:47/50"
1,7,2025-08-07 20:53:19,1007.93,FixedSegBaseTotal:200,400,81.5,77.105,76.667,74.583,2.17,"0.96968608,0.88388014,0.41903782,0.71771791,0.67905195,0.37210962,0.23496344,0.07837648,0.87890894,0.05715921,0.51869612,0.53753638,0.14613923,0.65593172,0.91582319,0.77613297,0.38925927,0.12646996,0.97492957,0.51710349,0.62961763,0.80227665,0.38624616,0.06205576,0.13601579,0.66844714","0.60569377,0.44770064,0.38391646,0.54669379,0.51400988,0.72314040,0.48133076,0.02918384,0.82696532,0.38781335,0.24285462,0.42424786,0.34702732,0.78317276,0.77343176,0.52951893,0.53039249,0.46430414,0.62594477,0.48745588,0.59394981,0.56628208,0.62653885,0.31664739,0.47675707,0.68276285","AlwaysFirstOptionBot:39/50,DecisionTreeBot:29/50,MaxAgentsBot:48/50,PatronFavorsBot:47/50"
1,8,2025-08-07 20:55:25,1133.95,FixedSegBaseTotal:200,450,87.5,78.413,77.917,75.417,2.33,"0.33352454,0.30902242,0.68513564,1.00000000,0.50955236,0.99368707,0.29445993,0.02336661,0.91180444,0.14679430,0.04255229,0.08497717,0.26493554,1.00000000,1.00000000,0.42737623,0.16194485,0.00000000,0.82986210,1.00000000,0.99884581,0.61568876,0.99989120,0.44883455,0.07186046,1.00000000","0.60381672,0.44080774,0.35043457,0.52639458,0.48469131,0.74008815,0.46149215,0.01983036,0.82503234,0.37180586,0.22102950,0.35090107,0.40537663,0.75488988,0.80012932,0.48765533,0.54685859,0.41740402,0.56422193,0.51867722,0.54081842,0.56151625,0.65876595,0.30890877,0.47302058,0.77002289","AlwaysFirstOptionBot:47/50,DecisionTreeBot:39/50,MaxAgentsBot:50/50,PatronFavorsBot:49/50,run_hof_0:25/40"
1,9,2025-08-07 20:57:58,1287.14,FixedSegBaseTotal:200,500,87.5,78.509,78.125,75.714,2.26,"0.33352454,0.30902242,0.68513564,1.00000000,0.50955236,0.99368707,0.29445993,0.02336661,0.91180444,0.14679430,0.04255229,0.08497717,0.26493554,1.00000000,1.00000000,0.42737623,0.16194485,0.00000000,0.82986210,1.00000000,0.99884581,0.61568876,0.99989120,0.44883455,0.07186046,1.00000000","0.61333280,0.46695536,0.37207001,0.53584492,0.52804181,0.74101866,0.44269842,0.01698340,0.82301399,0.37486429,0.20078401,0.32560148,0.40379976,0.73140742,0.80995172,0.48138788,0.56460340,0.40743914,0.57782460,0.53694881,0.54886397,0.57626856,0.66649972,0.31723654,0.50104239,0.77683571","AlwaysFirstOptionBot:47/50,DecisionTreeBot:39/50,MaxAgentsBot:50/50,PatronFavorsBot:49/50,run_hof_0:25/40"
